source	target	status
KLF9	Contig29369_RC	non_indicated
KLF9	KIAA1370	non_indicated
KLF9	CUTC	non_indicated
KLF9	AL359582	non_indicated
KLF9	EPHB3	non_indicated
KLF9	AL080205	non_indicated
AL157488	Contig16208_RC	non_indicated
AL157488	C21orf34	non_indicated
CFB	TIMP1	non_indicated
CFB	CFI	non_indicated
CFB	AK056142	non_indicated
CFB	WFDC2	non_indicated
CFB	X89214_sat	non_indicated
SFRS5	RIOK3	non_indicated
SFRS5	ATP1B1	non_indicated
SFRS5	Contig14284_RC	non_indicated
SFRS5	Contig39852_RC	non_indicated
SFRS5	SH3BP5	non_indicated
SFRS5	Contig44987_RC	non_indicated
SFRS5	AF086534	non_indicated
SFRS5	C2orf58	non_indicated
SFRS5	OAZ2	non_indicated
SFRS5	TNKS2	non_indicated
SFRS5	HSS00257402	non_indicated
C11orf9	REC8	non_indicated
C11orf9	FAM83H	non_indicated
C11orf9	GRB7	non_indicated
C11orf9	GAL3ST1	non_indicated
C11orf9	GATA6	non_indicated
C11orf9	AB011146	non_indicated
C11orf9	TGM1	non_indicated
C11orf9	PRKCZ	non_indicated
C11orf9	EPPK1	non_indicated
C11orf9	SPEG	non_indicated
C11orf9	MUC1	non_indicated
C11orf9	SLAIN1	non_indicated
C11orf9	EPHB6	non_indicated
C11orf9	IGSF9	non_indicated
C11orf9	WNK4	non_indicated
C11orf9	KNDC1	non_indicated
ANK3	HSS00045980	non_indicated
KCNA4	AK095844	non_indicated
Contig57822_RC	ZEB2	non_indicated
Contig57822_RC	ALDH1L2	non_indicated
Contig57822_RC	RPL23AP7	non_indicated
Contig57822_RC	AB033076	non_indicated
Contig57822_RC	Contig475_RC	non_indicated
Contig57822_RC	AL049443	non_indicated
Contig57822_RC	KIAA1715	non_indicated
ZNF207	SLC25A36	non_indicated
ZNF207	Contig10004_RC	non_indicated
ZNF207	Contig41850_RC	non_indicated
ZNF207	PRRC1	non_indicated
ZNF207	Contig25722_RC	non_indicated
ZNF207	U28831	non_indicated
ZNF207	Contig31587_RC	non_indicated
ZNF207	AK023302	non_indicated
ZNF207	TBL1XR1	non_indicated
ZNF207	BC039395	non_indicated
SEMA3B	DHCR24	non_indicated
SPP1	FCGBP	non_indicated
Contig48318_RC	SSH2	non_indicated
Contig48318_RC	ADCY7	non_indicated
Contig48318_RC	GIMAP1	non_indicated
Contig48318_RC	TIAM1	non_indicated
Contig48318_RC	AK056155	non_indicated
CDO1	S100B	non_indicated
CDO1	B4GALT6	non_indicated
GSTO1	NPC2	non_indicated
GSTO1	ZFP28	non_indicated
GSTO1	hCT1646998.3	non_indicated
HYOU1	Contig47297_RC	non_indicated
HYOU1	ASPA	non_indicated
HYOU1	OPA3	non_indicated
HYOU1	STAT3	non_indicated
HYOU1	PDIA4	non_indicated
HYOU1	MYH9	non_indicated
SOX6	MYO5B	non_indicated
SOX6	Contig22818_RC	non_indicated
SOX6	MX2	non_indicated
AL117645	GOLIM4	non_indicated
AL117645	C21orf91	non_indicated
AL117645	Contig35629_RC	non_indicated
AL117645	Contig50520_RC	non_indicated
AL117645	YES1	non_indicated
AL117645	Contig47539_RC	non_indicated
AL117645	Contig57726_RC	non_indicated
AL117645	PCM1	non_indicated
AL117645	DCBLD1	non_indicated
AL117645	HSS00174258	non_indicated
NRG2	DDX11	non_indicated
NRG2	PPP1R16B	non_indicated
NRG2	SHOX	non_indicated
NRG2	CYP4B1	non_indicated
KL	ITGA6	non_indicated
KL	PRND	non_indicated
AXIN2	SNAI2	non_indicated
ARHGDIB	GMFG	non_indicated
ARHGDIB	C6orf115	non_indicated
ARHGDIB	CENPP	non_indicated
ARHGDIB	CDCA7	non_indicated
ARHGDIB	DNMT3A	non_indicated
ARHGDIB	HSS00126851	non_indicated
SP5	CTNND2	non_indicated
Contig43632_RC	WSB1	non_indicated
Contig43632_RC	HMBOX1	non_indicated
Contig43632_RC	ZNF813	non_indicated
PLXNA2	CAMK2N1	non_indicated
PGM2	CA13	non_indicated
PRKAR2B	SPTBN1	non_indicated
PRKAR2B	STBD1	non_indicated
PRKAR2B	GLRB	non_indicated
Contig11097_RC	IGFBP5	non_indicated
Contig11097_RC	Contig27444_RC	non_indicated
Contig11097_RC	MMAB	non_indicated
Contig11097_RC	DHRS3	non_indicated
PTPRM	GJC1	non_indicated
PTPRM	CNN3	non_indicated
PTPRM	DMGDH	non_indicated
PTPRM	ERG	non_indicated
SERPINE1	USP2	non_indicated
SERPINE1	FILIP1L	non_indicated
SERPINE1	TNC	non_indicated
SERPINE1	MFSD2	non_indicated
SERPINE1	CCIN	non_indicated
SERPINE1	ANKRD43	non_indicated
SERPINE1	BATF3	non_indicated
SERPINE1	AF035291	non_indicated
SERPINE1	HSS00020342	non_indicated
PACSIN2	RASGRP2	non_indicated
Contig21406_RC	SEMA6A	non_indicated
Contig21406_RC	Contig41806_RC	non_indicated
Contig21406_RC	AF147347	non_indicated
Contig36794_RC	GOLGA8G	non_indicated
PDZRN4	ANO4	non_indicated
PDZRN4	TSPAN2	non_indicated
PDZRN4	F5	non_indicated
ADAMTSL3	ENPEP	non_indicated
ADAMTSL3	AGTR1	non_indicated
Contig6568_RC	AK055302	non_indicated
Contig34291_RC	Contig6118_RC	non_indicated
Contig34291_RC	Contig15169_RC	non_indicated
Contig34291_RC	AK000974	non_indicated
Contig34291_RC	AK022264	non_indicated
Contig34291_RC	AF086037	non_indicated
Contig34291_RC	AK001132	non_indicated
Contig34291_RC	CADM1	non_indicated
Contig34291_RC	XM_212535	non_indicated
Contig34291_RC	AL832405	non_indicated
Contig34291_RC	BC016339	non_indicated
PEAR1	Contig41363_RC	non_indicated
PEAR1	GIMAP1	non_indicated
PEAR1	SCN4B	non_indicated
FHL1	THBS1	non_indicated
SRGAP2P1	Contig34043_RC	non_indicated
SRGAP2P1	MPDZ	non_indicated
SRGAP2P1	Contig63302_RC	non_indicated
SRGAP2P1	C10orf118	non_indicated
SRGAP2P1	HSS00119155	non_indicated
SRGAP2P1	KRAS	RASopathy_gene
Contig38542_RC	Contig49614_RC	non_indicated
Contig38542_RC	PTER	non_indicated
Contig38542_RC	HSS00381345	non_indicated
Contig38542_RC	HSS00046190	non_indicated
Contig34880_RC	Contig42328_RC	non_indicated
Contig34880_RC	AK024366	non_indicated
Contig34880_RC	AK054828	non_indicated
Contig34880_RC	AK026286	non_indicated
Contig34880_RC	APOLD1	non_indicated
Contig34880_RC	HES5	non_indicated
Contig34880_RC	AF087961	non_indicated
Contig34880_RC	HSS00200472	non_indicated
YWHAB	DNAJA1	non_indicated
YWHAB	LAP3	non_indicated
YWHAB	GSTM5	non_indicated
NR4A2	PTGS2	non_indicated
NR4A2	Contig43708_RC	non_indicated
NR4A2	AK022474	non_indicated
NR4A2	TCP11L2	non_indicated
Contig45911_RC	1-Mar	non_indicated
Contig45911_RC	MGAT4A	non_indicated
Contig45911_RC	MSR1	non_indicated
SGMS2	NDFIP2	non_indicated
SGMS2	AF131784	non_indicated
SGMS2	RABGAP1L	non_indicated
SGMS2	FRMD4B	non_indicated
SGMS2	SEMA3C	non_indicated
SGMS2	hCT1951519.1	non_indicated
SGMS2	DPP4	non_indicated
RPL12	ANKRD16	non_indicated
RPL12	hCT6393.3	non_indicated
ENPP2	TIAM1	non_indicated
LRRN2	AEBP1	non_indicated
LRRN2	NGFR	non_indicated
LRRN2	IGFBP4	non_indicated
LRRN2	CREB3L1	non_indicated
TYMS	ENOSF1	non_indicated
U63542	AK023783	non_indicated
CDH5	HSS00090186	non_indicated
RCAN2	AK025205	non_indicated
FAM83H	KIAA1522	non_indicated
FAM83H	MMEL1	non_indicated
FAM83H	C1RL	non_indicated
FAM83H	ARNT2	non_indicated
STON2	Contig30994_RC	non_indicated
STON2	C8orf79	non_indicated
STON2	FAM19A2	non_indicated
STON2	IGSF10	non_indicated
PROCR	CST6	non_indicated
PROCR	RAMP1	non_indicated
9-Sep	LIMK1	non_indicated
9-Sep	Contig40252_RC	non_indicated
9-Sep	KIF26A	non_indicated
9-Sep	LEPROT	non_indicated
Contig36638_RC	Contig40234_RC	non_indicated
Contig36638_RC	AK056037	non_indicated
Contig36638_RC	NCRNA00115	non_indicated
Contig36638_RC	AK093521	non_indicated
Contig36638_RC	BC036621	non_indicated
Contig57091_RC	Contig41392_RC	non_indicated
Contig57091_RC	FAM111A	non_indicated
Contig57091_RC	ZNF471	non_indicated
Contig57091_RC	RFXAP	non_indicated
Contig57091_RC	S73397	non_indicated
RAB5C	Contig39739_RC	non_indicated
RAB5C	EXT1	non_indicated
RAB5C	TMEM57	non_indicated
RAB5C	SLC16A3	non_indicated
RAB5C	TRAF4	non_indicated
RAB5C	MMP14	non_indicated
RAB5C	ANXA6	non_indicated
RAB5C	CLPTM1	non_indicated
RAB5C	AP2B1	non_indicated
RAB5C	PHF5A	non_indicated
RAB5C	SRGAP1	non_indicated
MTSS1	Contig35866_RC	non_indicated
SLC35A3	Contig31122_RC	non_indicated
Contig36052_RC	CCDC40	non_indicated
Contig36052_RC	FAM155A	non_indicated
Contig36052_RC	Contig64477	non_indicated
Contig36052_RC	KCNMB2	non_indicated
Contig36052_RC	HSS00043969	non_indicated
TSKU	SLC29A1	non_indicated
S1PR1	SPRY2	non_indicated
S1PR1	CDS1	non_indicated
S1PR1	ETS2	non_indicated
S1PR1	CDH5	non_indicated
S1PR1	GADD45A	non_indicated
S1PR1	AK021471	non_indicated
S1PR1	ASRGL1	non_indicated
S1PR1	BC035064	non_indicated
STEAP1	PNO1	non_indicated
SULT1A2	SULT1A1	non_indicated
KCNJ12	MXRA5	non_indicated
MDFI	MRPL12	non_indicated
MDFI	AK000792	non_indicated
MDFI	HSS00095386	non_indicated
Contig43449_RC	Contig26641	non_indicated
Contig43449_RC	SHC4	non_indicated
Contig43449_RC	NEGR1	non_indicated
Contig43449_RC	KLKB1	non_indicated
Contig43449_RC	Contig27655_RC	non_indicated
Contig43449_RC	C8orf79	non_indicated
Contig43449_RC	CTTNBP2	non_indicated
F13A1	CLEC4G	non_indicated
F13A1	CD163L1	non_indicated
F13A1	NCF4	non_indicated
LRRC32	CX3CL1	non_indicated
LRRC32	LAMA5	non_indicated
LRRC32	NOTCH3	non_indicated
LRRC32	XM_211349	non_indicated
LRRC32	AATK	non_indicated
PLA2G16	ABCC4	non_indicated
PLA2G16	FAM89A	non_indicated
PLA2G16	CIDEA	non_indicated
PLA2G16	TM7SF2	non_indicated
PLA2G16	C20orf3	non_indicated
PLA2G16	ORMDL3	non_indicated
PLA2G16	BC039445	non_indicated
PLA2G16	FAM87B	non_indicated
TXN	KCNJ12	non_indicated
TXN	ENST00000296045	non_indicated
TXN	MFSD1	non_indicated
TXN	MMP19	non_indicated
TXN	XM_096506	non_indicated
RPL34	RPS8	non_indicated
RPL34	ENST00000268750	non_indicated
RPL34	HSS00061243	non_indicated
AK000802	Contig14068_RC	non_indicated
AK000802	AK056840	non_indicated
XYLT1	MARK1	non_indicated
XYLT1	BMPER	non_indicated
XYLT1	AK025384	non_indicated
LIG4	BANK1	non_indicated
LIG4	ZDHHC21	non_indicated
LIG4	MANEA	non_indicated
NFIL3	RDH10	non_indicated
CLCN5	C9	non_indicated
CAPZA2	HIBCH	non_indicated
CAPZA2	UAP1	non_indicated
CAPZA2	NT5C3	non_indicated
CAPZA2	GPR34	non_indicated
CAPZA2	TRNT1	non_indicated
