source	interaction_type	target	status
DLEU2	bn	ZNF350	non_indicated
KCP	bn	GSTO1	non_indicated
KCP	bn	KDELR1	non_indicated
KCP	bn	LGALS1	non_indicated
KCP	bn	DDA1	non_indicated
APOL6	bn	GBP2	non_indicated
ZNF587	bn	ZNF418	non_indicated
MYCBP2	bn	NASP	non_indicated
CCDC147	bn	PDE6H	non_indicated
RAF1	bn	BCL2L11	RASopathy_gene
RAF1	bn	ZSCAN30	RASopathy_gene
RAF1	bn	GPR143	RASopathy_gene
RAF1	bn	VNN3	RASopathy_gene
RAF1	bn	JMJD1C	RASopathy_gene
RAF1	bn	SORL1	RASopathy_gene
RAF1	bn	RBM5	RASopathy_gene
RAF1	bn	LOC100130175	RASopathy_gene
RAF1	bn	LINC00173	RASopathy_gene
RAF1	bn	LOC646014	RASopathy_gene
RAF1	bn	LOC100507006	RASopathy_gene
RAF1	bn	STK19	RASopathy_gene
PPP2R5C	bn	SLC6A16	non_indicated
PPP2R5C	bn	TRAF3IP2	non_indicated
PPP2R5C	bn	NKTR	non_indicated
PPP2R5C	bn	FNBP1	non_indicated
AFG3L2	bn	VWA5A	non_indicated
GSTO1	bn	GGCX	non_indicated
TCTE3	bn	LOC340544	non_indicated
STRAP	bn	SYMPK	non_indicated
STRAP	bn	ZNF551	non_indicated
STRAP	bn	PBRM1	non_indicated
LOC399491	bn	C16orf62	non_indicated
LOC399491	bn	POGZ	non_indicated
LOC399491	bn	LOC100505915	non_indicated
TAF11	bn	LOC100190986	non_indicated
LOC439911	bn	ARHGEF40	non_indicated
FTX	bn	LOC100506599	non_indicated
FTX	bn	ANKRD10	non_indicated
LOC100508047	bn	LOC100287195	non_indicated
LOC100131541	bn	HEATR5B	non_indicated
LOC100131541	bn	ZMYND8	non_indicated
ZNF621	bn	GATAD1	non_indicated
ZNF621	bn	GTF3C3	non_indicated
FAM13A-AS1	bn	AIF1	non_indicated
FAM13A-AS1	bn	CTRL	non_indicated
FAM13A-AS1	bn	ABCC6	non_indicated
FAM13A-AS1	bn	YPEL3	non_indicated
PIK3R6	bn	ACSF2	non_indicated
PIK3R6	bn	CACNG8	non_indicated
THEMIS	bn	CD226	non_indicated
FOXP1	bn	LOC100507577	non_indicated
PTPRE	bn	TSC22D4	non_indicated
PTPRE	bn	LINC00537	non_indicated
9-Sep	bn	IKZF1	non_indicated
NDUFB6	bn	XYLT1	non_indicated
HCG27	bn	SLC35E3	non_indicated
MB21D1	bn	DNAJC13	non_indicated
MB21D1	bn	LOC100505876	non_indicated
MB21D1	bn	XIAP	non_indicated
C14orf64	bn	PCSK5	non_indicated
C14orf64	bn	PDE9A	non_indicated
C14orf64	bn	MAN1C1	non_indicated
C14orf64	bn	BTBD18	non_indicated
C14orf64	bn	KIAA0664L3	non_indicated
C14orf64	bn	SEMA6A	non_indicated
C14orf64	bn	C5orf63	non_indicated
VHL	bn	MB21D1	non_indicated
VHL	bn	METTL7A	non_indicated
LOC100506948	bn	FAM208B	non_indicated
LOC100506948	bn	KPNA3	non_indicated
LOC100506948	bn	ELK3	non_indicated
LOC100506948	bn	UBTD2	non_indicated
LOC100506948	bn	CCDC6	non_indicated
LOC100506948	bn	UPRT	non_indicated
LOC100506948	bn	KIAA1429	non_indicated
TCP11L2	bn	CASC4	non_indicated
TCP11L2	bn	TTLL3	non_indicated
TCP11L2	bn	LINC00260	non_indicated
SYMPK	bn	LOC100129917	non_indicated
C1orf200	bn	FOSL2	non_indicated
LOC729870	bn	CDKL1	non_indicated
LOC100289019	bn	TMEM63A	non_indicated
