RGD:1598136	RGD:1598136	Brk1
RGD:1566260	RGD:1566260	Srgap1
RGD:620430	RGD:620430	Myoc
RGD:1306487	RGD:1306487	Rab3gap1
RGD:3086	RGD:3086	Kitlg
RGD:620399	RGD:620399	Cyth3
RGD:620398	RGD:620398	Cyth2
RGD:620397	RGD:620397	Cyth1
RGD:620395	RGD:620395	Rasgrf1
RGD:1307714	RGD:1307714	Kank1
RGD:1307705	RGD:1307705	Pak4
RGD:621059	RGD:621059	Ccna2
RGD:621063	RGD:621063	Csf1
RGD:620297	RGD:620297	Psd
RGD:1306279	RGD:1306279	Abr
WB:WBGene00002285	WB:WBGene00002285	let-7
RGD:1311390	RGD:1311390	Rfxank
RGD:2405	RGD:2405	Crk
RGD:1306669	RGD:1306669	Arhgap24
RGD:1306661	RGD:1306661	Chuk
RGD:735172	RGD:735172	Rab15
RGD:735113	RGD:735113	Sgsm3
RGD:1593487	RGD:1593487	Rab20
RGD:1311286	RGD:1311286	Rab39a
RGD:2513	RGD:2513	Dnm2
RGD:2561	RGD:2561	Erbb2
RGD:1306534	RGD:1306534	Prex1
RGD:1306529	RGD:1306529	Dhcr24
RGD:1306506	RGD:1306506	Mmd2
RGD:61807	RGD:61807	Foxm1
RGD:619963	RGD:619963	Stambp
RGD:1308023	RGD:1308023	Ralgapa2
RGD:1308003	RGD:1308003	Farp2
RGD:1583840	RGD:1583840	Dnmbp
SGD:S000005082	SGD:S000005082	SRV2
SGD:S000005465	SGD:S000005465	WSC3
SGD:S000003899	SGD:S000003899	IML1
SGD:S000000748	SGD:S000000748	GEA2
SGD:S000004363	SGD:S000004363	ROM2
SGD:S000002577	SGD:S000002577	SEC7
SGD:S000003792	SGD:S000003792	GEA1
SGD:S000004301	SGD:S000004301	CDC25
SGD:S000003700	SGD:S000003700	TPK1
SGD:S000000344	SGD:S000000344	IRA1
SGD:S000001295	SGD:S000001295	BCY1
SGD:S000005898	SGD:S000005898	GPB1
SGD:S000002797	SGD:S000002797	SAC7
SGD:S000003302	SGD:S000003302	ROM1
RGD:1309958	RGD:1309958	Rab6b
RGD:1309903	RGD:1309903	Arfgef3
RGD:1566098	RGD:1566098	Mcf2
RGD:1586551	RGD:1586551	Brap
RGD:1564842	RGD:1564842	Cyth4
RGD:1309890	RGD:1309890	Arhgef17
RGD:2324148	RGD:2324148	Tiam2
RGD:1309840	RGD:1309840	Fgd2
SGD:S000003621	SGD:S000003621	EXO70
SGD:S000001015	SGD:S000001015	NPR3
SGD:S000000520	SGD:S000000520	BUD3
SGD:S000004168	SGD:S000004168	TFS1
SGD:S000003542	SGD:S000003542	CYR1
WB:WBGene00003312	WB:WBGene00003312	mir-84
SGD:S000006124	SGD:S000006124	TPK2
SGD:S000005534	SGD:S000005534	SLG1
RGD:1304938	RGD:1304938	Arap3
RGD:1591781	RGD:1591781	Rsu1
RGD:1583676	RGD:1583676	Plekhg1
RGD:1310289	RGD:1310289	Psd4
RGD:2319500	RGD:2319500	Ralgps1
RGD:1310253	RGD:1310253	Cdc42ep2
RGD:3529	RGD:3529	Rab4a
RGD:1310221	RGD:1310221	Gna13
RGD:1310113	RGD:1310113	Tnk1
RGD:1310112	RGD:1310112	Plekhg2
RGD:1565941	RGD:1565941	Vav3
RGD:1359547	RGD:1359547	Arhgdia
RGD:1560320	RGD:1560320	Dennd4b
RGD:1305370	RGD:1305370	Ift22
RGD:1305363	RGD:1305363	Mapkap1
RGD:1305346	RGD:1305346	Farp1
RGD:1585585	RGD:1585585	Arhgef10l
RGD:1308924	RGD:1308924	Tax1bp3
RGD:1308905	RGD:1308905	Rab18
RGD:1565043	RGD:1565043	Arhgef10
RGD:2981	RGD:2981	Kras
RGD:2927	RGD:2927	Itgb1
RGD:2868	RGD:2868	Igf1
RGD:2827	RGD:2827	Hras
RGD:1308738	RGD:1308738	Arhgap35
RGD:1560793	RGD:1560793	Arfgef1
RGD:708493	RGD:708493	Abra
RGD:621865	RGD:621865	Kalrn
RGD:628598	RGD:628598	Rab31
RGD:1560667	RGD:1560667	Trim67
RGD:1310376	RGD:1310376	Arhgef39
RGD:1310372	RGD:1310372	Als2
RGD:70495	RGD:70495	Map2k1
RGD:1310333	RGD:1310333	Itga3
RGD:1310332	RGD:1310332	Cyfip1
RGD:3440	RGD:3440	Pth
RGD:70486	RGD:70486	Cdk2
RGD:1305663	RGD:1305663	Rab40b
RGD:727914	RGD:727914	Rab40c
RGD:1560224	RGD:1560224	Arhgef33
RGD:1590980	RGD:1590980	Aatk
RGD:1305208	RGD:1305208	Als2cl
RGD:628901	RGD:628901	Arhgap4
RGD:727874	RGD:727874	Rtkn
RGD:9129186	RGD:9129186	LOC103692165
RGD:1560150	RGD:1560150	Rab44
RGD:1590898	RGD:1590898	Abl2
RGD:1590890	RGD:1590890	Itsn2
RGD:1305111	RGD:1305111	Arhgef12
RGD:628843	RGD:628843	Mfn2
RGD:1311434	RGD:1311434	Ctnnal1
RGD:7710946	RGD:7710946	LOC102556447
RGD:1565609	RGD:1565609	Fgd6
RGD:727905	RGD:727905	Strada
RGD:621090	RGD:621090	Syngap1
RGD:1560078	RGD:1560078	Celsr1
RGD:1305058	RGD:1305058	Rab34
RGD:628771	RGD:628771	Abi2
RGD:1305034	RGD:1305034	Net1
RGD:628764	RGD:628764	Rab8b
RGD:628752	RGD:628752	Rab38
RGD:1642882	RGD:1642882	Rab1b
RGD:70929	RGD:70929	Dgkz
RGD:628617	RGD:628617	Adgrg1
RGD:1565457	RGD:1565457	Rasa4
RGD:621869	RGD:621869	Rapgef3
RGD:70941	RGD:70941	Dbnl
RGD:1359694	RGD:1359694	Rap1a
RGD:1359674	RGD:1359674	Arhgef6
RGD:621497	RGD:621497	Sdcbp
RGD:1308190	RGD:1308190	Cul3
RGD:1307299	RGD:1307299	Wasf2
RGD:1307295	RGD:1307295	Rabgef1
RGD:1310793	RGD:1310793	Rras2
RGD:1310790	RGD:1310790	Plekhg4
RGD:2318544	RGD:2318544	Plekhg6
RGD:2319083	RGD:2319083	Ect2l
RGD:1307160	RGD:1307160	Gbf1
RGD:1565300	RGD:1565300	Rab43
RGD:1565263	RGD:1565263	Rab19
RGD:621686	RGD:621686	Dab2ip
RGD:621618	RGD:621618	Icmt
RGD:1565188	RGD:1565188	Fgd1
RGD:1592823	RGD:1592823	Phactr4
RGD:1310672	RGD:1310672	Arhgef3
RGD:1310650	RGD:1310650	Kif14
RGD:1305951	RGD:1305951	Iqgap3
RGD:1359415	RGD:1359415	Rab1b-ps1
RGD:1307095	RGD:1307095	Rab5c
RGD:1307061	RGD:1307061	Arhgef28
RGD:735210	RGD:735210	Arhgef25
RGD:1583373	RGD:1583373	LOC683719
RGD:1310590	RGD:1310590	Eps8
RGD:69400	RGD:69400	Synj2bp
RGD:69413	RGD:69413	Rasgrf2
RGD:1310528	RGD:1310528	Rhoj
RGD:3250	RGD:3250	Pak1
RGD:3251	RGD:3251	Pak3
RGD:1305836	RGD:1305836	Rasgef1a
RGD:1359383	RGD:1359383	Rassf1
RGD:1359329	RGD:1359329	Pdcd10
RGD:1307455	RGD:1307455	Tiam1
RGD:1310966	RGD:1310966	Dok2
RGD:1310949	RGD:1310949	Sos1
RGD:621310	RGD:621310	Rhog
RGD:1310912	RGD:1310912	Eps8l2
RGD:735088	RGD:735088	Flcn
RGD:621341	RGD:621341	Nrg1
RGD:621351	RGD:621351	Col1a2
RGD:1308093	RGD:1308093	Arhgef40
RGD:1312009	RGD:1312009	Pak7
RGD:70991	RGD:70991	Flot1
RGD:1308703	RGD:1308703	Ift27
RGD:1305589	RGD:1305589	Fgd5
RGD:1303160	RGD:1303160	Arhgap20
RGD:1303150	RGD:1303150	Rab21
RGD:1303132	RGD:1303132	Plekhg5
RGD:2319982	RGD:2319982	Rab37
RGD:620114	RGD:620114	Rab27b
RGD:631430	RGD:631430	Arfgef2
RGD:620924	RGD:620924	Rab3d
RGD:2676	RGD:2676	Gdi1
RGD:1311567	RGD:1311567	Cdc42ep4
RGD:1311537	RGD:1311537	Ralgps2
RGD:1306867	RGD:1306867	Rab23
RGD:1306861	RGD:1306861	Ralgapb
RGD:620718	RGD:620718	Arhgef5
RGD:2263	RGD:2263	Camk2d
RGD:2059	RGD:2059	Adrb1
RGD:2055	RGD:2055	Adra1a
RGD:2054	RGD:2054	Adra1b
RGD:1588981	RGD:1588981	Arhgef16
RGD:2319287	RGD:2319287	Rab5al1
RGD:1311472	RGD:1311472	Spry2
RGD:2323	RGD:2323	Cdkn2a
RGD:1311448	RGD:1311448	Arhgef18
RGD:1306749	RGD:1306749	Rabl2a
RGD:6497075	RGD:6497075	LOC100910732
RGD:620890	RGD:620890	Rab26
RGD:620892	RGD:620892	Rab29
RGD:1308382	RGD:1308382	Cdc42ep5
RGD:1308360	RGD:1308360	Trio
RGD:1308353	RGD:1308353	Rab33b
RGD:1311879	RGD:1311879	Cnksr1
RGD:68416	RGD:68416	Dlc1
RGD:1311840	RGD:1311840	Dok3
RGD:1311820	RGD:1311820	Rasal1
RGD:1560471	RGD:1560471	Arhgef37
RGD:620424	RGD:620424	Rock1
RGD:620435	RGD:620435	Sos2
RGD:620476	RGD:620476	Rasgrp4
RGD:1563280	RGD:1563280	Rab33a
RGD:68369	RGD:68369	Rab11b
RGD:1311725	RGD:1311725	Fgd3
RGD:2070	RGD:2070	Agtr1a
RGD:61953	RGD:61953	Pak2
RGD:1308524	RGD:1308524	Ect2
RGD:61939	RGD:61939	Nckap1
RGD:61924	RGD:61924	Aif1
RGD:61908	RGD:61908	Rab7a
RGD:631344	RGD:631344	Abca1
RGD:631335	RGD:631335	Obscn
RGD:1583955	RGD:1583955	LOC691418
RGD:2595	RGD:2595	Fbp1
RGD:2586	RGD:2586	F2r
RGD:2559	RGD:2559	Epo
RGD:2535	RGD:2535	Ednra
RGD:1308447	RGD:1308447	Rab25
RGD:1305858	RGD:1305858	Cdc42ep3
RGD:1311959	RGD:1311959	Rab22a
RGD:61312	RGD:61312	Timp2
RGD:1559449	RGD:1559449	Stradb
RGD:69284	RGD:69284	Sh2b2
RGD:69280	RGD:69280	Cdh2
RGD:1309117	RGD:1309117	Rab2b
RGD:1309112	RGD:1309112	Rab24
RGD:708490	RGD:708490	Ssx2ip
RGD:1562951	RGD:1562951	Rab9b
RGD:620591	RGD:620591	Rap2b
RGD:620590	RGD:620590	Rap2a
RGD:1307993	RGD:1307993	Bcr
RGD:1307927	RGD:1307927	Dennd1a
RGD:3188	RGD:3188	Notch2
RGD:3177	RGD:3177	Ngfr
RGD:3168	RGD:3168	Nf1
RGD:3146	RGD:3146	Myo9b
RGD:1309055	RGD:1309055	Ngef
RGD:1309019	RGD:1309019	Rasal3
RGD:1594720	RGD:1594720	Scai
RGD:620563	RGD:620563	Lpar1
RGD:620577	RGD:620577	Rap1b
RGD:1308182	RGD:1308182	Elmo1
RGD:1308146	RGD:1308146	Shoc2
RGD:1561954	RGD:1561954	Wasf1
RGD:68323	RGD:68323	Rab2a
RGD:1306961	RGD:1306961	Arhgef15
RGD:1306950	RGD:1306950	Nisch
RGD:1307364	RGD:1307364	Spata13
