nodename	color	shape	size	font_size
MAGEH1	grey	circle	40	12
MAN2A1	grey	circle	40	12
MAOB	grey	circle	40	12
MAP2K1	lightgreen	circle	40	12
MAPK9	grey	circle	40	12
MAPKAPK2	grey	circle	40	12
MARK1	grey	circle	40	12
MAS1L	grey	circle	40	12
MATN2	grey	circle	40	12
MBTPS2	grey	circle	40	12
MCF2	grey	circle	40	12
MDH2	grey	circle	40	12
ME3	grey	circle	40	12
MED12L	grey	circle	40	12
MGAT5B	red	circle	120	36
MGST1	grey	circle	40	12
MIA	grey	circle	40	12
MKNK2	grey	circle	40	12
MLKL	grey	circle	40	12
MLLT11	grey	circle	40	12
MME	grey	circle	40	12
MND1	grey	circle	40	12
MRFAP1	grey	circle	40	12
MRO	grey	circle	40	12
MRPL11	grey	circle	40	12
MRPL15	grey	circle	40	12
MS4A8B	grey	circle	40	12
MT1A	grey	circle	40	12
MT1L	grey	circle	40	12
MTA1	grey	circle	40	12
MTHFD2	grey	circle	40	12
MXD1	grey	circle	40	12
MYBPC2	grey	circle	40	12
MYCT1	grey	circle	40	12
NAP1L3	grey	circle	40	12
NAPB	grey	circle	40	12
NECAP1	grey	circle	40	12
NEDD4L	grey	circle	40	12
NEFL	grey	circle	40	12
NELL2	grey	circle	40	12
NES	grey	circle	40	12
NEU4	grey	circle	40	12
NEUROD6	grey	circle	40	12
NFATC1	grey	circle	40	12
NFIL3	grey	circle	40	12
NFKBIA	grey	circle	40	12
NGFRAP1L1	grey	circle	40	12
NIPSNAP1	red	circle	120	36
NLK	red	circle	120	36
NM_006628	grey	circle	40	12
NM_007030	grey	circle	40	12
NM_012385	grey	circle	40	12
NM_013332	red	circle	120	36
NM_014445	grey	circle	40	12
NM_015092	grey	circle	40	12
NM_016414	grey	circle	40	12
NM_017694	grey	circle	40	12
NM_017884	grey	circle	40	12
NM_024666	grey	circle	40	12
NM_024969	grey	circle	40	12
NM_032495	grey	circle	40	12
NM_032623	grey	circle	40	12
NM_052864	grey	circle	40	12
NM_152497	grey	circle	40	12
NM_153607	grey	circle	40	12
NM_199345	grey	circle	40	12
NM_207462	grey	circle	40	12
NM_207513	grey	circle	40	12
NME5	grey	circle	40	12
NMU	grey	circle	40	12
NP	grey	circle	40	12
NPY5R	grey	circle	40	12
NQO1	grey	circle	40	12
NRAS	lightgreen	circle	40	12
NRCAM	grey	circle	40	12
NRIP2	grey	circle	40	12
NSF	grey	circle	40	12
NUDT4	grey	circle	40	12
NUDT4P1	grey	circle	40	12
NXN	grey	circle	40	12
OGFRL1	grey	circle	40	12
OLFM3	grey	circle	40	12
OLIG1	grey	circle	40	12
OPA1	grey	circle	40	12
OSMR	grey	circle	40	12
OXR1	grey	circle	40	12
P4HA1	grey	circle	40	12
PAK1	red	circle	120	36
PAK3	grey	circle	40	12
PCDH7	grey	circle	40	12
PCID2	grey	circle	40	12
PCMT1	grey	circle	40	12
PCNX	grey	circle	40	12
PCYOX1L	grey	circle	40	12
PDIA4	grey	circle	40	12
PDIA6	grey	circle	40	12
PDLIM4	grey	circle	40	12
PEG3	grey	circle	40	12
PHF14	grey	circle	40	12
PHF19	grey	circle	40	12
PHLDB2	grey	circle	40	12
PIGZ	grey	circle	40	12
PIK4CA	grey	circle	40	12
PIP5K2B	grey	circle	40	12
PIR	grey	circle	40	12
PITPNB	grey	circle	40	12
PKD1L3	grey	circle	40	12
PKN2	grey	circle	40	12
PLAUR	grey	circle	40	12
PLCXD3	grey	circle	40	12
PLD3	grey	circle	40	12
PLDN	grey	circle	40	12
PLEKHA1	grey	circle	40	12
PLEKHA5	grey	circle	40	12
PLOD1	grey	circle	40	12
PLOD2	grey	circle	40	12
PLOD3	grey	circle	40	12
PLXNA2	grey	circle	40	12
PODXL	grey	circle	40	12
POLR3G	grey	circle	40	12
POLR3K	grey	circle	40	12
POU2F1	grey	circle	40	12
PPAPDC1A	grey	circle	40	12
PPFIA2	grey	circle	40	12
PPFIBP1	grey	circle	40	12
PPIC	grey	circle	40	12
PPIG	grey	circle	40	12
PPM1H	grey	circle	40	12
PPP1R14B	grey	circle	40	12
PRDM12	grey	circle	40	12
PRICKLE1	grey	circle	40	12
PRKCH	red	circle	120	36
PRNP	grey	circle	40	12
PROK2	grey	circle	40	12
PROX1	grey	circle	40	12
PSMB8	grey	circle	40	12
PSMD8	grey	circle	40	12
PTBP1	grey	circle	40	12
PTPLAD2	grey	circle	40	12
PTPN2	red	circle	120	36
