Gene	Status
NDRG3	non_indicated
NDRG4	non_indicated
Contig30343_RC	non_indicated
RNF130	non_indicated
VIL2	non_indicated
TUSC5	non_indicated
AK026384	non_indicated
ENOSF1	non_indicated
TSHZ2	non_indicated
MRC2	non_indicated
Contig26278_RC	non_indicated
AI962169	non_indicated
TIPARP	non_indicated
AK056396	non_indicated
AK022016	non_indicated
AF086190	non_indicated
CAMKK2	non_indicated
CAMKK1	non_indicated
AK096685	non_indicated
NPTXR	non_indicated
hCT1645818.3	non_indicated
MYO1F	non_indicated
MYO1E	non_indicated
MYO1D	non_indicated
NM_173519	non_indicated
hCT1971424.1	non_indicated
CHMP6	non_indicated
BCR	non_indicated
PGBD5	non_indicated
PGBD1	non_indicated
PPAPDC1A	non_indicated
NM_001001681	non_indicated
CHST6	non_indicated
GALNTL5	non_indicated
CEP55	non_indicated
GALNTL1	non_indicated
NM_175917	non_indicated
GALNTL2	non_indicated
LGALS9	non_indicated
LGALS8	non_indicated
NM_006780	non_indicated
LGALS3	non_indicated
XM_069912	non_indicated
NMU	non_indicated
HN1	non_indicated
NMB	non_indicated
NM_032947	non_indicated
AL133109	non_indicated
MYO10	non_indicated
PLAUR	non_indicated
HSS00178724	non_indicated
KIAA1522	non_indicated
LRRC20	non_indicated
HSS00289922	non_indicated
LPGAT1	non_indicated
SEMA6D	non_indicated
LRRC28	non_indicated
GCNT1	non_indicated
Contig34989_RC	non_indicated
C14orf132	non_indicated
MID1IP1	non_indicated
CALCRL	non_indicated
Contig9229	non_indicated
AL360204	non_indicated
HSS00133488	non_indicated
PIGZ	non_indicated
TAGLN	non_indicated
HSS00183722	non_indicated
ENST00000301827	non_indicated
OLR1	non_indicated
RHPN2	non_indicated
C9orf116	non_indicated
PDK1	non_indicated
HSS00085965	non_indicated
PDK4	non_indicated
LNPEP	non_indicated
PTGS2	non_indicated
NM_018215	non_indicated
OGFRL1	non_indicated
ZFAND5	non_indicated
SLC39A12	non_indicated
SLC39A10	non_indicated
SLC39A11	non_indicated
SLC39A14	non_indicated
HSPD1	non_indicated
EIF1AX	non_indicated
EIF1AY	non_indicated
NTRK2	non_indicated
ARHGAP20	non_indicated
ARHGAP29	non_indicated
HSS00327746	non_indicated
DDIT3	non_indicated
DDIT4	non_indicated
BMP6	non_indicated
BMP5	non_indicated
BMP4	non_indicated
GPR4	non_indicated
Contig54403	non_indicated
NM_080656	non_indicated
GOLGA8A	non_indicated
RASSF8	non_indicated
RASSF2	non_indicated
RASSF5	non_indicated
RASSF4	non_indicated
SMAP1L	non_indicated
KIAA1509	non_indicated
HSS00213762	non_indicated
RSAD2	non_indicated
CHD5	non_indicated
CHD7	non_indicated
CHD9	non_indicated
CAP2	non_indicated
NPC2	non_indicated
NPC1	non_indicated
Contig8125_RC	non_indicated
NM_176827	non_indicated
ATP10B	non_indicated
C3orf59	non_indicated
IL4R	non_indicated
TTC9	non_indicated
C3orf57	non_indicated
CAPS	non_indicated
Contig37991_RC	non_indicated
DYNC1LI1	non_indicated
CHDH	non_indicated
CAPG	non_indicated
NM_174888	non_indicated
BC029255	non_indicated
MPG	non_indicated
PLSCR4	non_indicated
PRDM12	non_indicated
PLSCR1	non_indicated
MPO	non_indicated
ENST00000241847	non_indicated
XM_068880	non_indicated
PF4	non_indicated
MPZ	non_indicated
MCPH1	non_indicated
AK057725	non_indicated
Contig50156_RC	non_indicated
PRKCQ	non_indicated
AL049990	non_indicated
AL049991	non_indicated
HSS00168882	non_indicated
AKR1B10	non_indicated
BTG3	non_indicated
BTG2	non_indicated
SOSTDC1	non_indicated
SRD5A1	non_indicated
Contig42962_RC	non_indicated
FAM49A	non_indicated
FAM49B	non_indicated
ZFP36L1	non_indicated
HSS00041283	non_indicated
hCT2273679	non_indicated
C10orf90	non_indicated
C15orf40	non_indicated
FHOD3	non_indicated
PSMB9	non_indicated
PRKACB	non_indicated
STAMBPL1	non_indicated
AL137342	non_indicated
XM_085242	non_indicated
BC073889	non_indicated
PFTK1	non_indicated
Contig40015_RC	non_indicated
AK025143	non_indicated
AK025148	non_indicated
CORO6	non_indicated
TMEM16C	non_indicated
TMEM16B	non_indicated
TMEM16E	non_indicated
TMEM16D	non_indicated
TMEM16G	non_indicated
TMEM16F	non_indicated
AK095543	non_indicated
SFRS6	non_indicated
SFRS5	non_indicated
AF086383	non_indicated
KCNK1	non_indicated
KCNK2	non_indicated
KCNK3	non_indicated
SULT1A4	non_indicated
BEX2	non_indicated
CRYZ	non_indicated
ELTD1	non_indicated
CRYM	non_indicated
TMEM163	non_indicated
TMEM165	non_indicated
TMEM169	non_indicated
EVI2B	non_indicated
FOXN2	non_indicated
NM_173702	non_indicated
COL14A1	non_indicated
GRIN2C	non_indicated
GNA14	non_indicated
GRIN2A	non_indicated
GNA13	non_indicated
TAP1	non_indicated
SNAP91	non_indicated
SBF2	non_indicated
AK095156	non_indicated
ADD2	non_indicated
C11orf39	non_indicated
Contig47252_RC	non_indicated
hCT2286560	non_indicated
WEE2	non_indicated
WEE1	non_indicated
hCT2322040	non_indicated
CRTAM	non_indicated
BCAT1	non_indicated
AKAP5	non_indicated
AKAP6	non_indicated
AL157448	non_indicated
XM_172222	non_indicated
CCDC117	non_indicated
HSS00232196	non_indicated
ENST00000289853	non_indicated
HSP90B1	non_indicated
AK094457	non_indicated
HSS00095537	non_indicated
AF086037	non_indicated
Contig14671_RC	non_indicated
TMEM132B	non_indicated
Contig26835_RC	non_indicated
PCLO	non_indicated
H3F3B	non_indicated
DIO2	non_indicated
DIO3	non_indicated
CCL20	non_indicated
AK091677	non_indicated
AL833650	non_indicated
CCL26	non_indicated
ALPK1	non_indicated
C8orf47	non_indicated
TP53I3	non_indicated
TMSL3	non_indicated
XM_062614	non_indicated
FAM70B	non_indicated
DNAJC6	non_indicated
Contig46047_RC	non_indicated
AF070602	non_indicated
TRIM48	non_indicated
NRN1	non_indicated
AK056003	non_indicated
Contig36432_RC	non_indicated
FAM91A2	non_indicated
RNF152	non_indicated
RNF150	non_indicated
hCT1643217.3	non_indicated
ATOH8	non_indicated
MARVELD3	non_indicated
AK027191	non_indicated
LDLR	non_indicated
BC030101	non_indicated
NM_174948	non_indicated
RAB33A	non_indicated
ENST00000299383	non_indicated
SLC17A6	non_indicated
SLC17A7	non_indicated
SPAG16	non_indicated
MDH1B	non_indicated
C16orf58	non_indicated
CDK5RAP2	non_indicated
hCT6710.3	non_indicated
Contig25610_RC	non_indicated
ERC2	non_indicated
CHMP4C	non_indicated
CTSK	non_indicated
BHMT2	non_indicated
PRKCDBP	non_indicated
ZNF200	non_indicated
TOB2	non_indicated
CTSO	non_indicated
SULF1	non_indicated
hCT2324062	non_indicated
hCT2324063	non_indicated
GPR124	non_indicated
GPR125	non_indicated
GPR120	non_indicated
ATP6V1B2	non_indicated
GPR128	non_indicated
ENST00000293571	non_indicated
ZNF304	non_indicated
NM_153615	non_indicated
Contig43703_RC	non_indicated
P2RY6	non_indicated
P2RY5	non_indicated
HVCN1	non_indicated
AL049277	non_indicated
CTSZ	non_indicated
AL049275	non_indicated
RND1	non_indicated
RND2	non_indicated
RND3	non_indicated
PPP3CA	non_indicated
PPP3CB	non_indicated
LIF	non_indicated
LRRC40	non_indicated
LRRC44	non_indicated
LRRC46	non_indicated
LRRC49	non_indicated
B3GNT4	non_indicated
B3GNT5	non_indicated
B3GNT1	non_indicated
B3GNT2	non_indicated
FNDC5	non_indicated
Contig50368	non_indicated
ADRA2A	non_indicated
HSS00212166	non_indicated
DAAM2	non_indicated
HLA-DRB1	non_indicated
HLA-DRB6	non_indicated
HLA-DRB4	non_indicated
HLA-DRB5	non_indicated
hCT2336113	non_indicated
TUFT1	non_indicated
TLR10	non_indicated
LRRC4C	non_indicated
FN1	non_indicated
SYT1	non_indicated
SYT2	non_indicated
SYT4	non_indicated
SYT7	non_indicated
CXCL9	non_indicated
AF052141	non_indicated
BC041025	non_indicated
UBE2E4P	non_indicated
TASP1	non_indicated
AF131813	non_indicated
AF131815	non_indicated
Contig38398_RC	non_indicated
MARCO	non_indicated
TCP11L2	non_indicated
Contig12803_RC	non_indicated
PALMD	non_indicated
AK092660	non_indicated
ANGPT2	non_indicated
ANGPT1	non_indicated
Contig65401_RC	non_indicated
HSS00176616	non_indicated
AK001011	non_indicated
C1orf51	non_indicated
C1orf54	non_indicated
Contig11604_RC	non_indicated
GPR143	non_indicated
GPR98	non_indicated
ENST00000238803	non_indicated
GUCA1C	non_indicated
HSS00215920	non_indicated
MRPS30	non_indicated
ATR	non_indicated
ADAM33	non_indicated
SMPD3	non_indicated
PDE11A	non_indicated
ITGBL1	non_indicated
ATP5A1	non_indicated
Contig33077	non_indicated
SASH1	non_indicated
Contig52635_RC	non_indicated
XM_210598	non_indicated
ENO2	non_indicated
Contig28226_RC	non_indicated
SYCP3	non_indicated
TAOK3	non_indicated
ACOX2	non_indicated
SLC22A17	non_indicated
ACOX1	non_indicated
SLC22A13	non_indicated
SLC22A11	non_indicated
ENST00000278891	non_indicated
SUCNR1	non_indicated
AK093202	non_indicated
NM_020927	non_indicated
HSS00143309	non_indicated
NM_016140	non_indicated
RCSD1	non_indicated
MCL1	non_indicated
Contig27113_RC	non_indicated
SORBS1	non_indicated
SORBS2	non_indicated
GAL3ST4	non_indicated
AK094960	non_indicated
SCARA3	non_indicated
IL18RAP	non_indicated
SCARA5	non_indicated
ARHGDIB	non_indicated
USH1C	non_indicated
HSS00211978	non_indicated
MATN3	non_indicated
MATN2	non_indicated
TANC2	non_indicated
CES1	non_indicated
XM_211972	non_indicated
EBF1	non_indicated
ATP6V0E1	non_indicated
HBA1	non_indicated
Contig26388_RC	non_indicated
LMNA	non_indicated
HBA2	non_indicated
BDH2	non_indicated
NM_016368	non_indicated
CREB3L2	non_indicated
DDX25	non_indicated
DDX24	non_indicated
GULP1	non_indicated
AK095779	non_indicated
Contig28909_RC	non_indicated
hCT2289034	non_indicated
FKBP10	non_indicated
PBEF1	non_indicated
HSS00128455	non_indicated
FAM3C	non_indicated
HSS00126613	non_indicated
RAET1L	non_indicated
C20orf10	non_indicated
hCT24071.2	non_indicated
Contig28712_RC	non_indicated
CNGB1	non_indicated
TRUB1	non_indicated
SNORD47	non_indicated
SLCO4C1	non_indicated
C9orf164	non_indicated
C9orf165	non_indicated
AL137494	non_indicated
PLA2G5	non_indicated
Contig48076_RC	non_indicated
SHC4	non_indicated
ERBB3	non_indicated
ATPAF1	non_indicated
SHC1	non_indicated
SHC3	non_indicated
NM_024841	non_indicated
FPR1	non_indicated
ENST00000267539	non_indicated
NM_024846	non_indicated
HIST3H2BB	non_indicated
NM_175897	non_indicated
