Gene	Status
BRD4	non_indicated
BRD7	non_indicated
BRD2	non_indicated
DNAJA2	non_indicated
DNAJA3	non_indicated
TBC1D15	non_indicated
DNAJA4	non_indicated
PTPN12	non_indicated
PTPN11	RASopathy_gene
PTPN14	non_indicated
UTRN	non_indicated
LYAR	non_indicated
HCRP1	non_indicated
MRPL24	non_indicated
MRPL27	non_indicated
CSF2RA	non_indicated
C16orf72	non_indicated
9-Sep	non_indicated
GAB2	non_indicated
C16orf79	non_indicated
LOC100506844	non_indicated
GAB1	non_indicated
HABP4	non_indicated
C2orf88	non_indicated
NDRG2	non_indicated
LOC100653004	non_indicated
ZSCAN2	non_indicated
SRSF4	non_indicated
SRSF7	non_indicated
SRSF6	non_indicated
SRSF1	non_indicated
CHD1L	non_indicated
SRSF3	non_indicated
SRSF2	non_indicated
MZB1	non_indicated
SRSF8	non_indicated
RNF130	non_indicated
RAPH1	non_indicated
VIL1	non_indicated
DNAJB14	non_indicated
RNF138	non_indicated
RNF139	non_indicated
CISD2	non_indicated
CISD3	non_indicated
CLNS1A	non_indicated
HOXA1	non_indicated
LINC00152	non_indicated
TSHZ2	non_indicated
TSHZ3	non_indicated
TSHZ1	non_indicated
NOSIP	non_indicated
ZNF581	non_indicated
CDK8	non_indicated
TIPARP	non_indicated
ZNF587	non_indicated
ZNF586	non_indicated
LOC643733	non_indicated
ASUN	non_indicated
IGLL5	non_indicated
CAMKK2	non_indicated
CAMKK1	non_indicated
TMEM123	non_indicated
MYO1G	non_indicated
CHMP7	non_indicated
CHMP5	non_indicated
CTPS2	non_indicated
CTPS1	non_indicated
LGALSL	non_indicated
LOC100652751	non_indicated
ZER1	non_indicated
PPAPDC1B	non_indicated
FAM188A	non_indicated
FAM160B1	non_indicated
HIST2H2AA3	non_indicated
LOC100506469	non_indicated
NEMF	non_indicated
ZNF326	non_indicated
SRF	non_indicated
ZNF320	non_indicated
ZNF322	non_indicated
FAM214A	non_indicated
TTYH3	non_indicated
ZNF329	non_indicated
SRM	non_indicated
SRR	non_indicated
FAM220A	non_indicated
LGALS3	non_indicated
LGALS1	non_indicated
LGALS4	non_indicated
AKIRIN2	non_indicated
EIF2AK1	non_indicated
EIF2AK3	non_indicated
BCL2A1	non_indicated
EIF2AK4	non_indicated
MYO19	non_indicated
AVPI1	non_indicated
MYO16	non_indicated
TRNT1	non_indicated
ASAP1	non_indicated
ASAP2	non_indicated
NMI	non_indicated
ENTPD6	non_indicated
PLAUR	non_indicated
LRRC27	non_indicated
LRRC25	non_indicated
KIAA1033	non_indicated
LPGAT1	non_indicated
LRRC28	non_indicated
TIMM17A	non_indicated
GCNT2	non_indicated
C14orf135	non_indicated
C14orf132	non_indicated
LPCAT2	non_indicated
LPCAT3	non_indicated
KRT23	non_indicated
MID1IP1	non_indicated
PIGA	non_indicated
PIGB	non_indicated
MIR4680	non_indicated
PIGK	non_indicated
PIGL	non_indicated
PIGN	non_indicated
TMEM194A	non_indicated
TMEM194B	non_indicated
PIGU	non_indicated
WRAP53	non_indicated
PIGX	non_indicated
PIGY	non_indicated
PIGZ	non_indicated
CNIH4	non_indicated
TAX1BP1	non_indicated
SERPINB8	non_indicated
SRRM1	non_indicated
BBIP1	non_indicated
SRRM2	non_indicated
PDK1	non_indicated
PDK3	non_indicated
PDK2	non_indicated
EBP	non_indicated
PDK4	non_indicated
LNPEP	non_indicated
ZNF292	non_indicated
SEC61A2	non_indicated
ALPL	non_indicated
TM2D1	non_indicated
PECR	non_indicated
LOC100652987	non_indicated
OGFRL1	non_indicated
ZFAND5	non_indicated
ZFAND4	non_indicated
ZFAND3	non_indicated
ZFAND1	non_indicated
PLVAP	non_indicated
CEP128	non_indicated
SLC39A10	non_indicated
SLC39A14	non_indicated
CEP120	non_indicated
EIF1AX	non_indicated
EIF1AY	non_indicated
RSBN1	non_indicated
ARHGAP22	non_indicated
ARHGAP27	non_indicated
ARHGAP26	non_indicated
ARHGAP24	non_indicated
SLC20A1	non_indicated
DDIT3	non_indicated
MICALCL	non_indicated
LOC100291666	non_indicated
SLCO4C1	non_indicated
LOC284889	non_indicated
DOCK9-AS2	non_indicated
NKRF	non_indicated
MYSM1	non_indicated
ATG2A	non_indicated
ATG2B	non_indicated
BMP6	non_indicated
C1orf31	non_indicated
RLIM	non_indicated
ASF1A	non_indicated
TERF1	non_indicated
ASF1B	non_indicated
GOLGA8A	non_indicated
GOLGA8C	non_indicated
CT45A1	non_indicated
FKTN	non_indicated
RASSF5	non_indicated
RASSF4	non_indicated
RASSF7	non_indicated
VMO1	non_indicated
NHP2	non_indicated
LPPR2	non_indicated
RSAD2	non_indicated
RSAD1	non_indicated
ATP5C1	non_indicated
CHD2	non_indicated
ZNF160	non_indicated
CHD7	non_indicated
MRP63	non_indicated
CHD9	non_indicated
ABI2	non_indicated
6-Mar	non_indicated
TTC5	non_indicated
TTC4	non_indicated
IL4R	non_indicated
TTC3	non_indicated
PIKFYVE	non_indicated
ATP10D	non_indicated
TTC9	non_indicated
CAPS	non_indicated
DYNC1LI1	non_indicated
DYNC1LI2	non_indicated
