Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
MORF_MT4	6/246	0.06582071990949	0.73366021947893	-1.7143802355033	0.53095945773366	SFSWAP;CEP350;AGPS;NF1;PLIN3;FOXN3
MORF_RAD23A	7/345	0.10351154197502	0.74151046120556	-1.6904325877409	0.50555092806895	SMARCC1;MDH1;EIF1AX;TCEA1;PTPN11;SNRPA1;LSM4
MORF_BUB3	6/276	0.09984955993057	0.74151046120556	-1.68771796879467	0.50473907781383	MDH1;EIF1AX;TCEA1;PTPN11;SNRPA1;LSM4
MODULE_98	8/393	0.08388348944567	0.74151046120556	-1.68278759877094	0.50326457172627	TOX4;WEE1;SMARCC1;CBX5;CCNE2;DHX9;SNRPA1;SMC2
MORF_SKP1A	5/202	0.08521427166073	0.74151046120556	-1.66069546390963	0.49665756511557	BAG5;GMFB;MDH1;COPB1;SNRPA1
GNF2_TYK2	2/33	0.05915521226056	0.69317774366862	-1.35169195390145	0.49535296658018	MOB1A;PAK2
MORF_AATF	5/205	0.0892987372222	0.74151046120556	-1.587494646717	0.47476568883756	EBP;MDH1;SFSWAP;EIF1AX;TCEA1
MORF_ATRX	5/211	0.09776923083675	0.74151046120556	-1.57247203480264	0.47027293624251	CEP350;AGPS;FNTB;ADCY3;PAFAH1B1
MORF_RAP1A	4/139	0.07856399123661	0.74151046120556	-1.53938993576444	0.46037920490266	SFSWAP;CEP350;AGPS;FNTB
GCM_PSME1	3/85	0.07743617846012	0.74151046120556	-1.53346447065045	0.45860709969756	TCEA1;SNRPA1;RHOA
MORF_XRCC5	5/234	0.13379845944974	0.74151046120556	-1.5236472660986	0.45567110750939	SMARCC1;MDH1;DHX9;EIF1AX;TCEA1
GCM_ANP32B	2/36	0.06839764815871	0.74151046120556	-1.50720180579895	0.45075282932586	EBP;SNRPA1
MORF_IL13	5/233	0.13212017631802	0.74151046120556	-1.49610120724537	0.44743301761519	AGPS;FNTB;NF1;ADCY3;IL16
MORF_UBE2N	3/94	0.09690377780364	0.74151046120556	-1.46099576305541	0.43693417251529	EIF1AX;PTPN11;SNRPA1
MORF_EIF3S2	5/244	0.1511020330807	0.74151046120556	-1.44986900148039	0.43360653633421	EBP;MDH1;EIF1AX;TCEA1;LSM4
MORF_CTBP1	4/168	0.13021856557158	0.74151046120556	-1.43424311821857	0.42893336578473	GMFB;MDH1;EIF1AX;RHOA
MORF_PAPSS1	3/101	0.11328048758061	0.74151046120556	-1.4229521372172	0.42555661715515	MDH1;EIF1AX;TCEA1
MORF_G22P1	4/171	0.13622270691351	0.74151046120556	-1.40865009230593	0.42127936165818	EID1;MDH1;DHX9;ZNF207
MORF_ESR1	4/172	0.13824902554232	0.74151046120556	-1.40109980572867	0.41902132758217	FNTB;NF1;ADCY3;IL16
GNF2_CENPE	2/41	0.08475838327928	0.74151046120556	-1.39976558664107	0.41862230800406	SMC2;TMPO
GCM_CSNK2B	3/99	0.10849775891411	0.74151046120556	-1.39960228565994	0.41857347023131	TCEA1;RAF1;RHOA
MORF_MSH3	5/245	0.15288292904608	0.74151046120556	-1.38699763853662	0.41480384871704	USP46;FNTB;NF1;ADCY3;IL16
