source	target
FBXO11	HOMER1
FBXO30	THOC7
FECH	ABCC13
FECH	FAM104B
FECH	8-Mar
FECH	FAM104A
FECH	TNS1
FECH	SOX6
FECH	C14orf45
FECH	FAM46C
FECH	ANK1
FECH	PITHD1
FECH	BPGM
FECH	BNIP3L
FGD3	C2orf68
FGD4	SNX27
FGD4	MEGF9
FGD4	ADAM19
FGD4	FPR2
FGD4	BEND7
FLJ39639	FAM223A
FLJ39639	CHST15
FLJ39639	NPEPL1
FLJ39639	LOC100652952
FLJ39639	KIAA0319L
FLJ39639	SAP30L
FLJ39639	SNRK-AS1
FLJ39639	LOC100527964
FMR1	CREB1
FNDC3A	AVL9
FNDC3A	MYSM1
FNDC3A	RASA2
FOS	EPOR
FOXK1	ZNF498
FOXK1	ATP8B2
FOXK1	TGS1
FOXK1	SIPA1L3
FOXO3	BRAF
FPR2	RC3H1
FZR1	HES6
FZR1	RAB11B
GAB2	KDM5B
GAB2	WIPF2
GABARAPL1	C6orf163
GABARAPL1	LOC100652787
GABARAPL2	ZRANB1
GABARAPL2	SNX3
GADD45A	MBOAT2
GADD45A	ATP2C2
GADD45A	MAFG
GADD45A	GDE1
GALNT7	PRDM10
GALNT7	KIDINS220
GBGT1	TOLLIP
GCA	HMGB2
GLOD4	PHC1
GMFB	RNF139
GMFB	MPP7
GNA13	PPP6C
GOLPH3	CTSC
GOLPH3	WDR20
GTF2A1	LOC646214
GTF2A1	MIR3661
GTF2A1	TNKS2
GTF2A1	SDE2
HAL	RNF130
HAL	CHKA
HAL	LOC100507006
HAL	HEY1
HAL	GNAL
HAL	ZXDC
HAL	BEAN1
HAL	FAM223A
HAL	APOBEC3A
HAL	GDPD3
HAL	STX3
HAL	C12orf35
HECW2	ZNF107
HECW2	PPP4R1
HECW2	PPP1R12B
HERC4	ARID4A
HERC4	UBR5
HERC4	CHD1
HIPK3	7-Mar
HIPK3	VTA1
HMBS	TMEM63B
HMGB1	HIGD1A
HMGB2	PDE5A
HMGB2	YIPF4
HNRPDL	FAM76B
HSP90B1	STT3A
HSPA13	MZT1
HTATSF1	WWP1
IGF2R	CBL
IGF2R	BRWD3
IL1R2	PFKFB4
IL1R2	KCNE1
IL1R2	PHC2
IL1R2	NFKBIA
IL1R2	NFE4
IL1R2	LOC100289251
IL1RAP	UBE2B
IMPAD1	CCDC117
IMPAD1	MTX2
IMPAD1	CEBPG
IMPAD1	SSR3
IMPAD1	NRAS
IMPAD1	PRKCI
IMPAD1	TRA2B
IMPAD1	FBXO22
IMPAD1	PTP4A2
IMPAD1	MED20
INHBB	HRH2
IPMK	SSFA2
IPMK	CPEB2
IPMK	SPOPL
IPMK	RRM2B
IPO7	RGL1
IPO7	GLUD1
IPO7	TFB2M
IPO7	ABCE1
IPO7	SERBP1
IQGAP1	TNPO3
ITPKC	GUCY2D
JMY	ZBTB33
JMY	HMGN4
JMY	PDS5A
JMY	CCDC75
JMY	LOC401397
JMY	SLC26A2
JMY	C7orf23
KAT2B	PPP1CB
KCNE1	MMP25
KCNE1	DHRS9
KDM3A	PPTC7
KDM3A	NDUFB6
KDM6A	RAB33B
KDM6B	KIAA0317
KDM6B	ARHGAP26
KDM6B	PLAUR
KDM6B	BICD2
