source	target
41525	PLEKHG3
41525	ATXN2
ADIPOR2	OXNAD1
ADIPOR2	SC5DL
ADIPOR2	DLST
AGPS	DESI2
AGPS	RPE
ALS2	OVCA2
APC	TMEM245
APC	KDM6A
APLP2	NCSTN
APLP2	LGALS3BP
APLP2	ERGIC1
ARL5A	RNF11
ATF2	TRUB1
ATF2	KITLG
ATF6	DIAPH2
ATF6	FBXL5
ATP11B	AVL9
ATP11B	STK38L
ATP11B	SMURF1
ATP11B	C5orf22
ATP11B	ZMYND8
ATP13A3	IMPAD1
AVL9	LRBA
AVL9	GNAQ
AVL9	NSFP1
AVL9	TIAF1
AZIN1	VAMP7
BACH1	FNIP1
BACH1	PPP1R3B
CAND1	RPS6KA3
CAND1	MED21
CAND1	FBXO22
CAND1	GOSR1
CAND1	CHUK
CAND1	SLC30A6
CAND1	FBXO28
CAND1	RBM27
CAND1	RMI1
CAND1	CNOT6
CAND1	ZW10
CASC4	PIGK
CASC4	RCN2
CBL	YEATS2
CBL	GPATCH8
CBL	NEK1
CD2AP	LNX2
CEP350	SLC4A7
CEP350	ZNF292
CEP350	MAP3K2
CHUK	UCHL5
CHUK	TBK1
CHUK	HNRPLL
CHUK	COPB1
CNOT6	ATF2
CNOT6	FAM199X
CNST	ZFP41
CNST	TMEM133
COPB1	TAX1BP1
CRK	SPTY2D1
CTAGE7P	CTAGE11P
CTSO	HBP1
CTSO	CNN3
DCAF12	TFDP1
DCLRE1A	AMMECR1
DCUN1D1	VAMP7
DCUN1D1	ZDHHC20
DCUN1D1	SGMS1
DCUN1D1	PJA2
DCUN1D1	LIN54
DCUN1D1	CCDC91
DCUN1D1	BTBD1
DCUN1D1	CDC73
DCUN1D1	LYSMD3
DDX21	AAED1
DDX21	SLC25A32
DDX21	CHSY1
DDX21	PIGW
DDX21	ATP13A3
DHFR	SPAG5
DHFR	ZNF367
DHX29	KIAA1279
DIXDC1	TMEM47
DIXDC1	MSRB3
DIXDC1	PODXL
DIXDC1	KANK2
DYRK2	ERBB2IP
DYRK2	RPS6KA5
EAF1	DCUN1D3
EFR3A	BACH1
EFR3A	CTSO
EGFR	ZNF417
EGFR	DYRK2
EGFR	NCOR1
EGFR	RGP1
EGLN1	PLOD2
EGLN1	EDN1
EGLN1	PLEKHB2
EGLN1	APLP2
EGLN1	RNF11
ERGIC1	SPON1
ERLIN1	FAM45B
FAM199X	TRAPPC13
FBXL5	TGFBR1
FBXL5	LOC729176
FBXO28	TSC22D2
FEM1C	TIPARP
FKBP15	SEL1L3
FKBP15	SFMBT2
FOXJ3	UBR4
FOXJ3	MED14
FZD6	LURAP1L
FZD6	ZDHHC13
G3BP2	SLMAP
G3BP2	VPS4B
GMFB	RABL3
GNAQ	SBF2
GNAQ	CRK
GNAQ	SEMA3C
GNAQ	ALG11
GNAQ	ATP2A2
GNAQ	FNIP2
GNAQ	PTPRG
GNAQ	TMOD3
GOSR1	KDM3B
GPATCH8	PMS2
GPATCH8	ZNF45
GPATCH8	PDPR
GPATCH8	ZNF776
HBP1	TAB2
HNRNPR	HNRPDL
HNRPLL	STARD3NL
HNRPLL	KLHL7
HRH1	PLOD2
IMPAD1	TMEM30A
IMPAD1	BMPR2
IMPAD1	WDFY1
IMPAD1	RP2
IMPAD1	NBN
IPO7	SMAD5
IPO7	DIXDC1
IPO7	PDE12
IPO7	SYNCRIP
KANK2	TIMP2
KANK2	FBLN5
