source	target
ATG4B	ARAF
SLC30A4	SLC1A1
SLC30A4	KCTD3
SLC30A4	TRIP6
SLC30A4	PRKAB2
SLC30A4	DDHD2
SLC30A4	GDPD1
SLC1A1	GLS
SLC1A1	GRB14
SLC1A1	DEPDC7
SLC1A1	FAM13A
SLC1A1	SI
KCTD3	DUS2L
KCTD3	ACBD5
KCTD3	CHAC1
KCTD3	SLC25A51
KCTD3	PGAP1
KCTD3	CDC14B
KCTD3	NT5DC1
KCTD3	C6orf170
DDHD2	CCR10
DDHD2	ZCCHC14
GDPD1	SRD5A1
GDPD1	TMEM116
RAB7A	ARF1
RAB7A	PARP10
RAB7A	SLFN13
RAB7A	PTENP1
RAB7A	RPAIN
RAB7A	CAB39
ARF1	C1orf144
ARF1	ANKRD12
ARF1	SFT2D1
ARF1	CTNNA1
PARP10	SYCE1L
PARP10	ROBO3
PARP10	ARHGAP4
PTENP1	COL4A3BP
PTENP1	NISCH
PTENP1	MRPL4
CCR3	CLC
CLC	PRSS33
CLC	GPR82
IL18RAP	GADD45B
IL18RAP	SH2D2A
IL18RAP	SYTL3
GADD45B	NFIL3
DCXR	DPM3
CREBZF	MCM9
MCM9	ASF1A
MCM9	CYHR1
C8orf82	LOC100506125
C8orf82	ZNF688
ZNF688	TBC1D22A
ZNF688	TMEM178A
ZNF688	LIN7B
KIF21A	ERAP1
KIF21A	ESF1
KIF21A	NAA35
ESF1	NUCKS1
DHX35	MTFMT
DHX35	C1orf21
DHX35	MED31
MTFMT	API5
GLCCI1	E2F5
GLCCI1	ITM2A
GLCCI1	HSPA13
GLCCI1	PKHD1L1
GLCCI1	ZDBF2
GLCCI1	MANEA
GLCCI1	FAM122C
E2F5	SLAIN1
E2F5	ZNF215
HSPA13	FNDC3B
HSPA13	ATP10D
HSPA13	ELL2
HSPA13	XBP1
MANEA	RHOV
TMEM71	NLRP3
TMEM71	F5
RIF1	PRKRA
RIF1	CCDC18
PRKRA	PBRM1
DDX24	KIAA0100
DDX24	SRRM2
DDX24	TPP2
DDX24	SMC1A
DDX24	CCNK
DDX24	AGBL3
DDX24	PPFIBP1
KIAA0100	EHBP1
KIAA0100	IPO8
KIAA0100	AP5M1
SRRM2	LOC100506032
TPP2	YLPM1
TPP2	ERAP1
CCNK	SPTBN1
CCNK	LARP4
CCNK	DNAJC13
CCNK	HERC2P7
CCNK	AFF1
CCNK	ZBTB38
CCNK	SLC25A13
CCNK	DYNC1H1
CCNK	ELF1
AGBL3	PAN3-AS1
AGBL3	HSPB11
AGBL3	LOC100506965
AGBL3	LOC440944
LTB	CD52
LTB	EVL
LTB	LTA
LTB	BCAS4
LTB	GRAP
LTB	IL22RA2
LTB	SEMA7A
LTB	LOC100132999
CD52	CD3D
CD52	CD247
CD52	CORO1A
EVL	GATA3
EVL	PLXDC1
EVL	CD3E
EVL	PVRIG
EVL	FAM179A
BCAS4	ZFP82
LOC100132999	FAM91A2
GPR161	KIF26A
GPR161	SLC7A2
GPR161	CRNDE
GPR161	HDGFRP3
GPR161	USP13
GPR161	COPZ2
SLC7A2	PIEZO2
CRNDE	MPP3
HDGFRP3	C8orf42
HDGFRP3	AMPD3
HDGFRP3	CLCA2
COPZ2	TSPAN5
COPZ2	SH3RF3
PRKAA1	MRPL19
ASPN	FBLN1
ASPN	HMCN1
ASPN	CCBE1
ASPN	TMEM136
FBLN1	LRRC17
TMEM136	CCDC50
TMEM136	NINL
TMEM136	EMCN
CDK19	PLOD2
HMMR	KIF14
HMMR	NEIL3
HMMR	OXCT1
HMMR	C2orf18
HMMR	DEPDC1
KIF14	TMEM237
C2orf18	FAM54A
C2orf18	PMCH
C2orf18	MAD2L1
C2orf18	FAM72A
C2orf18	FAM83D
LPAR6	AXL
ATG9A	MBOAT7
SLC17A9	SYTL1
SLC17A9	ARMC9
SLC17A9	ZYG11A
SYTL1	MIA
MUC3A	MEF2C
MEF2C	RASGRP3
MEF2C	SETBP1
MEF2C	RASA3
MEF2C	ZC2HC1A
CREB5	SNCA
CREB5	NRCAM
NRCAM	AOX1
CD1C	ABCB4
CD1C	CCL22
CCL22	LOC645638
CCL22	CD83
ITFG2	IFT27
TBC1D9B	ZNF642
PLAC2	AMACR
PLAC2	SHROOM2
PLAC2	TIGD6
AMACR	SLC45A2
AMACR	RAB40B
AMACR	LHX4
AMACR	C5orf63
AMACR	FTH1
AMACR	HIST1H3H
LAMB2	LAMA5
LAMB2	DNM1
LAMB2	FAM212B
LAMB2	TENC1
LAMB2	PCDH12
LAMA5	TGFB1I1
LAMA5	CLEC11A
DNM1	CCDC3
DHRS11	TECPR2
DHRS11	CNGA1
DHRS11	COL14A1
DHRS11	TMEM158
DHRS11	PDXP
DHRS11	RUNDC3B
DHRS11	PCDH17
COL14A1	VGLL3
COL14A1	DSEL
COL14A1	PDE1C
COL14A1	CEP112
TMEM158	ZNF618
TMEM158	SERPINH1
RUNDC3B	MMP7
RUNDC3B	MAP7D2
RUNDC3B	ADCY9
RUNDC3B	SLC19A3
PCDH17	CBX4
PCDH17	ADAMTS9
PCDH17	APLNR
PCDH17	STC2
BPNT1	CCL14
BPNT1	ACADM
ACADM	TMEM63A
AGMAT	BPNT1
AGMAT	SLC27A2
BMP1	MEGF8
BMP1	SLC45A4
LDLRAD3	SERPINE2
LDLRAD3	AQP3
SLC39A5	HSD17B3
SLC39A5	KIF12
SLC39A5	ITFG3
SLC39A5	CATSPER2
SLC39A5	PPP1R16A
SLC39A5	KLKB1
SLC39A5	PAPSS1
SLC39A5	RCN3
SLC39A5	CLDN15
SLC39A5	C9orf24
SLC39A5	CORO1C
SLC39A5	EMILIN3
SLC39A5	C11orf52
SLC39A5	CACNA2D4
SLC39A5	ANO10
SLC39A5	EPS8L2
SLC39A5	KCNG1
SLC39A5	CDKN2AIPNL
SLC39A5	ULK3
SLC39A5	MST1P9
SLC39A5	C10orf116
SLC39A5	INPP5J
SLC39A5	DHRS1
SLC39A5	PDK2
CATSPER2	SHPK
CATSPER2	KIAA0664L3
PPP1R16A	CDHR5
PPP1R16A	GFER
PPP1R16A	STOML1
PPP1R16A	ROGDI
PPP1R16A	FER
CLDN15	S100P
CLDN15	ESPL1
CLDN15	BEX1
CORO1C	PCSK1N
CORO1C	GPRIN2
CORO1C	RORC
C11orf52	LOC100505908
C11orf52	FAM132A
C11orf52	LOC153546
CACNA2D4	ACTG1P4
CACNA2D4	FCGRT
CACNA2D4	LBX2-AS1
CACNA2D4	ABHD15
ANO10	ACADS
EPS8L2	EVPL
EPS8L2	SEMA3B
EPS8L2	KAZALD1
EPS8L2	KIAA1609
EPS8L2	SGK223
ULK3	FAM27E3
ULK3	NIT1
ULK3	MBD1
ULK3	GSTT1
C10orf116	SLC16A14
C10orf116	CYP27A1
C10orf116	TNFSF12
C10orf116	CRYL1
C10orf116	CEACAM6
INPP5J	DHDH
INPP5J	NGEF
INPP5J	CRAT
PDK2	FAHD2A
PDK2	TNNC2
PDK2	MTHFD2
PDK2	ADPRHL1
PDK2	ACSF2
PDK2	TMEM80
PDK2	PKDCC
ADNP	MEX3C
ADNP	ZNF548
ADNP	PUM1
ADNP	HMBOX1
ADNP	CDC37L1
ADNP	MED16
ADNP	LOC100507557
ADNP	ALG10B
ADNP	LINC00094
MEX3C	ZNF280C
MEX3C	KLHL15
MEX3C	C14orf135
MEX3C	KBTBD8
PUM1	LUC7L2
PUM1	PRKAA1
PUM1	UBR5
PUM1	TRAF3IP1
PUM1	APPBP2
CDC37L1	KLHL7
MED16	PNKP
MED16	ITGB4
MED16	MTMR9
MED16	TSSC4
MED16	XAB2
LINC00094	NSUN4
LURAP1L	ASB9
MLL3	PRMT2
MLL3	ASH1L
MLL3	RAPGEF2
MLL3	ZNF12
PRMT2	TRMT13
PRMT2	RNF141
ASH1L	AASDH
ASH1L	ZNF493
ASH1L	AKD1
RAPGEF2	RYBP
ZNF12	VEZF1
ZNF12	SLC11A2
ZNF12	PLEKHA1
TK1	SPC24
ADCK2	KIAA1324L
ADCK2	LOC401052
ADCK2	IGSF8
LOC401052	PKI55
LOC401052	ARHGAP33
TRMT1	TBC1D27
TBC1D27	LINC00494
POLR3E	LOC100291323
POLR3E	VHL
VHL	PPM1K
VHL	MB21D1
VHL	NBPF10
VHL	CXorf56
GPRC5B	AGT
TUBAL3	DHRS11
TUBAL3	TINAG
TUBAL3	ARG2
TUBAL3	CDKN2AIPNL
TUBAL3	NR1I2
TUBAL3	ANKS4B
TUBAL3	GDPD2
TUBAL3	CMBL
TUBAL3	LOC284242
NR1I2	DQX1
ANKS4B	TMEM120A
ANKS4B	SLCO3A1
ANKS4B	PTPN3
ANKS4B	ABCA1
GDPD2	FMO5
GDPD2	PTPRH
CMBL	LOC100505633
CMBL	ENPP3
CMBL	HADH
CMBL	TWIST2
PRKD2	LMF2
LMF2	TOM1
LMF2	UBA7
LMF2	VPS18
LMF2	GAS2L1
LMF2	TCIRG1
LMF2	DPP7
ANKRD11	RALBP1
ANKRD11	GAK
GAK	KIAA0664
OBSL1	RILPL1
HRASLS2	RARRES3
RARRES3	MDK
RARRES3	C5orf56
RARRES3	RTP4
GRAMD1C	CNTNAP2
GRAMD1C	FABP3
GRAMD1C	GDPD1
GRAMD1C	PBLD
FABP3	TREM2
PBLD	SEPSECS
PBLD	VPS13A
PBLD	UGT2B17
PBLD	UGT2B28
PBLD	AIF1L
PBLD	EPB41L3
PEBP1	PEPD
PEBP1	ALDH18A1
PEBP1	GSTM4
PEBP1	HADHA
HADHA	EPOR
HADHA	CASK
HADHA	DDI2
TELO2	TROAP
GPBP1L1	BMP2K
BMP2K	LOC441259
SEMA4G	MUC3B
SEMA4G	OAF
SEMA4G	P4HTM
SEMA4G	TTLL6
SEMA4G	MST1P9
SEMA4G	AMN
MUC3B	MOSPD2
OAF	P2RX4
OAF	RNASE1
OAF	EPHX1
PKP2	KLF4
PKP2	TCEA2
PKP2	RHPN2
PKP2	DLAT
PKP2	USP53
PKP2	NIPAL2
PKP2	KDM1B
PKP2	GPD1L
PKP2	CD9
PKP2	RAB11A
PKP2	AGPS
PKP2	GRHL2
PKP2	PGGT1B
KLF4	BMP2
DLAT	PRKCI
DLAT	GMFB
DLAT	TTC30A
DLAT	C2orf43
DLAT	HMGCR
DLAT	AGPAT5
DLAT	TMEM97
DLAT	GFM1
USP53	NUDT4
USP53	MPZL2
USP53	GAS2L3
KDM1B	SLK
GPD1L	MEST
GPD1L	ZDHHC23
GPD1L	SAMD12
GPD1L	CMAS
GPD1L	NR3C2
GPD1L	FOXD2
GPD1L	SLC35D1
GPD1L	ARHGAP42
GPD1L	RSBN1L-AS1
CD9	DHX35
CD9	EXD2
CD9	BCKDHB
CD9	EMP2
CD9	PRRG1
CD9	LYRM2
CD9	PTP4A1
CD9	GTF2H2
CD9	NUDT6
CD9	RAB9A
CD9	ATP6V0D2
CD9	TRIO
RAB11A	GALNT3
RAB11A	FAM102B
RAB11A	SMAD5
RAB11A	TNPO1
RAB11A	UBE2D1
GRHL2	MLLT3
PGGT1B	PLAA
PGGT1B	TASP1
PGGT1B	PTP4A1
PGGT1B	UBXN8
PGGT1B	AGPAT5
CDHR2	IL22RA1
PSMB10	SPRED2
SPRED2	TMEM133
SPRED2	ATP2B1
LOC100128893	HCN3
LOC100128893	ABLIM2
LOC100128893	MT1F
LOC100128893	MLLT4-AS1
LOC100128893	EPHX2
LOC100128893	ADAMTS9
LOC100128893	FGFR3
LOC100128893	PKLR
LOC100128893	CHDH
HCN3	PKLR
MT1F	MT1G
MT1F	MT1P2
MLLT4-AS1	C6orf123
EPHX2	FAM110C
EPHX2	NR5A2
EPHX2	C14orf28
EPHX2	ANXA13
EPHX2	DHRS12
EPHX2	LRP8
EPHX2	ARHGAP32
FGFR3	SLC16A5
PKLR	PRO1804
PKLR	ACACB
CHDH	IL17RB
LY96	TMEM45A
LY96	HAVCR2
LY96	CTHRC1
LY96	CCR2
LY96	EVI2B
TMEM45A	CD109
TMEM45A	MAP7D2
HAVCR2	UBE2E2
HAVCR2	PLXNC1
HAVCR2	GPNMB
HAVCR2	FPR3
EVI2B	CRLF3
EVI2B	ADRB2
EVI2B	EVI2A
EVI2B	C16orf54
EVI2B	RGCC
ADH5	LOC100509751
LOC100509751	ZNF138
LOC100509751	KIAA1430
LOC100509751	PQLC3
PTPRR	PEX26
PTPRR	SLC30A10
PTPRR	DSC2
PEX26	NBPF1
DSC2	EMP1
DSC2	LONRF3
KCTD14	KCNE3
KCTD14	CATSPERB
KCTD14	NOSTRIN
KCTD14	ASRGL1
KCTD14	SPINK1
KCTD14	FOXA3
KCNE3	SLC12A2
KCNE3	ZNF239
CATSPERB	TC2N
NOSTRIN	YAE1D1
ASRGL1	SLC16A14
NCK1	METTL21A
NCK1	XPNPEP3
XPNPEP3	MIB1
FCRL2	CLECL1
FCRL2	STAP1
FCRL2	COL4A3
SETBP1	KBTBD6
RASA3	TIAM1
RASA3	SCRN1
ZC2HC1A	LONRF1
RABGGTB	TBC1D16
RABGGTB	TIMM23
RABGGTB	COPS8
RABGGTB	NUS1
COPS8	EID1
NUS1	MCM9
NUS1	SP3
NUS1	N4BP2
NUS1	USP38
NUS1	NSUN4
NUS1	DNAJB6
NUS1	SLC30A5
NUS1	NAA50
NUS1	PSMD11
NUS1	COMMD10
2-Mar	LOC201651
2-Mar	DDC
2-Mar	LOC100506098
2-Mar	FAM5C
2-Mar	DEPDC7
2-Mar	CYP3A7-CYP3AP1
2-Mar	SLC22A4
2-Mar	FGF9
2-Mar	ADRB1
2-Mar	SPATA6L
DDC	LINC00526
DDC	ACOX2
DDC	PDXP
DDC	VIL1
DDC	NUAK1
DDC	BPHL
DDC	SCAPER
DDC	SFXN3
DDC	MIR3656
LOC100506098	ITGB8
LOC100506098	LOC439911
LOC100506098	LINC00324
FAM5C	BMP5
DEPDC7	IFIT1
CYP3A7-CYP3AP1	SLC5A11
CYP3A7-CYP3AP1	TMEM117
CYP3A7-CYP3AP1	ING2
CYP3A7-CYP3AP1	CYP3A7
CYP3A7-CYP3AP1	CYP3A5
CYP3A7-CYP3AP1	CYP3A4
SLC22A4	SORL1
APOL3	CASP1
APOL3	KLHDC7B
APOL3	WARS
APOL3	GIMAP8
APOL3	BST2
APOL3	IL12RB1
APOL3	ZNF254
APOL3	FAM26F
APOL3	SP110
APOL3	TBX21
APOL3	KCNJ10
APOL3	PSD3
APOL3	CIITA
WARS	TYMP
WARS	MLKL
WARS	CDC25B
WARS	NLRC5
WARS	PAG1
WARS	CCND2
WARS	BATF2
BST2	PSMB10
BST2	NT5E
IL12RB1	IL2RA
IL12RB1	UCP2
IL12RB1	SLA2
IL12RB1	B2M
FAM26F	IDO2
SP110	DPP10
SP110	TNFRSF1B
SP110	FAM91A2
SP110	SP100
CIITA	HCST
CIITA	ATP10A
