source	interaction_type	target
C14orf64	bn	MAN1C1
C14orf64	bn	BTBD18
C14orf64	bn	KIAA0664L3
C14orf64	bn	SEMA6A
C14orf64	bn	C5orf63
VHL	bn	MB21D1
VHL	bn	METTL7A
LOC100506948	bn	FAM208B
LOC100506948	bn	KPNA3
LOC100506948	bn	ELK3
LOC100506948	bn	UBTD2
LOC100506948	bn	CCDC6
LOC100506948	bn	UPRT
LOC100506948	bn	KIAA1429
TCP11L2	bn	CASC4
TCP11L2	bn	TTLL3
TCP11L2	bn	LINC00260
SYMPK	bn	LOC100129917
C1orf200	bn	FOSL2
LOC729870	bn	CDKL1
LOC100289019	bn	TMEM63A
LOC100289019	bn	CATSPER2
LOC100289019	bn	LOC100506469
LOC100289019	bn	FLJ12334
LOC100289019	bn	ZFP14
LOC389634	bn	C1orf150
GIGYF2	bn	PSMA3
LOC401312	bn	C12orf42
NFE4	bn	FBXL13
LOC100506328	bn	CAMKK1
C17orf108	bn	FOXP1
ANKRD28	bn	RASEF
ANKRD28	bn	MGC70870
ANKRD28	bn	LOC100505915
CEPT1	bn	INPP4A
GVINP1	bn	LOC151657
CARD11	bn	ZAP70
CARD11	bn	LOC100170939
LOC339988	bn	LOC100505861
C1orf98	bn	LOC100291666
OSBP	bn	ARHGEF7
OSBP	bn	RREB1
OSBP	bn	GOLGA4
LOC100506733	bn	C10orf128
LOC100506030	bn	RAD50
LOC100506030	bn	DNAJC10
SLC25A45	bn	9-Sep
SLC25A45	bn	LOC100272216
SLC25A45	bn	RAB3IP
SLC25A45	bn	SFI1
TMEM67	bn	SPAG11A
TMEM67	bn	LCE1E
TMEM67	bn	CDR1
TMEM67	bn	POU4F1
TMEM67	bn	LINC00086
FCRL2	bn	LOC100507616
FCRL2	bn	FCRL1
PARP15	bn	LOC100506930
ZBED6	bn	ZC3H11A
RPS16P5	bn	TRIM38
RPS16P5	bn	HYMAI
RPS16P5	bn	RHOBTB3
LOC100507494	bn	NCLN
FLJ90757	bn	CPAMD8
PNN	bn	LOC100272228
PNN	bn	MSL3
CD74	bn	HLA-DPB1
CT45A1	bn	SLC9B1
CT45A1	bn	TIMM8A
CT45A1	bn	LOC100271836
CT45A1	bn	FLJ11292
CT45A1	bn	FRG1B
CT45A1	bn	POTEG
IRAK3	bn	NTNG2
NBR1	bn	PPP2R2A
ZNF836	bn	EP400NL
ZNF642	bn	SESN1
TRIM13	bn	BAGE2
TRIM13	bn	PSMD6
TRIM13	bn	PAPD4
TRIM13	bn	MINOS1P1
TRIM13	bn	FDPSL2A
TRIM13	bn	RUFY2
TRIM13	bn	USP34
