source	interaction_type	target
CTDSPL	bn	C5orf62
CTDSPL	bn	ARHGAP18
CTDSPL	bn	ESAM
CTDSPL	bn	SYTL4
CTDSPL	bn	VEPH1
PRDX4	bn	PPA2
ETFA	bn	PLAC8
EIF4G3	bn	JAG1
CPD	bn	LOC100507404
CPD	bn	SP100
CCT2	bn	HSPA8
CCT2	bn	NIF3L1
CCT2	bn	HAUS1
GNL2	bn	USP27X
GNL2	bn	PACRGL
CLIP1	bn	F8
RSU1	bn	CD9
RSU1	bn	YWHAH
RSU1	bn	CDK2AP1
MED13	bn	LYST
MED13	bn	CCSAP
CREBL2	bn	MFHAS1
SPEN	bn	FAM120A
SPEN	bn	TXNIP
SPEN	bn	SKI
ST6GAL1	bn	METTL8
ST6GAL1	bn	RRM1
ST6GAL1	bn	TRIB2
ST6GAL1	bn	ZFP161
ST6GAL1	bn	GNPNAT1
ST6GAL1	bn	PDCD7
ACAA2	bn	CPT1A
LTF	bn	CEACAM8
LANCL1	bn	ZNF548
LANCL1	bn	API5
LANCL1	bn	BIRC3
LANCL1	bn	ZNF639
LANCL1	bn	ELK4
LANCL1	bn	MGAT4A
LANCL1	bn	KLF12
LANCL1	bn	ZNF550
LANCL1	bn	IKZF2
BCKDK	bn	ARF3
BCKDK	bn	TOM1
BCKDK	bn	TIMP2
BCKDK	bn	SIGLEC7
BCKDK	bn	RNPEPL1
BCKDK	bn	SFN
RB1CC1	bn	ZFYVE16
RB1CC1	bn	PCMTD1
RB1CC1	bn	FAM160B1
ALDH3A2	bn	LACTB2
SEL1L	bn	SEC24B
PPFIA1	bn	KDM3B
PPFIA1	bn	JHDM1D
IDH3A	bn	EXOC6B
OPTN	bn	ATP5S
OPTN	bn	AK1
BIRC2	bn	PDCD10
BIRC2	bn	UBQLN1
BIRC2	bn	ABCB10
NDUFAB1	bn	SNRPF
NDUFAB1	bn	PRICKLE4
SEC14L1	bn	METTL6
SEC14L1	bn	HIVEP2
ARL2BP	bn	EIF2S3
BIRC5	bn	CDCA5
TSPO	bn	CEBPA
TSPO	bn	BIK
TSPO	bn	GALNT2
BRD4	bn	ZER1
PEPD	bn	MTCH2
PEPD	bn	COPZ2
PEPD	bn	CORO1B
ARFIP2	bn	FBXO25
AP2S1	bn	GPX4
AP2S1	bn	NDUFV3
PLIN3	bn	RSPH9
TRAK2	bn	USP12
PRPF4B	bn	SMARCAD1
PRPF4B	bn	C15orf52
RIOK3	bn	MXI1
RIOK3	bn	TMOD1
RIOK3	bn	SNCA
RIOK3	bn	DYRK3
RIOK3	bn	WNK1
RIOK3	bn	TRIM10
RIOK3	bn	GLRX5
RIOK3	bn	FAM210B
ZMYND11	bn	RBM17
ZMYND11	bn	FAM98B
ZMYND11	bn	TMEM181
ZMYND11	bn	ZNF605
ADSL	bn	ZNF101
ADSL	bn	SOD1
ADSL	bn	CBR3
ADSL	bn	CD3D
ADSL	bn	LOC100287590
ADSL	bn	CCNB1IP1
ADSL	bn	EIF2D
ADSL	bn	TIPIN
ADSL	bn	C1orf54
ADSL	bn	RPL36
ADSL	bn	MRPS21
ADSL	bn	NDUFAF2
ADSL	bn	MAPKAPK5-AS1
LY6E	bn	ISG15
LY6E	bn	TREX1
LY6E	bn	AGRN
LY6E	bn	KLHDC7B
IFRD1	bn	RPL23AP7
NEDD9	bn	TMEM140
NEDD9	bn	WWC3
NEDD9	bn	LOC100509683
PPP1R2	bn	SERINC5
PPP1R2	bn	RAPGEF6
MMS19	bn	DHX30
MMS19	bn	MMP19
MMS19	bn	DDX56
MMS19	bn	UCKL1
MMS19	bn	SHPK
MMS19	bn	MSTO1
MMS19	bn	TMC8
MMS19	bn	PRDM15
MMS19	bn	FBXO41
AASDHPPT	bn	RCAN1
AASDHPPT	bn	PLEKHA8
PRKCZ	bn	TTLL4
PRKCZ	bn	DPEP3
PRKCZ	bn	SH3D21
PRKCZ	bn	GHRL
KIF22	bn	CENPV
NUP133	bn	TTC27
NUP93	bn	OAS2
NUP93	bn	ARHGAP17
TMED5	bn	SERP1
TMED5	bn	ENPP4
TMED5	bn	NAA50
TMED5	bn	C7orf60
TMED5	bn	SGTB
MTMR3	bn	RAD51L3-RFFL
SRPK1	bn	PLXNC1
SRPK1	bn	SLC37A3
VASP	bn	MTF1
ARL4C	bn	EIF5A2
ARL4C	bn	OTUD7B
SLC6A8	bn	KEL
SLC6A8	bn	LOC653562
SLC6A8	bn	RNF123
SLC6A8	bn	STK11
NPTN	bn	PJA2
NPTN	bn	TMOD3
NPTN	bn	STK17B
CDK4	bn	TTC4
CDK4	bn	MRPS24
CDK4	bn	C15orf61
TDP2	bn	DSC2
GBP1	bn	ATF3
GBP1	bn	IFI35
GBP1	bn	APOL1
GBP1	bn	STAT1
GBP1	bn	EPB41L5
GBP1	bn	BATF2
GBP1	bn	GBP5
GBP1	bn	ANKRD22
FBXO28	bn	ZNF189
FBXO28	bn	RBM12
FBXO28	bn	DESI2
FBXO28	bn	PCNP
FBXO28	bn	RWDD4
G6PD	bn	OXER1
G6PD	bn	CYBA
G6PD	bn	RAB3D
G6PD	bn	ZNF467
G6PD	bn	GMIP
G6PD	bn	FLJ23867
SPTLC1	bn	STXBP3
SPTLC1	bn	ABI1
SPTLC1	bn	QKI
SPTLC1	bn	BROX
SPTLC1	bn	SLC25A40
SPTLC1	bn	PGGT1B
HSD17B10	bn	AKR1A1
SERPINF1	bn	LAMP5
STAG1	bn	USP48
STAG1	bn	LOC100216546
HBXIP	bn	SF3B14
FNDC3A	bn	AVL9
FNDC3A	bn	MYSM1
FNDC3A	bn	RASA2
MTHFD1	bn	CUL1
CYP51A1	bn	DHCR24
ACBD3	bn	TMEM38B
EHMT2	bn	ATRIP
EHMT2	bn	HTT
EHMT2	bn	MEN1
EHMT2	bn	BNIP1
EHMT2	bn	PRRC2B
EHMT2	bn	SMARCA4
EHMT2	bn	ATP13A1
EHMT2	bn	DIS3L2
EHMT2	bn	ANKRD54
UBE2B	bn	WRB
ITGAV	bn	TIAL1
PSMD12	bn	ZNF765
MXI1	bn	BCL2L13
MXI1	bn	CHPT1
MXI1	bn	SLC25A37
MXI1	bn	CMBL
CBFB	bn	SCAF8
CBFB	bn	MAGT1
CBFB	bn	PANK3
CBFB	bn	DERL1
CBFB	bn	CLIP4
CBFB	bn	CAPRIN1
ADAM9	bn	CYP1B1
ADAM9	bn	FBN2
ADAM9	bn	FBXL5
ADAM9	bn	SMPDL3A
ADAM9	bn	DSE
ADAM9	bn	LOC100652805
ADAM9	bn	C11orf82
KIAA0430	bn	6-Mar
KLF10	bn	KLF11
KLF10	bn	PDK4
TCERG1	bn	CLASP2
TCERG1	bn	PPIL3
TCERG1	bn	IRF2BP2
TCERG1	bn	KANSL1L
SRF	bn	GSN
USP1	bn	SRP9
USP1	bn	PSMC6
USP1	bn	C1orf9
USP1	bn	AGL
USP1	bn	PHTF2
USP1	bn	MATR3
USP1	bn	NFYB
USP1	bn	ACTR6
USP1	bn	ZCCHC10
USP1	bn	TRIM52
USP1	bn	CRBN
USP1	bn	ZNF770
USP1	bn	ESCO1
USP1	bn	ZNF92
DNAJC7	bn	SEC61G
DNAJC7	bn	NSL1
DNAJC7	bn	SGSH
YIF1A	bn	MRPL12
YIF1A	bn	MGMT
YIF1A	bn	MRPL4
KDSR	bn	CHN1
ACSL4	bn	IFNGR1
ACSL4	bn	RNF146
ACSL4	bn	CPEB4
RXRA	bn	FLJ10661
RXRA	bn	VWCE
DBI	bn	ANXA1
DBI	bn	PSMC2
DBI	bn	MRPL47
PPP3CB	bn	DPY19L1
PPP3CB	bn	FASTKD3
PPP3CB	bn	C11orf58
ERLIN1	bn	TAF8
ERLIN1	bn	KCNJ15
ERLIN1	bn	HAUS4
PLSCR1	bn	EIF2AK2
PLSCR1	bn	SMA4
PLSCR1	bn	IFI16
PLSCR1	bn	FAM20A
CTSK	bn	CLEC1A
ZER1	bn	RALBP1
ZER1	bn	HIST1H1C
PPP3CA	bn	C15orf29
PRSS23	bn	NUAK1
PFKFB3	bn	ALPL
PFKFB3	bn	GJB6
PAPD7	bn	INPP5F
PAPD7	bn	RBM19
PAPD7	bn	SMAD3
PAPD7	bn	ARL10
COPS2	bn	NUDCD1
MPI	bn	FN3KRP
MPI	bn	RPUSD2
MPI	bn	TLE2
TMEM147	bn	DOK2
TMEM147	bn	DBNDD2
TRIB2	bn	DZIP3
RANBP1	bn	SEC61G
IKBKAP	bn	KIF5C
IKBKAP	bn	STARD9
IKBKAP	bn	TMEM116
DNAJB2	bn	OPTN
MAPRE2	bn	CALR
KIAA0101	bn	TYMS
KIAA0101	bn	ZWINT
KIAA0101	bn	KIF11
KIAA0101	bn	AURKA
KIAA0101	bn	UHRF1
KIAA0101	bn	CASC5
SSFA2	bn	ELF1
ATG5	bn	C21orf91
DLG1	bn	ARID2
SPOCK2	bn	LOC100422781
SPOCK2	bn	LOC100653018
SPOCK2	bn	ZFYVE9
SPOCK2	bn	GATA3
SPOCK2	bn	HABP4
SPOCK2	bn	C8orf33
SPOCK2	bn	OR2A20P
SPOCK2	bn	AMIGO1
SPOCK2	bn	POU6F1
MAPK14	bn	MAP2K6
MAPK14	bn	PHTF1
MAPK14	bn	ITGAM
MAPK14	bn	WDFY3
MAPK14	bn	P2RY10
MAPK14	bn	SIPA1L2
MAPK14	bn	SLC26A8
FADD	bn	ARHGEF17
FADD	bn	OSTF1
FADD	bn	CA4
AIMP1	bn	C9orf85
GMFB	bn	RNF139
GMFB	bn	MPP7
HSPA13	bn	MZT1
C14orf1	bn	ACOT1
C14orf1	bn	METTL2A
C14orf1	bn	ZSCAN2
ARL2	bn	C19orf24
SVIL	bn	TBC1D30
SVIL	bn	CSAD
MIR5096	bn	RAN
MIR5096	bn	PFDN1
MIR5096	bn	MRP63
MIR5096	bn	FASTKD2
HTATSF1	bn	WWP1
ADAM10	bn	RAB21
ADAM10	bn	UBA3
TLK1	bn	ATE1
PLOD2	bn	COL6A3
APPBP2	bn	MDM1
TRRAP	bn	DDX52
TRRAP	bn	TRPM7
MEN1	bn	MAP4
MEN1	bn	XPO5
LPGAT1	bn	LOC100505487
APBB1	bn	TMIGD2
7-Mar	bn	MTMR6
7-Mar	bn	YPEL5
7-Mar	bn	RNF111
7-Mar	bn	SLC35F5
ACTL6A	bn	RPAP2
DPM1	bn	ATXN3
RASA1	bn	ZMAT1
RASA1	bn	CCDC18
RNMT	bn	CD3EAP
TOB1	bn	KBTBD6
CCNB2	bn	CDC20
CAD	bn	ZNF677
CAD	bn	ZNF836
CAD	bn	FOXM1
CAD	bn	BCS1L
CAD	bn	MUTYH
CAD	bn	NPDC1
CAD	bn	ZC3HC1
CAD	bn	GGT7
CAD	bn	PRRT3-AS1
LTBP1	bn	PLOD2
LTBP1	bn	TFPI
LTBP1	bn	TUBB1
EBP	bn	ATP7B
EBP	bn	RALGDS
PRKACB	bn	ZMYND11
PRKACB	bn	SRSF6
PRKACB	bn	C12orf29
PRKACB	bn	ZNF22
PRKACB	bn	RPL15
PRKACB	bn	KIAA1704
PRKACB	bn	FAM98B
PRKACB	bn	ZNF227
PRKACB	bn	SVIP
PRKACB	bn	SLC16A7
R3HDM1	bn	PPARGC1B
R3HDM1	bn	KCTD6
ACP2	bn	NR1H3
CCNG2	bn	TMX4
CCNG2	bn	RAPGEF2
CCNG2	bn	SLC15A4
CCNG2	bn	TMEM55A
CCNG2	bn	LOC100507015
CCNG2	bn	TMEM71
OXCT1	bn	NUCB2
OXCT1	bn	CA5B
OXCT1	bn	ZNF14
OXCT1	bn	COX20
OXCT1	bn	IL7R
NNT	bn	SLC25A43
NNT	bn	KIAA0494
NNT	bn	CTSO
NNT	bn	POLK
STK39	bn	ZNF678
MAPKAPK3	bn	GPX3
PLCG1	bn	ENO2
PLCG1	bn	STMN3
PLCG1	bn	LOC100507303
SACM1L	bn	ITSN2
SACM1L	bn	SLC35B3
SACM1L	bn	ELMOD2
SEC24B	bn	SPTY2D1
SLC1A3	bn	SGMS2
TOM1	bn	GGT1
TOM1	bn	DOK4
TOM1	bn	GGTLC1
TOM1	bn	PDXK
TOM1	bn	IFITM10
TARBP1	bn	IQCB1
TARBP1	bn	LNX1
TARBP1	bn	CSTF3
VAMP7	bn	RAB4A
NDUFB7	bn	RNASEH2C
DNAJB9	bn	RCN2
ABCD3	bn	PIBF1
ABCD3	bn	ARL5A
ABCD3	bn	FAM117B
RYK	bn	CTDSPL2
CNPY2	bn	EXOSC7
CNPY2	bn	MRPL48
CNPY2	bn	BOLA3
CD93	bn	ACPP
DDIT4	bn	SOCS1
CDC23	bn	GART
CDC23	bn	ALG2
EPHB4	bn	SPP1
SIRPA	bn	CECR6
SDC3	bn	C1QB
SDC3	bn	C1QA
SDC3	bn	GRIN3A
NUP88	bn	MGC21881
EPM2AIP1	bn	XIST
CD97	bn	FAR2
CD97	bn	MRVI1
CD97	bn	C3orf62
CD97	bn	PPP1R15A
ARHGEF11	bn	PTPN4
MOB4	bn	THAP1
MOB4	bn	CDC73
GCLC	bn	RNF14
GCLC	bn	CMAS
GCLC	bn	AIDA
PLAGL2	bn	GPR137B
ZMPSTE24	bn	USP32P2
NAGA	bn	CRTAP
NAGA	bn	ASGR1
NAGA	bn	COMT
NAGA	bn	CD1A
NAGA	bn	MYCL1
NAGA	bn	LDLRAD3
GYPC	bn	GUK1
GYPC	bn	YBX1
GYPC	bn	C2orf88
FHL2	bn	IFI27
FHL2	bn	MAP4K5
C1QB	bn	C1QA
C1QB	bn	C1QC
RFX5	bn	ST3GAL5
MPP1	bn	SLC7A5
MPP1	bn	SLC2A1
MPP1	bn	AIMP2
MPP1	bn	ALAS2
MPP1	bn	MICAL2
MPP1	bn	GLRX5
MPP1	bn	FAM83A
SIAH1	bn	PHF17
SSX2IP	bn	CD226
RNASEH2A	bn	MCM5
RNASEH2A	bn	HSD17B10
RNASEH2A	bn	SAC3D1
RNASEH2A	bn	SNRNP25
RNASEH2A	bn	DCPS
RNASEH2A	bn	C8orf82
CYBA	bn	METRNL
MTSS1	bn	IER5
PTPRK	bn	TSPAN3
PTPRK	bn	MTSS1
HMBS	bn	HBE1
HMBS	bn	DARC
HMBS	bn	NTAN1
HMBS	bn	TSPO2
HMBS	bn	HBBP1
HMBS	bn	FIS1
HMBS	bn	POLR1D
HMBS	bn	HBQ1
HMBS	bn	TMEM63B
HMBS	bn	UBXN10
NINJ1	bn	PTP4A3
TTC37	bn	ACTL6A
C2	bn	SDC3
C2	bn	CD209
C2	bn	PRR11
PRDM2	bn	CSNK1A1
PRDM2	bn	NUP153
PRDM2	bn	UBN2
PRDM2	bn	EIF2C2
MDC1	bn	MPHOSPH9
MDC1	bn	ACSL5
PDHX	bn	CTNND1
COG2	bn	ANGEL1
COG2	bn	MIR4647
BMS1	bn	CIAPIN1
RAPGEF2	bn	MLLT4
CSF1R	bn	TPPP3
CSF1R	bn	BATF3
CSF1R	bn	LOC100653132
UBE2M	bn	DNAJB1
UBE2M	bn	MAP2K2
FECH	bn	BPGM
FECH	bn	ANK1
FECH	bn	C14orf45
FECH	bn	BNIP3L
FECH	bn	TNS1
FECH	bn	8-Mar
FECH	bn	PITHD1
FECH	bn	FAM104A
FECH	bn	FAM46C
FECH	bn	FAM104B
FECH	bn	SOX6
FECH	bn	ABCC13
PAN2	bn	VPS45
CCDC86	bn	TMEM86A
IMPA2	bn	CCDC144A
RB1	bn	GNRHR2
RB1	bn	SLC25A24
RB1	bn	RNF138
RB1	bn	C3orf58
DAPK1	bn	DAPK1-IT1
GABBR1	bn	CAPN3
GABBR1	bn	GAS6-AS1
MAP1A	bn	CDKN1A
MAP1A	bn	TGFB1I1
IFIT1	bn	ISG15
IFIT1	bn	C18orf49
TIMP2	bn	BAZ2A
TIMP2	bn	FES
TIMP2	bn	CEACAM3
TIMP2	bn	HLX
TIMP2	bn	EFHD2
TIMP2	bn	TMEM234
SRPK2	bn	LOC283588
SRPK2	bn	SLU7
B3GNT1	bn	TFB1M
MIR4691	bn	SLC18A2
NUP98	bn	PACSIN2
ABCC4	bn	MTHFD2L
APRT	bn	ATP5D
UPP1	bn	SLC26A6
SCAF8	bn	ZCCHC14
SCAF8	bn	KIAA1715
ARHGEF9	bn	LOC387723
MAP2K4	bn	EFHC2
MAP2K4	bn	IKBIP
IRF2	bn	RAC1
IRF2	bn	HERC3
LMNB1	bn	LOC645984
LMNB1	bn	FRMD4B
GBE1	bn	CDK14
HS2ST1	bn	MAST4
KIAA0355	bn	C17orf108
KIAA0355	bn	ZNF187
KIAA0355	bn	ARHGEF10
DMTF1	bn	CDC7
DMTF1	bn	HNRNPA2B1
DMTF1	bn	MIRLET7D
DMTF1	bn	FRG1
DCK	bn	CUL4A
DCK	bn	C6orf62
DCK	bn	PCMTD2
DCK	bn	CCDC117
DYNLT3	bn	FXR1
SLC35A1	bn	MRC1
IDE	bn	SELRC1
KIFAP3	bn	11-Sep
PDLIM7	bn	NDST1
PDLIM7	bn	CYP4F12
PDLIM7	bn	DENND3
PDLIM7	bn	LRCH4
PDLIM7	bn	LOC253842
PDLIM7	bn	LPPR2
NDUFB3	bn	CKLF
SOCS2	bn	DACT1
TPP2	bn	ZW10
DGKA	bn	BOC
DGKA	bn	PLEKHG4
TBC1D4	bn	PDE7A
TBC1D4	bn	TAF4B
KIF3C	bn	ANO10
FKBP2	bn	SDF2L1
GALNT3	bn	LPCAT2
RNF6	bn	SRSF10
AP3M2	bn	ZDHHC11
AP3M2	bn	CCDC104
AP3M2	bn	LNP1
LOC100653018	bn	EPPK1
MMD	bn	C21orf7
FAM8A1	bn	CHMP5
FAM8A1	bn	ERV3-2
ASF1A	bn	MCM9
ASF1A	bn	ZNF436
C1orf9	bn	SLC30A9
MME	bn	ABAT
PSMD5	bn	PHC1
MRPL19	bn	ALG5
CDK10	bn	PIDD
CEP57	bn	IFT57
CEP57	bn	CCDC90B
CEP57	bn	MPP5
CEP57	bn	ZNF449
BPGM	bn	XK
MAP3K3	bn	MAPKAPK2
MAP3K3	bn	TBL1X
MAP3K3	bn	SIRPA
MAP3K3	bn	TNFSF14
MAP3K3	bn	EXTL3
MAP3K3	bn	TAGLN2
MAP3K3	bn	RIN3
MAP3K3	bn	RAB7A
MAP3K3	bn	PRMT2
MAP3K3	bn	ORAI2
LYST	bn	C20orf197
LYST	bn	CCDC146
ZNF318	bn	SAV1
CUL5	bn	DEK
CUL5	bn	CD2AP
CUL5	bn	C5orf43
CUL5	bn	LRRC58
CUL5	bn	SOCS4
CUL5	bn	LMBRD2
CUL5	bn	N4BP2
CUL5	bn	ALG10B
CUL5	bn	MIER3
ALG8	bn	OSBPL6
CD4	bn	ABHD12
FANCG	bn	MGC12982
AGL	bn	CEP57
TRIM38	bn	HM13
TRIM38	bn	PHF11
OFD1	bn	CTNNA1
OFD1	bn	C2orf74
NFIL3	bn	ARHGEF11
NFIL3	bn	MME
NFIL3	bn	CYP4F2
NFIL3	bn	MGAM
NFIL3	bn	ITCH
NFIL3	bn	ANKS1A
NFIL3	bn	PLXDC2
NFIL3	bn	ARHGAP27
SLC7A6	bn	SPIN3
SLC7A6	bn	TRRAP
SLC7A6	bn	GLYR1
SLC7A6	bn	AXIN2
SLC7A6	bn	SPTBN1
SLC7A6	bn	ZC3H12B
SLC7A6	bn	ZNF709
SLC7A6	bn	XKR6
TFDP2	bn	ELOVL6
CD2AP	bn	GPLD1
ZNF516	bn	ARHGAP19
ZNF516	bn	AHCTF1
ZNF516	bn	UGGT1
ZNF516	bn	CREBBP
ZNF516	bn	TTN
INPP5F	bn	AHNAK
BYSL	bn	LOC145783
BYSL	bn	MAP6D1
UTP14C	bn	ZHX1
CPT1A	bn	SLC25A20
COBLL1	bn	TPD52
COBLL1	bn	OSBPL10
COBLL1	bn	KLHL14
COBLL1	bn	DENND5B
ZFYVE16	bn	HAT1
ZFYVE16	bn	SNX13
ZFYVE16	bn	ST3GAL6
ZFYVE16	bn	RHOT1
ZFYVE16	bn	GPCPD1
ZFYVE16	bn	COL4A3BP
ZFYVE16	bn	ANTXR2
PCNT	bn	EZH2
TMOD1	bn	CNPPD1
TMOD1	bn	BSG
TMOD1	bn	LGALS3
TMOD1	bn	IGF2BP2
FAN1	bn	C14orf182
PRKAR2B	bn	PGRMC1
PRKAR2B	bn	ASAP2
PRKAR2B	bn	TPM1
PRKAR2B	bn	MEIS3P1
PRKAR2B	bn	SDPR
VEGFB	bn	DTX1
BCL2	bn	SOCS2
BCL2	bn	TSIX
FMR1	bn	PMAIP1
FMR1	bn	CREB1
PI3	bn	SLPI
PI3	bn	KCNS1
TTLL4	bn	KLHDC8B
UTP18	bn	ZNF555
UTP18	bn	CCT6A
UTP18	bn	NIF3L1
UTP18	bn	PHF14
GADD45A	bn	MAFG
GADD45A	bn	ATP2C2
GADD45A	bn	GDE1
GADD45A	bn	MBOAT2
DEXI	bn	ZNF74
DEXI	bn	NECAB3
DEXI	bn	PEBP1
DEXI	bn	ABHD14B
DEXI	bn	SLC41A3
DEXI	bn	FAM83H
DEXI	bn	C17orf61-PLSCR3
PPRC1	bn	BMS1
PPRC1	bn	PDCD11
PPRC1	bn	HIC2
PPRC1	bn	TNFRSF10D
PPRC1	bn	LOC90784
ZNF217	bn	AMD1
ZNF217	bn	SIAH1
ZNF217	bn	PRDM2
ZNF217	bn	NFYA
ZNF217	bn	BACH1
ZNF217	bn	PTGS2
ZNF217	bn	CRLF3
ZNF217	bn	DNAJB6
ZNF217	bn	NUFIP2
ZNF217	bn	OTUD1
HCCS	bn	MESDC1
RARA	bn	LITAF
RARA	bn	ELMO1
RARA	bn	N4BP1
RARA	bn	RNF19B
RARA	bn	GRB2
ST3GAL4	bn	SIGLEC9
ST3GAL4	bn	DHRS13
ST3GAL4	bn	FLJ39051
ST3GAL4	bn	ZNF438
GCA	bn	HMGB2
GCA	bn	EVI2B
GCA	bn	FAM49B
GCA	bn	TMEM2
GCA	bn	RBM47
GCA	bn	MSRB3
GCA	bn	TMCO3
POLRMT	bn	PRRT3
POLRMT	bn	TRIM28
POLRMT	bn	ARFIP2
POLRMT	bn	EPHB6
POLRMT	bn	SPTAN1
POLRMT	bn	MYO19
POLRMT	bn	DUS3L
POLRMT	bn	TJP3
POLRMT	bn	RABEP2
FANCA	bn	IL12RB1
ELP4	bn	THG1L
SNRPF	bn	KRT10
SNRPF	bn	NDUFAF4
SNRPF	bn	CRYL1
MAP3K5	bn	BRWD3
MAP3K5	bn	ZBTB37
KAT2B	bn	BRP44
KAT2B	bn	PPP1CB
GAB2	bn	KDM5B
GAB2	bn	WIPF2
THBD	bn	CD93
SLC9A6	bn	ZNF367
TCEA2	bn	RABL5
MRPL12	bn	FUT5
MRPL12	bn	DNLZ
MMP9	bn	SEMA4A
MMP9	bn	ANKRD55
TAF1C	bn	MSH5
TAF1C	bn	LRP5L
TAF1C	bn	METTL17
TAF1C	bn	RPL10
VASH1	bn	LOC100506603
ZBTB40	bn	TRIM73
ZBTB40	bn	CDK5RAP1
ZBTB40	bn	CRYGS
ZBTB40	bn	KLHDC4
ZBTB40	bn	KLHL17
NMI	bn	VCPIP1
NMI	bn	HTR6
NMI	bn	IFI16
NMI	bn	TNFSF10
PEX3	bn	C9orf66
CEBPD	bn	PHC2
CEBPD	bn	DUSP1
CEBPD	bn	KIAA0146
TSNAX	bn	VTA1
KDM6A	bn	RAB33B
PURA	bn	LOC648771
PURA	bn	ASF1A
PURA	bn	PIK3R1
PURA	bn	GPD1L
RFC4	bn	KIFAP3
ZWINT	bn	GINS1
IRF8	bn	PTPRO
IRF8	bn	UBE2E2
IRF8	bn	TRAK1
PRKX	bn	ESF1
RARRES3	bn	CYB561
FRY	bn	MYL6B
NRGN	bn	CDC14B
NRGN	bn	ST3GAL3
NRGN	bn	VSIG2
SLC5A6	bn	LOC100130856
P2RX4	bn	ULK2
ELL	bn	LOC100128077
ELL	bn	FAM63A
SMARCD3	bn	NTSR1
HNMT	bn	COQ2
CD48	bn	LOC100506980
CD48	bn	PLGRKT
GPR137B	bn	TNF
GPR137B	bn	ZNRF1
TPST1	bn	ALOX15B
TUBB2A	bn	TUBB3
STAB1	bn	CES1
STAB1	bn	ACVRL1
STAB1	bn	TRIM7
SBNO2	bn	HDAC4
ALOX5AP	bn	CRISPLD2
ALOX5AP	bn	LRRC4
GMPR	bn	AP2B1
GMPR	bn	HDGF
GMPR	bn	RIOK3
GMPR	bn	EIF2AK1
GMPR	bn	PLEK2
GMPR	bn	GPR146
GMPR	bn	DCAF6
GMPR	bn	LOC100505606
GMPR	bn	TRIM58
BACH1	bn	C4orf34
RUNX3	bn	CD81
RUNX3	bn	CHST12
RUNX3	bn	LYAR
SLC31A2	bn	C9orf71
EIF2AK2	bn	DISC1
EIF2AK2	bn	DEGS1
RAB32	bn	C4orf3
RAB32	bn	LOC100288432
RAB32	bn	PTGR1
GCH1	bn	ANKFY1
PPIH	bn	RUVBL1
PPIH	bn	THYN1
ZNF195	bn	POLR3G
ZNF195	bn	SMYD2
CDK5	bn	CBR1
CDK5	bn	MECP2
FARS2	bn	AVEN
PMAIP1	bn	IL8
LOC100509474	bn	RNF6
LOC100509474	bn	RCBTB1
LOC100509474	bn	ANKRA2
LOC100509474	bn	CDK17
LOC100509474	bn	KLHL7
LOC100509474	bn	IREB2
LOC100509474	bn	ANKRD44
LOC100509474	bn	UBR3
LOC100509474	bn	LYPLAL1
TECPR2	bn	FFAR2
MT1X	bn	LOC100505584
MT1X	bn	MT1F
ZNF202	bn	ZNF343
TMC6	bn	RSAD1
TMC6	bn	IVD
TMC6	bn	PCED1A
TMC6	bn	AARS2
KLF7	bn	UBE4B
TRAF5	bn	KIAA0355
TRAF5	bn	SEL1L3
TRAF5	bn	ATF7IP2
TRAF5	bn	SNHG1
TRAF5	bn	DCAF16
TRAF5	bn	FKBP14
TRAF5	bn	CTLA4
DHX30	bn	RPAP1
DHX30	bn	ALG9
LIMK1	bn	FAM110B
CAMK1	bn	CD101
CAMK1	bn	SRC
CAMK1	bn	LOC100507540
GSTM2	bn	GSTM1
KIF11	bn	EAF2
ZNF84	bn	HSF5
OSTF1	bn	TMLHE
ENO3	bn	FBF1
PIK3C2B	bn	EPB41L2
PIK3C2B	bn	LRCH1
PIK3C2B	bn	FCRL3
PIK3C2B	bn	SDK2
C15orf39	bn	HSH2D
C15orf39	bn	PPCDC
AGTPBP1	bn	DKFZp667F0711
AGTPBP1	bn	ZNF354A
AGTPBP1	bn	ZNF254
AGTPBP1	bn	NME8
AGTPBP1	bn	C14orf101
EPB49	bn	FBXO9
PPP3R1	bn	BECN1
ELMO1	bn	CXCR4
TOX	bn	CDCA7
ST6GALNAC2	bn	LOC100131170
PPP1R3D	bn	HK2
PPP1R3D	bn	TGFA
PPP1R3D	bn	FGF13
PPP1R3D	bn	QPCT
PPP1R3D	bn	RAB27A
PPP1R3D	bn	PPP1R3B
PPP1R3D	bn	LRRN1
ATG14	bn	SLC7A1
ATG14	bn	DDX55
ICK	bn	RECK
ICK	bn	C18orf1
ICK	bn	NT5DC1
ICK	bn	TADA1
ICK	bn	DBT
CCDC85B	bn	MZT2A
ITGB3	bn	LOC100505813
ITGB3	bn	LTBP1
ITGB3	bn	F13A1
ITGB3	bn	ARHGAP6
ITGB3	bn	ENDOD1
ITGB3	bn	TTC7B
ITGB3	bn	PEAR1
ITGB3	bn	VIL1
RPS6KA4	bn	TSPAN4
RPS6KA5	bn	CDK19
RPS6KA5	bn	MID1IP1
RPS6KA5	bn	ITPK1-AS1
NEK4	bn	TMEM192
NEK4	bn	ERI2
NEK4	bn	NHLRC2
NEK4	bn	GOLT1B
NEK4	bn	FAM198B
NEK4	bn	BRI3BP
NEK4	bn	SHPRH
NEK4	bn	MASTL
NEK4	bn	LACC1
ADA	bn	QPRT
