source	target
ADK	CAMK2G
ADM	C7orf68
ADNP	CSE1L
ADNP	STAU1
ADORA1	CHI3L1
ADRB2	PDLIM1
ADRBK1	PLEC1
ADRBK1	PSENEN
ADRBK1	SNRNP70
ADRM1	EIF6
ADRM1	GSS
ADRM1	MAPK12
ADRM1	PSMA7
ADRM1	ZGPAT
ADSL	NHP2L1
ADSL	RANGAP1
ADSL	XRCC6
ADSS	FBXO28
ADSS	WDR26
AEBP1	BGN
AEBP1	COMP
AEBP1	FLNA
AEBP1	LTBP2
AEBP1	MMP2
AEBP1	MXRA8
AES	TLE2
AF007147	U79293
AF056433	6-Mar
AF056433	AMACR
AF056433	SUB1
AF070581	PAK3
AF130089	ALDH6A1
AF130089	BBS1
AF130089	GLTP
AF130089	IVD
AF130089	THTPA
AF130104	MAGT1
AF222691	AK024315
AF222691	NM_013344
AF222691	TCF7
AFF1	RUFY3
AFG3L2	BG281679
AGAP1	SH3BP4
AGBL5	C2orf28
AGER	AQP4
AGER	TNNC1
AGFG1	MAPK10
AGFG1	MTMR2
AGFG1	PSMD14
AGFG1	TSPYL2
AGFG1	UBE2G2
AGGF1	ANKRA2
AGGF1	ARFGAP1
AGGF1	CETN3
AGGF1	COMMD10
AGGF1	HEXB
AGGF1	HMGCR
AGGF1	SCAMP1
AGGF1	SLC35A5
AGL	AW969803
AGPAT1	CUTA
AGPAT2	EGFL7
AGPAT5	SLC39A14
AGPS	AP2B1
AGPS	CALU
AGPS	CYFIP2
AGPS	DEPDC1
AGPS	DSC2
AGPS	GNB1
AGPS	GPD2
AGPS	NCBP1
AGPS	PAWR
AGPS	SS18
AGPS	TSR1
AGR2	FA2H
AGR2	GOLM1
AGR2	KCNK1
AGR2	MANSC1
AGRN	CCNL2
AGRN	MICALL2
AGTPBP1	GCA
AGTPBP1	VPS13A
AGTR1	AOX1
AHCYL2	HSD17B11
AHDC1	TRNAU1AP
AHDC1	ZBTB48
AHNAK	ARG2
AHNAK	CNPY2
AHNAK	DST
AHNAK	EHD2
AHNAK	GSN
AHNAK	ZDHHC7
AHNAK2	KIAA1609
AHNAK2	LAMB3
AHNAK2	PLEC1
AHNAK2	TP53I3
AHR	IFNGR1
AHSA1	C14orf169
AHSA1	EIF2B2
AHSA1	GLRX5
AHSA1	HSP90AA1
AHSA1	MTHFD1
AI004009	CAPZB
AI004009	EVC
AI004009	RUNX1
AI004009	TPST1
AI039469	RPL22
AI040324	LACTB2
AI040324	NCOA2
AI201594	AL157484
AI201594	KIAA0513
AI201594	LPIN2
AI201594	N80935
AI278204	DAB2
AI278204	RAP2A
AI278204	RORA
AI307760	HSBP1
AI307760	RASAL2
AI307760	YIPF6
AI348009	PPPDE2
AI378706	CDH15
AI523613	AL390143
AI523613	ALG13
AI523613	AU147194
AI523613	KIAA0754
AI582773	AI744451
AI582773	PDCD6
AI683552	AL080112
AI683552	ATP8B1
AI683552	AW150065
AI683552	GTF2H3
AI732802	HERC1
AI732802	RUFY2
AI732802	SNX1
AI732802	ZFAND6
AIDA	DEGS1
AIDA	KIFAP3
AIF1	C3AR1
AIF1	LST1
AIF1	PLEK
AIFM1	CPT2
AIFM1	NFS1
AIFM1	PGRMC1
AIFM1	TPD52L1
AIFM1	TRMT2B
AIM1	AKR7A3
AIM1	ANK3
AIM1	ATP10A
AIM1	BARX1
AIM1	CDK2AP2
AIM1	ENO3
AIM1	FGL1
AIM1	FRAT2
AIM1	FXYD5
AIM1	JUP
AIM1	MET
AIM1	ODC1
AIM1	PLAT
AIM1	STK17A
AIM1	TIAM1
AIM1	TPBG
AIM1	ZNF710
AIM2	CCDC109B
AIM2	IFI16
AIM2	OVOL2
AIM2	PIGT
AIMP2	YKT6
AK021987	AL049991
AK022213	AF222691
AK022213	DBT
AK022213	FAM128B
AK022213	ZC3H7B
AK022213	ZNF160
AK022473	AI523613
AK022473	AL359599
AK022473	AW150065
AK022473	KIAA0754
AK022473	LONP2
AK022473	NM_025032
AK022473	RP11-257K9.7
AK022473	RUFY3
AK022473	WDR19
AK022473	ZNF573
AK023783	AL049285
AK023783	GTF2H3
AK024108	FBXO11
AK024108	NSUN6
AK024108	PDCD6
AK025143	EXT1
AK025152	AL117451
AK025152	AW814026
AK025152	CFLAR
AK025651	CGREF1
AK025651	TM4SF20
AK026679	FGFR2
AK026679	LRRC36
AK1	MID1IP1
AK2	RNF19B
AK3L1	PPFIA4
AKAP1	FAM149A
AKAP1	KCNK5
AKAP1	TOM1L1
AKAP13	SLC16A7
AKAP7	SCML1
AKAP8L	CC2D1A
AKIRIN1	AL117451
AKIRIN1	NDUFS5
AKR1B10	AKR1C4
AKR1B10	ALDH3A1
AKR1B10	INPP5B
AKR1B10	KYNU
AKR1C1	ABCB6
AKR1C1	IDH1
AKR1C1	SLC7A11
AKR1C2	AKR1C1
AKR1C2	AKR1C3
AKR1C2	AKR1C4
AKR1C2	PGD
AKR1C3	ALDH3A1
AKR1C3	GPX2
AKR1C3	NQO1
AKR7A2	AKR7A3
AKR7A2	B4GALT1
AKT1	KIAA0284
AKT1	PPP1R13B
AKT3	11-Sep
AKTIP	FTO
AL049233	DCLRE1C
AL049263	AK025152
AL049263	AL512728
AL049263	TRMT2B
AL049285	MUC3A
AL049328	AF070581
AL049328	BMP6
AL049328	CHRNA5
AL049328	ERO1LB
AL049328	KCNE4
AL049328	NPAS3
AL049328	OAT
AL049328	ODZ1
AL049328	SETBP1
AL049328	SLC7A2
AL049328	ZNF516
AL049991	AL512728
AL049991	ATXN7
AL050035	FBXW4
AL050131	RAD51L3
AL050136	FNTA
AL050136	HGSNAT
AL080112	AL047879
AL080112	FKSG49
AL080112	MZF1
AL080232	AI683552
AL080232	AI744451
AL080232	NM_017932
AL080232	NPIPL2
AL117451	GNL3L
AL117451	SKIL
AL121994	IFITM1
AL121994	IFITM2
AL121994	IFITM3
AL138761	CTNND1
AL138761	LMO7
AL138761	WAPAL
AL359599	ZCCHC14
AL359599	ZFHX3
AL512728	AK025152
ALB	GC
ALCAM	CLDN8
ALDH18A1	TCTN3
ALDH1A1	APPL2
ALDH1A1	GIPC2
ALDH1A1	MATN2
ALDH2	HYAL1
ALDH2	SULT1A1
ALDH3A1	BLVRB
ALDH3A1	CYP4F11
ALDH3A1	FZD10
ALDH3A2	FAM46A
ALDH3A2	PELI2
ALDH3A2	SLC47A1
ALDH3B1	UNC93B1
ALDH6A1	LPCAT4
ALDH6A1	MOAP1
ALDH6A1	MUT
ALDH9A1	AR
ALDOA	P4HA1
ALDOA	PPP4C
ALG5	AGA
ALG5	SPEG
ALG5	TM9SF2
ALG5	UTP14C
ALG8	NARS2
ALG8	NDUFC2
ALG8	PAAF1
ALOX5AP	CD99
ALOX5AP	LILRA2
ALOX5AP	OAZ1
ALOX5AP	SLC11A1
AMBP	AGT
AMBP	RIMBP2
AMIGO2	ACVR1
AMIGO2	CX3CL1
AMIGO2	ZNHIT6
ANAPC10	ABCE1
ANAPC10	C4orf16
ANAPC10	DCK
ANAPC10	INTS12
ANAPC10	LSM6
ANAPC10	MTHFD2L
ANAPC10	NUP54
ANAPC10	PLA2G12A
ANAPC5	DAZAP2
ANAPC5	ELAVL1
ANG	HGD
ANG	RNASE4
ANG	UGT2B15
ANGEL2	ARID4B
ANGEL2	C1orf25
ANGEL2	CEP68
ANGEL2	DSTYK
ANGEL2	MED13
ANGEL2	MIA3
ANGEL2	RCOR3
ANGEL2	SCYL3
ANGEL2	STX6
ANGEL2	SUV420H1
ANGEL2	VAMP4
ANGPT1	FOXF1
ANGPTL2	CCL21
ANGPTL2	FMOD
ANK2	AOX1
ANK2	BCL2
ANK2	PRUNE2
ANK2	SETBP1
ANK2	SH3BP5
ANK3	ATP7A
ANK3	AU146646
ANKLE2	CAMSAP1
