source target
KIAA1804 PITX2
KIAA1804 S100A4
ATG5 NUDCD2
NF1 CRTC3
NOS2 TGM2
PELI2 SGPL1
PELI2 TIRAP
TNFRSF17 SLC47A1
TNFRSF17 CCDC163P
KIAA0232 C2orf63
RNF145 LOC100506029
SERPINB8 RTN4IP1
SERPINB8 NRG1
SERPINB8 MXD1
WBP11 RPA1
WBP11 MIA3
WBP11 ALG2
WBP11 CDK5RAP2
WBP11 HSPA14
WBP11 CDK7
WBP11 FKBP1A
WBP11 DHPS
C19orf69 C19orf77
C19orf69 CIDEB
C19orf69 GPD1
C19orf69 ACE2
BTBD3 FKTN
BTBD3 STEAP2
RBM39 MKLN1
RBM39 EIF3B
RBM39 MIRLET7DHG
RBM39 LUC7L
EXD2 PLP1
SMTN RPP25
MON2 LOC730102
MYO15B PLXNA2
MYO15B MYO5B
MYO15B AIM1L
MYO15B FAM83F
MYO15B CRAT
PRKD2 LOC100652989
PRKD2 TACC3
CACNA1A PRPH
CACNA1A EFHD1
CACNA1A ZNF540
IKZF1 RUNX1-IT1
IKZF1 ARL10
IKZF1 SLC44A5
ANTXR1 FGF7
ANTXR1 PTPN12
ANTXR1 SDHAF1
ANTXR1 HMCN1
ANTXR1 PPAP2B
ANTXR1 COL4A2
TIMP3 TIMP2
TIMP3 LMO3
TIMP3 CAV1
TIMP3 MPZ
PAK6 LOC729680
CTNND1 ALDH3A2
CAPN9 PPP1R36
RBM28 ZNF254
LPIN1 NAB1
EXOC6B CLCN5
EXOC6B RAB11FIP1
EXOC6B RETSAT
EXOC6B PET117
HMOX2 GTF2H4
HMOX2 PLEKHF1
HMOX2 DCTN1
SLC16A9 KRT2
SLC16A9 NPY1R
SLC41A3 MSRB2
SLC41A3 WARS2
ERBB2 ELMO3
EML3 FAM100A
SLC52A1 SFTA1P
SLC52A1 HEXIM1
SLC52A1 NOX1
CLIC6 SLC17A9
CLIC6 GRIN3A
SPTBN1 MECOM
SPTBN1 KCTD20
ORAI1 SNHG5
IFT52 LOC100507239
IFT52 C8orf33
TLE3 AGPAT3
TLE3 BCL11A
KCNJ2 JHDM1D
AP2A2 C8orf73
AP2A2 MRPL2
AP2A2 VWA5B2
AP2A2 KIAA0556
FLJ45340 SNRPN
MITF FAM92A1
MITF PDE1C
MITF CLEC1A
KLF4 UGP2
KLF4 PPA2
SEPSECS GJA4
NAT10 TDP1
NAT10 UAP1L1
NAT10 KIAA0513
NAT10 HAUS7
NAT10 LOC128322
NAT10 PTRH2
NAT10 FZR1
NAT10 SNRNP25
NAT10 KLHL22
CLCN5 LOC100506558
CLCN5 NLN
CLCN5 ASTE1
CLCN5 WDR20
ZDHHC6 LOC100134937
ZDHHC6 ACLY
HBS1L GNAO1
MYLIP ARNT
SLC2A1 HAS3
SLC2A1 TM4SF1
SCML1 ZNF138
SCML1 FAM122C
RASGRP4 CCR3
GALK1 HAAO
GALK1 GPR35
GALK1 TEAD4
ARL5A FCHO1
ARL5A SLC8A1
ARL5A SRD5A1
SOCS2 XRCC4
TRIM22 ROBO1
ZFAND2B FAAH
ZFAND2B TPRN
ZFAND2B ZNF581
ZFAND2B SURF6
ZFAND2B SLC22A18
ZFAND2B RNF157
ZFAND2B YBX2
ZFAND2B COMTD1
ZFAND2B P2RY2
ZFAND2B PDK2
TLR3 GULP1
TLR3 FRK
FAM78A CAMK4
FLII FAM212B
FLII DNAJC4
FLII CUL7
FLII ARPC4-TTLL3
FLII FAM58A
SLC5A11 DFNA5
SLC5A11 PEPD
SLC5A11 GPR112
SLC5A11 MS4A8B
SLC5A11 DBP
SLC5A11 CYP2J2
SLC5A11 ACE
SLC5A11 PCK2
CCL28 ATP10B
CCL28 WIPI1
CCL28 SEMA3C
SEMA6D TMSB15A
TMEM161B-AS1 SFT2D3
TMEM161B-AS1 OGG1
TMEM161B-AS1 PPP2R2D
TMEM161B-AS1 ZNF137P
TMEM161B-AS1 ZNF630
TLN2 RPP25
SLC6A20 GRB14
CLLU1 SIT1
PER2 PER3
PER2 KIAA0355
MFSD4 NXPE1
MFSD4 HES2
MFSD4 BAMBI
MFSD4 SCGB2A1
EMR2 SLAMF7
EMR2 LILRA1
EMR2 PTGS1
EMR2 LAMP5
U2SURP FAM133B
U2SURP RSF1
U2SURP XPO7
U2SURP USP33
CD3G CCL5
GFOD1 HBA1
CDK18 MTMR12
CDK18 LOC100133190
CDK18 LOC285181
CDK18 PLK1S1
CDK18 DECR2
CDK18 RAB11FIP4
CDK18 MST1
CDK18 ANO9
FAM161A LOC653501
SMPD3 SLC27A4
C1R NLRC5
C1R POM121L9P
RNPC3 LOC220729
BANK1 CLECL1
BANK1 ABI3BP
BANK1 PPP1R16B
SAMM50 HMOX2
SAMM50 OTUD5
SAMM50 NISCH
SAMM50 TST
CD28 SACS
CD28 TBC1D4
CD28 ITK
CD28 TIGIT
CD28 TRAT1
CD28 ARL4C
CD28 FBLN7
FGFR1OP SNORA68
FGFR1OP RHBDL2
MAST2 ACSS2
MAST2 CES3
MAST2 INADL
MAST2 NDOR1
MAST2 HNF1B
MAST2 LOC100507520
MAST2 GLTPD1
MAST2 FAM189A1
SLC22A23 ANO7
SLC22A23 FSD1L
TRIM44 PON2
TRIB2 HOXC4
C16orf55 RAP1GAP2
LRAT DNAJB13
LRAT SULF2
LRAT SCIN
SV2B SHISA3
SLC25A45 TRIM73
SLC25A45 KCTD7
CYB5R2 RAB27A
FBRSL1 SYNM
GFRA1 RNF150
GFRA1 BCL2
GFRA1 CHRNA3
ZC3H11A HTR2B
ASXL1 YPEL3
FOCAD PIF1
MCMBP KTI12
MCMBP RNF19B
MCMBP TMEM185B
WDR45 REEP4
WDR45 MARK4
WDR45 WDR55
FBXO28 FILIP1
FBXO28 MFAP3
CSF1R KSR2
KIF26B HDC
ATP5C1 ZNF44
ATP5C1 BTAF1
ATP5C1 UBA5
ATP5C1 TMF1
PRRX1 FAM167A
LOC647859 PPP2R3A
TMEM181 CPE
TMEM181 GPR160
ZFP90 ZNF202
ZFP90 C7orf31
CLEC2B CECR1
PLXNB2 ITGB5
DSG2 PAPOLA
TMEM120A NR1I3
TMEM120A CCDC90A
TMEM120A FAM151A
IFNGR1 HOXA11
LRRN3 AHRR
G3BP1 STIP1
G3BP1 RAP2A
IPO11 HOXD8
ATP2B4 TRPC1
ATP2B4 SEMA3A
ATP2B4 TGFBR2
ATP2B4 PCDH7
ATP2B4 PLAGL1
HCN3 LOC389634
ZNF83 GOLGA8A
IL8 PTGS2
IL8 HCAR3
IL8 IL1RN
PRKCZ ATG9A
PRKCZ CDK18
PRKCZ DAPK2
PRKCZ ENO3
PRKCZ CARD10
PRKCZ ACAA1
LOC642852 STK36
GTPBP4 RPL23
BTG2 CAMSAP3
BTG2 NLRP3
BTG2 ACACB
PCOLCE CAPG
KIAA0100 EHBP1
KIAA0100 HES1
PPCDC PRSS33
PPCDC SMOC1
PHTF1 TBC1D22A
C1orf135 SEPT8
C1orf135 MIS18A
KAT2B ZSCAN12
KAT2B LYPLAL1
DSERG1 ELK4
DSERG1 XPO1
DSERG1 SLC40A1
VNN1 NABP1
VNN1 LOC100506090
HOXA3 HOXA2
HOXA3 HOXA10
LNPEP ZMYM5
LNPEP DLEU2
GLYR1 LY9
SPRYD7 ZNF417
TMEM92 KIF3B
TMEM92 AZGP1
HSP90B1 TOP2A
HSP90B1 LSM12
HBB HBA1
BTN2A2 C21orf91
SCG5 SCARA5
CTSK LDHB
CTSK THBS2
CTSK BICC1
CTSK CHRDL2
CTSK SERPING1
PDZD3 SMPD3
PDZD3 VIPR1
PDZD3 SIK1
PDZD3 LOC441179
CD38 EAF2
CD38 NLRP7
CD38 IRF4
RNF207 ICMT
BIN1 ITIH5
BIN1 ZFP82
HYAL1 TRIM7
HYAL1 RASAL1
CYP2B6 HSD3B1
CYP2B6 CYP2C8
CYP2B6 TAT
PNPT1 ESD
NUDT16 ZNF704
NUDT16 IFT74
GLRX3 NT5C3
GLRX3 NARS2
SAMD9L XXYLT1
SAMD9L PARP9
SAMD9L LOC100506342
SAMD9L LOC100286922
ANO6 KIFC3
RBPMS2 IGFBP6
FPR2 CYR61
FPR2 TNFAIP6
FPR2 LILRA3
RBM45 MESDC2
RBM45 NAA15
INPP4B MRPL19
INPP4B LONP2
MCM9 C10orf46
MCM9 ZNF585A
TBC1D10C FAM78A
TBC1D10C ZAP70
TBC1D10C EVL
TBC1D10C SEPT1
TBC1D10C LAT
TBC1D10C ZNF831
TBC1D10C VAMP1
TBC1D10C CD3D
TBC1D10C LOC100499489
TBC1D10C RASAL3
ARL15 SLC6A10P
ARL15 FECH
NDUFC1 HIST1H2AB
SNX4 LOC100505481
PDE4A MSANTD3
PDE4A EIF2AK4
PDE4A SH3RF3
AKIRIN2 DDX20
SMPDL3A TSC22D1
SMPDL3A EGLN3
SMPDL3A ANKH
ATP6V1D TMEM68
ATP6V1D KCTD6
ATP6V1D PHF20L1
ATP6V1D RAB9A
CSPP1 YLPM1
CSPP1 LOC286437
CSPP1 ZNF502
CSPP1 PRR14L
NBN MTF1
ZNF280C CDC7
ENDOG C1orf226
ENDOG NAP1L1
SCN3A LOC92249
SCN3A NARG2
SCN3A AFF3
SCN3A TMEM198
ELP2 APOBEC3B
MED30 FBXL14
CFDP1 C6orf136
CFDP1 TMEM139
HAPLN4 SLC52A1
HAPLN4 TMEM74B
HAPLN4 ALPI
HAPLN4 FAM211B
HAPLN4 CIB2
HAPLN4 ADORA2B
HELQ CD1D
RBM12B MLL3
RBM12B MCM3AP-AS1
SPI1 PAIP2B
DNM2 ME3
DNM2 LDHD
DNM2 MUC20
ANKFN1 AGTR1
MYO18A RNPEPL1
MYO18A STK11IP
MYO18A PIDD
TET3 GNA13
PDPN OSMR
TADA2B LOC100507322
LARP4 UBXN4
IRG1 FFAR2
IRG1 OSM
IRG1 LOC731424
TM6SF2 DEGS2
TM6SF2 ACOT4
TM6SF2 IDNK
TM6SF2 C16orf5
TM6SF2 SLC13A2
AKIRIN1 CCT4
AKIRIN1 HNRNPC
AKIRIN1 UFSP1
AKIRIN1 MRPL20
NCF1C SPI1
NCF1C VASH1
NCF1C CCDC69
MFSD7 RCN3
ARHGEF6 TMEM171
ARHGEF6 HSPA1A
AIMP1 PLAGL1
TMEM45A PDK1
TMEM45A KCNJ8
TBC1D22A FBXO31
TBC1D22A DOCK6
C4orf3 ADORA3
C4orf3 REG4
C4orf3 CRK
PARD3 ST14
DARC MMRN2
DARC ABLIM3
DARC RBPMS
DARC EHD3
BRMS1L ZNF167
ESPN RASSF8
PTPN2 ENPP2
TMTC1 CACNA2D1
POGK FASTKD2
POGK BTN3A1
TMPRSS4 ALDOA
SLC25A15 ZDHHC6
SLC25A15 BEND7
SLC25A15 PEX14
SLC25A15 ALS2
MORN1 NREP
ZFYVE26 PCNX
LOC646627 RELN
ERCC1 RPL22L1
ERCC1 NSD1
LAMA1 LOC100505633
HAVCR2 APCDD1
HAVCR2 HDGFRP3
HAVCR2 GPNMB
HAVCR2 RNF144B
SLPI S100P
SLPI MMP7
SLPI O3FAR1
SLPI LRG1
SLPI SMAGP
SLPI PF4
SLPI PI3
