source	target
PDE8A	CXorf23
PDE8A	FGD4
PIGK	CPE
PLEKHA1	LCOR
PLEKHB2	STX3
PLEKHB2	TGFA
PLEKHB2	ADIPOR2
PODXL	TEK
PPIP5K2	FBXO28
PPP1R3B	NFIL3
PPP1R3B	ABHD5
PPP1R3B	TNFRSF10D
PPP4R1	SLC39A14
PPP4R1	BDKRB2
PPP4R2	G3BP2
PSAP	ATP6V1A
PSME4	PGM2
PTPN11	KCTD20
PTPN11	NUPL1
PTPN11	SPTY2D1
PTPN11	LMBR1
PTPN11	EAF1
PTPN11	ATF6
PTPN11	RPL7L1
PTPN11	DDX21
PTPN11	DCAF12
PTPN11	MFAP3
PTPN11	IPO7
PTPN11	MCMBP
PTPN11	MBTPS2
PTPN11	PPP4R2
RAF1	DLST
RAF1	CXCR7
RAF1	TPCN2
RAF1	KDM6A
RAP2A	KCTD12
RAP2A	CASC4
RARRES3	CPA2
RASSF6	SLC30A10
RB1CC1	SERINC1
RB1CC1	SPIN1
RB1CC1	UCHL5
RB1CC1	TOPORS
RB1CC1	PLEKHA1
RB1CC1	HBP1
RB1CC1	AZIN1
RBBP5	DDX6
RBM27	DCUN1D1
RBM27	RBBP5
RBM27	ZNF800
RCN2	SERPINI1
RCN2	COMMD10
RCN2	FAIM
RCN2	UBA3
REEP3	UBXN2A
REEP3	ARL5A
RGP1	MSMP
RGP1	CSNK2A3
RGP1	NAA35
RGP1	ALG11
RGP1	MICAL2
RMI1	LIN54
RNF11	SGPL1
RNF6	UBQLN1
RP2	ATL3
RP2	KLF10
RP2	TXNRD1
RP2	CTBS
RP2	GBE1
RPL7L1	HNRNPA1P10
RPS6KA3	DCLRE1A
RSBN1	KIAA1147
SBF2	PRKG1
SBF2	SVIL
SBF2	ANKRD50
SCAF8	ELF1
SCAF8	PIK3R4
SCAMP1	STK38L
SEC23A	REEP3
SEC23A	CTAGE7P
SEC23A	SUCO
SEC23A	GALNT1
SERINC1	ACLY
SERINC1	LHFPL2
SERINC1	GINM1
SFMBT2	TMEM110
SGPL1	TSPAN31
SGPL1	RSBN1
SLC25A24	LARP1B
SLC25A24	AP5M1
SLC25A24	GPD2
SLC25A24	SLC35F5
SLC4A7	ITGB8
SLMAP	FAM108B1
SMAD5	CASC4
SMAD5	TEAD1
SMAD5	RAP2A
SMAD5	TANC1
SMAD5	FZD6
SMURF1	TNFRSF10D
SMURF1	41525
SOS1	GTF3C3
SOS1	TNKS
SOS1	UBE4A
SOS1	TRAPPC8
SOS1	DAPK1
SOS1	ZNF175
SOS1	BRWD3
SOS1	CEP350
SOS1	ATXN7
SOS2	CNST
SOS2	MAN1A1
SOS2	EGLN1
SOS2	LDLRAD2
SOS2	FAM73A
SP1	FGD6
SPAG5	NEK2
SPIN1	SLC46A1
SPON1	ITGB5
