gene_symbol	module
RAI2	blue
RANBP1	blue
RBL1	blue
RBM28	blue
RBM35A	blue
RBPMS	blue
RCC1	blue
RECQL4	blue
RFC2	blue
RFC3	blue
RFC4	blue
RFC5	blue
RHBDF2	blue
RHOBTB2	blue
RIBC2	blue
RILPL2	blue
RIPK2	blue
RNASE4	blue
RNASEH2A	blue
RNF114	blue
RNFT2	blue
RP6-213H19.1	blue
RPL39L	blue
RPP21	blue
RQCD1	blue
RRM1	blue
RRM2	blue
SAC3D1	blue
SCRN2	blue
SEC14L2	blue
SEC61G	blue
SEMA5A	blue
SENP5	blue
SERP2	blue
SFRS2	blue
SFRS7	blue
SFT2D2	blue
SGOL1	blue
SHCBP1	blue
SHMT2	blue
SKP2	blue
SLBP	blue
SLC16A5	blue
SLC25A19	blue
SLC27A1	blue
SLC2A1	blue
SLC7A5	blue
SMC1A	blue
SMC2	blue
SMC4	blue
SMOC2	blue
SNN	blue
SNRPA1	blue
SNRPB	blue
SNRPC	blue
SNRPD1	blue
SNX5	blue
SPAG5	blue
SPC25	blue
SQLE	blue
SRPK1	blue
SSRP1	blue
ST6GALNAC6	blue
STARD13	blue
STAT5B	blue
STIL	blue
STIP1	blue
STMN1	blue
SUV39H1	blue
SUV39H2	blue
TACC3	blue
TBRG4	blue
TCP1	blue
TEAD4	blue
TEF	blue
TENC1	blue
THOC4	blue
TIMELESS	blue
TIPIN	blue
TK1	blue
TMEM106C	blue
TMEM194A	blue
TMEM70	blue
TMEM97	blue
TMF1	blue
TMPO	blue
TMSL8	blue
TOP2A	blue
TOPBP1	blue
TPCN1	blue
TPI1	blue
TPX2	blue
TRAIP	blue
TRIP13	blue
TROAP	blue
TSR1	blue
TTK	blue
TUBA1B	blue
TUBA1C	blue
TUBB2C	blue
TUBB3	blue
TXNL4A	blue
TYMS	blue
UBE2C	blue
UBE2S	blue
UBE2T	blue
UBQLN1	blue
UCHL5IP	blue
UCK2	blue
UHRF1	blue
UNG	blue
USP13	blue
WDHD1	blue
WDR4	blue
WDR5	blue
WDR62	blue
WDR67	blue
WDR76	blue
WHSC1	blue
ZBTB16	blue
ZBTB4	blue
ZDHHC13	blue
ZDHHC21	blue
ZNF165	blue
ZNF219	blue
ZNF367	blue
ZNF777	blue
ZWILCH	blue
ZWINT	blue
A2M	green
AATF	green
ABCA6	green
ABCA8	green
ABCB1	green
ABCB9	green
ABCD1	green
ABCG2	green
ABHD2	green
ACACB	green
ACOT9	green
ACSL4	green
ACTN1	green
ACVR1	green
ADAM23	green
ADAMTS1	green
ADARB1	green
ADCY4	green
ADFP	green
ADH1B	green
ADH1C	green
ADIPOQ	green
ADM	green
ADRA2A	green
AGPAT4	green
AHNAK	green
AHR	green
AK2	green
AKAP12	green
AKR1C1	green
AKR1C2	green
AKR1C3	green
AKT3	green
ALDH1A2	green
AMOTL2	green
AMPH	green
ANGPT1	green
ANGPTL4	green
ANK2	green
ANKH	green
ANKRD6	green
ANXA3	green
AOC3	green
AOX1	green
APITD1	green
APLNR	green
APLP1	green
APOD	green
APOLD1	green
AQP1	green
AQP7	green
ARAP3	green
AREG	green
ARHGAP6	green
ARHGEF10	green
ARHGEF15	green
ARID5B	green
ARL4C	green
ASPA	green
ATAD5	green
ATF3	green
ATOH8	green
ATP10D	green
ATP1A2	green
BHLHB3	green
BHLHB5	green
BHMT2	green
BIRC5	green
BMP7	green
C10orf10	green
C14orf132	green
C14orf139	green
C19orf6	green
C1QTNF1	green
C3orf63	green
C3orf64	green
C5orf13	green
C6	green
C7	green
C9orf3	green
CALCRL	green
CALHM2	green
CALU	green
CASQ2	green
CAST	green
CAT	green
CAV1	green
CAV2	green
CBX7	green
CCDC46	green
CCL14	green
CCL21	green
CCNF	green
CCNT1	green
CD1C	green
CD200	green
CD302	green
CD34	green
CD36	green
CD93	green
CDC14B	green
CDC42EP3	green
CDH15	green
CDH5	green
CDKN1C	green
CDO1	green
CELSR1	green
CENPI	green
CES1	green
CFD	green
CFH	green
CFI	green
CH25H	green
CHL1	green
CHRDL1	green
CIDEA	green
CIDEC	green
CILP	green
CIT	green
CLDN11	green
CLDN5	green
CLEC3B	green
CLIC4	green
CLIC5	green
CLIP3	green
CLU	green
CMA1	green
CNN1	green
COL14A1	green
COL15A1	green
COL21A1	green
COL4A1	green
COL4A2	green
CORO2B	green
COX7A1	green
CPA3	green
CPE	green
CRYBG3	green
CSDA	green
CSGALNACT1	green
CSRP2	green
CST6	green
CTSG	green
CUGBP2	green
CX3CR1	green
CXCL12	green
CXCL14	green
CXCL2	green
CYB5R3	green
CYP26B1	green
CYR61	green
CYTL1	green
DAB2	green
DARC	green
DDR2	green
DDX11	green
DEPDC1	green
DKK2	green
DLC1	green
DLG3	green
DLL1	green
DMD	green
DNASE2	green
DPP4	green
DPT	green
DPYSL2	green
DUSP1	green
DYRK2	green
DZIP1	green
EBF1	green
EBF2	green
EDNRB	green
EFEMP1	green
EGFR	green
EGR1	green
EGR2	green
EGR3	green
EHD3	green
ELN	green
ELTD1	green
EMCN	green
EML1	green
EMP1	green
ENG	green
ENO1	green
ENPEP	green
ENPP2	green
EPAS1	green
EPB41L2	green
EPHA2	green
EPHA3	green
ERG	green
ESR1	green
ETS2	green
EVI1	green
EXT2	green
F13A1	green
F2R	green
F2RL2	green
F3	green
FABP4	green
FABP5	green
FAM107A	green
FAM124B	green
FAM13A1	green
FAM13C1	green
FAM152B	green
FAM43A	green
FAM59A	green
FARSA	green
FAT4	green
FCER1A	green
FGF12	green
FGF18	green
FGF2	green
FHL1	green
FHL2	green
FHL5	green
FICD	green
FIGF	green
FKBP1B	green
FLRT2	green
FLT1	green
FMO1	green
FMO2	green
FMOD	green
FNDC4	green
FOS	green
FOSB	green
FOSL2	green
FOXO1	green
FOXRED2	green
FREM1	green
FRG1B	green
FRZB	green
