GeneSymbol.src	GeneSymbol.dst
PDLIM7	ACTA1
YBX2	ACTA1
COL1A2	ACTA2
MRC2	ACTA2
TAGLN	ACTA2
ACTA2	ACTG2
KRT17	ACTG2
KRT5	ACTG2
MYLK	ACTG2
SYNM	ACTG2
CCNA2	ACTL6A
ECT2	ACTL6A
KPNA2	ACTL6A
UBA2	ACTL6A
AKAP6	ACTL6B
MAST1	ACTL6B
MBTPS2	ACTL7B
ZEB1	ACTL8
ZNF167	ACTL8
SERPINE1	ACTN1
TAGLN	ACTN1
EPHB3	ACTN2
GPR85	ACTN2
MAPRE2	ACTN2
SEMG1	ACTN2
PSMC6	ACTR10
RPL15	ACTR10
SNW1	ACTR10
SUMO1	ACTR2
ACTL6A	ACTR3
ACTR2	ACTR3
BIRC3	ACTR3
CORO1C	ACTR3
LIMS1	ACTR3
hCG_1774568	ACTR3B
KCTD12	ACTR5
C12orf29	ACTR6
UBE2G1	ACTR6
LZTFL1	ACTR8
ANXA4	ACVR1
ATAD3B	ACVR1B
IFNA7	ACVR1B
NM_024802	ACVR1B
STK24	ACVR1B
MEOX1	ACVRL1
COMMD4	ACY1
IMPDH2	ACY1
PRSS16	ACYP2
WRB	ACYP2
BRI3	ADA
LCP2	ADA
LRP2	ADA
PRKAR1A	ADAM10
PRPF4B	ADAM10
COL5A1	ADAM12
COL5A2	ADAM12
COL6A3	ADAM12
LOXL1	ADAM12
MCL1	ADAM15
PTPRF	ADAM15
SGCD	ADAM15
SPTAN1	ADAM17
SERPINI2	ADAM18
SLAMF8	ADAM19
LMAN2	ADAM2
MAPK8IP3	ADAM2
CRY2	ADAM20
ITGAX	ADAM22
NACA2	ADAM22
SLC13A1	ADAM22
TMEM97	ADAM22
CSE1L	ADAM28
ACCN1	ADAM7
PRM1	ADAM7
RNF17	ADAM7
HK3	ADAM8
SAMD14	ADAM8
TNFSF10	ADAM8
ACTR3	ADAM9
UBE2E3	ADAM9
VPS13C	ADAM9
CXCL11	ADAMDEC1
GBP5	ADAMDEC1
LAMP3	ADAMDEC1
NPL	ADAMDEC1
PLA2G7	ADAMDEC1
SLAMF8	ADAMDEC1
SP140	ADAMDEC1
GEM	ADAMTS1
IL6	ADAMTS1
PROS1	ADAMTS1
OTP	ADAMTS13
C1R	ADAMTS2
CPA1	ADAMTS20
SORCS3	ADAMTS20
COL3A1	ADAMTS5
PDGFRA	ADAMTS5
RECK	ADAMTS5
CCDC54	ADAMTS6
GAPDH	ADAMTS7
EIF1AY	ADAMTS8
MYBPC1	ADAMTS8
NM_018633	ADAMTS8
SNTB2	ADAMTS8
CORO1B	ADAP1
GUCY1B3	ADAP1
SLC25A44	ADAR
ARF1	ADARB1
SFI1	ADARB2
WNT2B	ADARB2
COG8	ADAT1
TCL6	ADAT1
CDK5	ADCK2
BAT1	ADCK4
GAD2	ADCK4
OLIG2	ADCK4
SFRS14	ADCK4
PDZK1	ADCY1
C1orf116	ADCY2
COX6A2	ADCY2
ILF2	ADCY5
PIK3CD	ADCY7
ERCC2	ADCY8
TRIM15	ADCY8
RRAGD	ADCY9
PCSK1	ADCYAP1
NDUFA1	ADCYAP1R1
AW264320	ADD1
PUM1	ADD1
CLEC3B	ADD2
EXOSC2	ADD2
TMCC2	ADD2
C1S	ADD3
HADH	ADD3
ANGPTL4	ADFP
CD163	ADFP
LGMN	ADFP
PLIN	ADH1A
ADH1A	ADH1B
EBF1	ADH1B
FABP4	ADH1B
PLIN	ADH1B
ABCA8	ADH1C
ADH1B	ADH1C
FAM120C	ADH5
LPCAT4	ADH6
OBP2A	ADH6
SPTLC2	ADH6
PSMA5	ADI1
PLIN	ADIPOQ
ATP6V0B	ADIPOR1
CD46	ADIPOR1
LINS1	ADK
CA9	ADM
ENO1	ADM
IL8	ADM
TGFBI	ADM
GABPA	ADNP
PRM1	ADNP2
CEP170	ADO
TFAM	ADO
PPFIA4	ADORA1
SYT13	ADORA1
INPP5J	ADORA2A
TSC22D3	ADORA2A
FNDC3B	ADORA2B
KRT17	ADORA2B
FCGR3B	ADORA3
NOS2	ADPRH
AK021495	ADRA1A
LRRC19	ADRA1A
MYH6	ADRA1A
BCAS4	ADRA1B
ERGIC2	ADRA1B
CRYGA	ADRA1D
HELLS	ADRA1D
OMD	ADRA2A
ZCCHC24	ADRA2A
AGRP	ADRA2C
NOTCH2	ADRA2C
SCARB1	ADRA2C
ATG12	ADRB1
BF229395	ADRB1
CD55	ADRB1
FGF10	ADRB1
PIN1L	ADRB1
PSMD7	ADRB1
TACC3	ADRB2
RXRB	ADRB3
UBE2H	ADRB3
ARHGDIA	ADRBK1
DCAKD	ADRBK1
RCE1	ADRBK1
SEMA4D	ADRBK1
TUBB4	ADRBK2
LCA5	ADRM1
NHP2L1	ADSL
TRPC3	ADSL
COL5A2	AEBP1
CRHR1	AEBP1
PPAPDC1A	AEBP1
THBS2	AEBP1
ETNK1	AEBP2
SLC13A5	AEBP2
AF119888	AF007136
C20orf30	AF009267
PPFIBP1	AF009267
CD8B	AF015124
IGHG1	AF015124
IGHV1-69	AF015124
L06102	AF015124
SCD5	AF035317
TNP1	AF035317
CCDC102B	AF052146
RPL36A	AF052146
PRKAR1A	AF052160
SERPINA3	AF052160
DMD	AF055011
TLE1	AF055011
MLPH	AF070536
PAFAH2	AF070536
ALDH3B1	AF070541
COX6A2	AF070541
HSD17B6	AF070547
AV661138	AF070602
GTPBP3	AF070602
ECE1	AF070625
MT1H	AF078844
ORC5L	AF084555
GDF1	AF090895
ANAPC10	AF090934
PNLIPRP1	AF105279
BAZ1B	AF113018
SPAM1	AF113018
TRO	AF113018
WBP11	AF113683
CD47	AF116615
EIF3B	AF116615
SEC24D	AF116659
ACOXL	AF116689
HSPB2	AF116689
NM_024912	AF116689
RBM9	AF116689
QTRT1	AF117899
MEFV	AF118064
TRIM31	AF118064
AQP9	AF118078
SPATA2	AF118086
XRCC6	AF118086
HIST1H2BG	AF119888
POLR2E	AF119888
HERC4	AF119909
TMEM144	AF130051
HABP4	AF130053
WNT1	AF130053
ELA3A	AF130071
GOSR2	AF130071
C6orf103	AF130093
HSF2	AF130093
TMEM35	AF130093
ELAVL4	AF131844
RHBDF2	AF131844
AL137717	AF174394
SEMA3D	AF174394
STK10	AF174394
COPE	AF210651
NEK1	AF210651
PPARA	AF210651
PROP1	AF218021
DIP2A	AF229166
SPAM1	AF229166
KCNK15	AF245389
PDZK1	AF245389
MYH6	AF255792
CALML5	AF261715
FOLH1	AF261715
TNNT1	AF261715
DARC	AF308291
SIAH1	AF308291
UBE3B	AF326966
BAZ1B	AF339787
EGR1	AF339787
NUP188	AF339805
MCF2L2	AF339807
SLITRK5	AF339807
BCAM	AF354444
PPARD	AFAP1
CA10	AFAP1L2
ELOVL5	AFF1
MAGEH1	AFF1
SPAM1	AFF2
DNAJC12	AFF3
HIF1A	AFF3
PAFAH1B1	AFF3
RAB40C	AFF3
TBC1D9	AFF3
TFAP2A	AFF3
PIF1	AFG3L1
DKC1	AFG3L2
WWOX	AFM
IGF2R	AFP
LSS	AFP
KIAA0494	AFTPH
SCAMP1	AFTPH
CBR4	AGA
RCHY1	AGA
FNDC3A	AGAP2
KPNA5	AGAP2
P4HB	AGBL5
ACTR3	AGFG1
BCLAF1	AGFG1
RORA	AGFG1
TOP1	AGFG1
FRMPD1	AGFG2
TNFRSF25	AGFG2
ERCC6L	AGGF1
PSMC3IP	AGGF1
KLHDC10	AGK
SULT1C4	AGK
TFAM	AGK
CTNND2	AGL
GALNT6	AGL
SFRS11	AGL
SLC35A3	AGL
AW264320	AGPAT2
SH3BGRL3	AGPAT2
SURF2	AGPAT2
PDXK	AGPAT3
GFPT2	AGPAT4
IFRD1	AGPAT4
LAMA4	AGPAT4
MRC2	AGPAT4
RHBDL2	AGPAT4
AGR3	AGR2
FOXA1	AGR2
MLPH	AGR2
TFF1	AGR2
TSPAN13	AGR2
C6orf70	AGR3
ESR1	AGR3
LMAN1	AGRN
AGXT	AGRP
OSM	AGRP
TNFRSF17	AGRP
HPN	AGT
ORM1	AGT
GPR22	AGTPBP1
RANBP9	AGTPBP1
TPRG1	AGTR1
MED8	AGTR2
NM_017808	AGTR2
EPOR	AGXT
LRRC2	AGXT
SLC34A1	AGXT
TRIM46	AGXT
ADCK4	AGXT2L1
IGF2R	AGXT2L1
PRKCB	AGXT2L1
RPS2	AHCY
FPGT	AHCYL1
NARG2	AHCYL1
PPM1J	AHCYL1
STXBP6	AHCYL1
MBOAT7	AHI1
BCL2A1	AHNAK
ETFB	AHNAK
RPP21	AHNAK
TSKU	AHNAK
TSN	AHNAK
MFAP2	AHNAK2
MRC2	AHNAK2
THBS2	AHNAK2
KCTD12	AHR
MYH3	AHR
GABRG2	AHSG
RAB2A	AHSG
SLC10A1	AHSG
TNP1	AHSG
ARL1	AI086530
MYCN	AI086530
ADD2	AI097640
MALL	AI097640
TTYH1	AI097640
AK024108	AI122905
INADL	AI122905
ME2	AI122905
CBX6	AI201594
UNC119B	AI201594
PVRIG	AI346483
ANKRD5	AI433261
KMO	AI433261
TMEM143	AI433261
LRDD	AI656822
ITGAL	AI695595
LPCAT4	AI695595
ZBTB11	AI700633
MYOM2	AI742810
GH2	AI791860
IRF4	AI791860
C6orf106	AI927479
PPFIBP1	AI927479
RP5-1000E10.4	AI927479
TOP1	AI927479
ACACB	AICDA
NM_138383	AICDA
C20orf30	AIDA
TLR1	AIF1
BCAP31	AIFM1
CD24	AIM1
PREP	AIM1
CD3D	AIM2
GBP5	AIM2
PTPRCAP	AIM2
C8orf71	AIPL1
APOC3	AJAP1
AI122905	AK000185
ATG16L1	AK000185
RBM25	AK000185
TMEM143	AK000185
MIA	AK000470
TFAP2A	AK000470
MAP3K12	AK000834
U79293	AK000834
AF090895	AK000864
SPAG4	AK000864
EIF3K	AK000995
PNO1	AK000995
EFHC2	AK021474
ZNF318	AK021474
ESR1	AK021495
GPC1	AK021495
ZNF160	AK021514
GULP1	AK021609
NM_024986	AK021614
PRDX2	AK021614
CCDC9	AK021967
U79293	AK021987
PDGFRA	AK022061
TNNC1	AK022061
WIF1	AK022063
AW971248	AK022067
DAZ1	AK022120
NM_006780	AK022120
LSAMP	AK022211
SUPT6H	AK022211
NM_030757	AK022213
RECQL4	AK022363
SHPK	AK022363
DNAJC10	AK022421
HIST1H1T	AK022421
TRO	AK022421
HABP4	AK023121
PPEF2	AK023121
TBC1D22A	AK023515
SH3GL3	AK023774
SHMT2	AK023774
GAGE6	AK024142
CA5A	AK024231
MAGEA12	AK024457
NFYB	AK024457
AK021474	AK024525
CLCA3	AK024525
LYPD3	AK024561
NM_014123	AK024561
TGM1	AK024561
BIN2	AK024584
CRTAM	AK024584
SEMA3D	AK024584
FBXO42	AK025116
GPD1	AK025194
IL26	AK025194
SLC25A30	AK025194
IL26	AK025325
GTF2H2	AK025360
NACA2	AK025360
PPP2R1B	AK025363
PHLDA2	AK025388
SLC4A4	AK025388
GPR107	AK025430
RBM8A	AK025564
TCP10	AK025564
LRRC19	AK025573
PRAME	AK025573
SLC16A10	AK025573
GBP1	AK025619
SCD5	AK025619
GH2	AK025650
NM_018687	AK025650
SOHLH2	AK026493
SCGB2A2	AK026820
NFKB1	AK026847
PDK3	AK026847
HLA-DRA	AK026856
SCD5	AK026856
AKAP1	AK027254
PDSS1	AK2
PSME3	AK2
CCNB2	AK5
DST	AK5
UBE2C	AK5
HSP90AB1	AKAP1
TMED2	AKAP10
VEZT	AKAP10
CAPZA2	AKAP11
GNG11	AKAP12
IGF1	AKAP12
AU148086	AKAP13
DYNC1LI2	AKAP13
PTK2	AKAP13
SMC5	AKAP13
UCK2	AKAP14
BAZ2A	AKAP4
PIK3R5	AKAP4
ANKHD1-EIF4EBP3	AKAP5
IRS2	AKAP5
OR2F2	AKAP5
BEND4	AKAP6
HABP4	AKAP6
C4orf29	AKAP9
CSH1	AKAP9
M30894	AKAP9
PPIG	AKAP9
TXLNA	AKIRIN1
CRISPLD2	AKIRIN2
RACGAP1	AKIRIN2
PSMA6	AKR1A1
GGT1	AKR1B10
LBP	AKR1B10
NOL4	AKR1B10
ADH1A	AKR1C1
AKR1C2	AKR1C1
ADIPOQ	AKR1C2
FABP4	AKR1C2
RBP4	AKR1C2
AKR1C1	AKR1C3
AKR1C2	AKR1C3
CAV1	AKR1C3
FABP4	AKR1C3
ACCN1	AKR1C4
RPS9	AKR7A2
FOXA1	AKR7A3
GPR12	AKT1S1
NDUFB8	AKT2
GAS1	AKT3
LPHN2	AKT3
NEK7	AKT3
PROS1	AKT3
SRC	AL049260
MRPL41	AL049342
PML	AL049342
RBM26	AL049342
ABCB11	AL049387
FYB	AL049387
GINS2	AL049435
PTGER4	AL049435
N4BP2L2	AL049782
HOXA11	AL050043
C2orf47	AL050122
PNO1	AL050122
NPIP	AL050131
MT1E	AL078636
MUC7	AL078636
BG236351	AL080072
IL26	AL080072
PLA2R1	AL080082
F10	AL080132
KCNK2	AL080132
HIST1H4B	AL080152
TCOF1	AL080152
GGA2	AL109674
HNF1B	AL109674
GPA33	AL109681
hCG_2033649	AL109706
WTAP	AL109706
ZNF143	AL109706
MTAP	AL109708
SIAH1	AL109708
A1CF	AL110223
PML	AL110223
NM_013293	AL117451
KBTBD4	AL117484
SLC39A6	AL117484
GAGE6	AL122093
SLC25A28	AL122093
PRMT7	AL122122
STK3	AL134724
RAB11A	AL136715
UBE2E3	AL136715
CD5	AL136892
LSM5	AL136892
RASAL2	AL137285
IREB2	AL137292
RBM25	AL137325
ZNF160	AL137325
GSTA3	AL137378
LCMT2	AL137474
TCL6	AL137475
XAF1	AL137534
SLC13A1	AL137606
ASPHD1	AL137717
ICMT	AL390170
POPDC3	AL390170
AFP	ALB
CACNA1G	ALB
ITIH2	ALB
MYH11	ALB
KIAA1370	ALCAM
SIDT1	ALCAM
BHLHB5	ALDH1A1
CTSO	ALDH1A1
DCN	ALDH1A1
FLI1	ALDH1A1
IGF1	ALDH1A1
ITM2A	ALDH1A1
PTGFR	ALDH1A1
AKAP4	ALDH1A2
CHRDL1	ALDH1A2
PMP22	ALDH1A2
ADAMTS5	ALDH1A3
FMO1	ALDH1A3
LRIG3	ALDH1A3
NKX2-5	ALDH1B1
ADH1B	ALDH1L1
C1orf151	ALDH3A2
CD14	ALDH3B1
RAB2A	ALDH3B1
ALDH4A1	ALDH3B2
RNF43	ALDH3B2
SIDT1	ALDH3B2
AR	ALDH4A1
HGD	ALDH4A1
ACVRL1	ALDH5A1
MINPP1	ALDH5A1
GOLGA8A	ALDH6A1
HMGN4	ALDH6A1
KIAA1737	ALDH6A1
C2orf47	ALDH7A1
SH3BGRL3	ALDH7A1
SLC15A3	ALDH7A1
ERBB2	ALDH8A1
HBS1L	ALDH8A1
SMARCA4	ALDH8A1
SDHC	ALDH9A1
KIF22	ALDOA
TWSG1	ALDOAP2
ABR	ALDOB
GYPE	ALDOB
MLLT1	ALDOB
TPI1	ALDOC
G6PC3	ALG12
LMF2	ALG12
TMBIM6	ALG13
GMPS	ALG3
POLR2H	ALG3
SNX1	ALG3
MTMR6	ALG5
PFDN5	ALKBH7
PAGE1	ALLC
ATP8B1	ALMS1
CABP2	ALMS1
TTC3	ALMS1
HIST3H2A	ALOX12
OR1G1	ALOX12
HIST1H1B	ALOX15
SMPD3	ALOX15
CLCA2	ALOX15B
NNT	ALOX15B
TFAP2B	ALOX15B
HLA-DRA	ALOX5
PIK3CD	ALOX5
TBXAS1	ALOX5
PSAP	ALOX5AP
EGR4	ALOXE3
PDE4C	ALPI
RBP3	ALPI
WDR41	ALPI
GTF2H3	ALPK1
SUZ12P	ALPK1
ACAP1	ALPL
GPN3	ALPL
KLRK1	ALPP
PRRX2	ALPP
COX6A2	ALS2CL
IFRD1	ALS2CR4
METT10D	ALS2CR8
NM_018543	ALS2CR8
SCN9A	ALS2CR8
DLX5	ALX3
AP4S1	AMACR
EEA1	AMACR
BCL2L11	AMBP
CRABP2	AMBP
HIPK3	AMBP
LRFN2	AMBP
AGR2	AMBRA1
TBK1	AMBRA1
C18orf24	AMD1
SUV39H2	AMD1
MAZ	AMDHD2
METRN	AMDHD2
PTGES2	AMDHD2
C19orf26	AMELX
CDK2	AMELX
PLCE1	AMELX
BCMO1	AMELY
COX6A2	AMELY
TMED2	AMELY
KRT7	AMFR
PAK4	AMFR
LTB4R	AMH
PRSS8	AMH
CPA3	AMHR2
GIMAP7	AMICA1
PTPRCAP	AMICA1
SLC39A6	AMIGO2
STX16	AMIGO2
W61005	AMIGO2
CD109	AMOT
GLT8D2	AMPH
TFF1	AMPH
MOBKL1B	AMT
FUBP1	AMY1A
KRTDAP	AMY1A
NSUN6	AMY1A
SFRS11	AMY1A
UGT8	AMY1A
AMY1A	AMY2A
AMY2A	AMY2B
RIMKLB	AMY2B
NOL11	AMZ2
ARHGEF15	ANAPC10
REV1	ANAPC13
TMED7	ANAPC13
TEF	ANAPC5
PRDX3	ANG
BTBD2	ANGEL1
FZD3	ANGEL1
ALDH1A1	ANGEL2
ABCB6	ANGPT1
FBXO9	ANGPT1
J00146	ANGPT1
CHRNA3	ANGPT2
COL8A1	ANGPT2
ID3	ANGPT2
PLAU	ANGPT2
SPATA2	ANGPT4
C7orf58	ANGPTL1
LPHN3	ANGPTL1
AEBP1	ANGPTL2
COL1A1	ANGPTL2
SRPX	ANGPTL2
A1CF	ANGPTL3
ACOT12	ANGPTL3
AF130071	ANGPTL3
CDK2	ANGPTL3
FEZF2	ANGPTL3
ADM	ANGPTL4
GPX3	ANGPTL4
HSPB7	ANGPTL4
LEP	ANGPTL4
RBP4	ANGPTL4
LDHA	ANGPTL7
MRPS12	ANGPTL7
TACC3	ANGPTL7
ESCO2	ANK1
MS4A1	ANK1
SCN3B	ANK1
AKAP12	ANK2
MEOX1	ANK2
TMEM144	ANK2
ADAMTS5	ANKH
MSRB3	ANKH
ODZ2	ANKH
PLSCR4	ANKH
KCNE2	ANKLE2
ZCCHC8	ANKLE2
ORC6L	ANKMY1
TJP3	ANKMY1
GLRA2	ANKMY2
PTMA	ANKMY2
TMEM167B	ANKMY2
NM_018329	ANKRD1
PNLIPRP1	ANKRD1
AW663712	ANKRD10
PIGH	ANKRD11
DOCK10	ANKRD12
LARP7	ANKRD12
FBXL5	ANKRD13A
CEP68	ANKRD2
EXOSC2	ANKRD26
PCM1	ANKRD26
HDGFL1	ANKRD29
LRRC59	ANKRD40
PSMA7	ANKRD40
LONP1	ANKRD46
RPL30	ANKRD46
BTC	ANKRD5
CYR61	ANKRD5
SF3B4	ANKRD5
FBXO4	ANKRD53
LARP5	ANKRD53
GPRC5A	ANKRD7
IRF4	ANKRD7
ZDHHC8P	ANKRD7
GHRH	ANKS1B
SOX14	ANKS1B
SPSB1	ANKS6
COBRA1	ANKZF1
DDX31	ANKZF1
EIF3K	ANKZF1
FCHO2	ANKZF1
KIF23	ANLN
DOCK1	ANO1
F2RL2	ANO1
MARCO	ANO1
NEDD4L	ANO2
WARS	ANO2
ADIPOR1	ANO3
BNC1	ANO3
CASP3	ANO3
COPE	ANP32A
CPA1	ANP32A
IMP3	ANP32A
ARPC5L	ANP32B
CYP24A1	ANP32B
ATP10B	ANP32D
HSPA8	ANP32D
ASPM	ANP32E
KPNA2	ANP32E
PTTG1	ANP32E
FAM129A	ANPEP
S100A4	ANPEP
SRPX	ANPEP
LRRC15	ANTXR1
PLAU	ANTXR1
VIM	ANXA1
ETV1	ANXA10
PTPRR	ANXA10
SMR3A	ANXA10
LOR	ANXA13
ANXA1	ANXA3
CDH3	ANXA3
EGFR	ANXA3
LAMB3	ANXA3
ACE2	ANXA4
MYH7	ANXA7
KRT17	ANXA8L2
SOX10	ANXA8L2
CA12	ANXA9
ESR1	ANXA9
KRT19P2	ANXA9
RNASE6	AOAH
CAV1	AOC3
CHRDL1	AOC3
HIC1	AOC3
ITGA7	AOC3
PLIN	AOC3
PECAM1	AOX1
SRGN	AOX1
RALGPS2	AP1B1
TTYH3	AP1B1
CA12	AP1G1
COG8	AP1G1
U79293	AP1G1
VPS13D	AP1G2
JAG2	AP1M1
PTPRS	AP1M1
PYY2	AP1M1
MPG	AP1M2
GNB2	AP1S1
HMG20B	AP1S1
MEF2C	AP1S2
HNRNPUL1	AP2B1
RUNDC1	AP2B1
CNBP	AP2M1
MRPS16	AP2S1
VAMP8	AP2S1
LHX5	AP3B1
NM_018611	AP3B1
KIAA0152	AP3D1
PKN2	AP3D1
RORA	AP3D1
TOP1	AP3D1
GPR22	AP3S1
GUCY1B3	AP3S1
MCF2L2	AP3S1
KLHL4	AP4E1
MAZ	AP4M1
ESR2	AP4S1
GAPVD1	AP4S1
KLRC3	AP4S1
MALT1	APAF1
LOXL1	APBA1
FOXA1	APBA2
PRM1	APBA2
SLAMF8	APBA2
BTBD2	APBA3
SYK	APBA3
MORF4L2	APBB1IP
STK4	APBB1IP
GATA3	APBB2
HNRNPH1	APC
MINPP1	APC
NMUR1	APC
STAM2	APC
ALDH3B1	APC2
GAS1	APCDD1
MAP2	APCS
ACY1	APEH
HEMK1	APEH
MRPS16	APEH
PLXNB1	APEH
ZNF711	APEX1
GOLT1B	API5
LMAN1	API5
MSH3	APIP
TRIM44	APIP
CLDN5	APLNR
GDI1	APLP1
GINS2	APLP1
INHBB	APLP2
ITFG1	APLP2
MACF1	APOA1
HIST1H1B	APOA2
