GeneSymbol.src	GeneSymbol.dst
EPB41L4A	COX7B2
hCG_1774568	COX7C
LSM3	COX7C
COX17	COX8A
NDUFS8	COX8A
OTUB1	COX8A
SAC3D1	COX8A
HIF1A	CP
LEMD1	CP
S100A9	CP
FSHB	CPA1
LGSN	CPA1
FCER1A	CPA3
TPSAB1	CPA3
LEMD1	CPA4
AGTR1	CPB1
CHAD	CPB1
CPLX2	CPB1
CYP2B6	CPB1
CA10	CPB2
IGSF11	CPB2
LPAR1	CPB2
HSPA8	CPD
USO1	CPD
WAC	CPD
DCN	CPE
ECM2	CPE
LAMA2	CPE
SPARCL1	CPE
NFIA	CPEB3
SCP2	CPEB3
TBC1D9	CPEB3
SCG3	CPLX2
TMEM161A	CPLX2
SET	CPLX3
MS4A4A	CPM
ALDOB	CPN2
KIAA0406	CPNE1
RALY	CPNE1
RHBDL2	CPNE2
MRPS28	CPNE3
CDC45L	CPS1
VRK3	CPS1
DHX34	CPSF1
HSF1	CPSF1
SCRIB	CPSF1
TRADD	CPSF1
MRPS24	CPSF4
C12orf52	CPSF6
RBM8A	CPSF6
FSCN1	CPT1A
PDIA4	CPT1A
USP25	CPT1A
MYO15B	CPT1B
AKIRIN1	CPT2
C1S	CPXM2
CLDN11	CPZ
CRHR1	CPZ
CRISPLD2	CPZ
FBLN1	CPZ
CLEC10A	CR1
IRF4	CR1
MPPED1	CR1
MS4A4A	CR1
IGHM	CR2
MS4A1	CR2
TOX	CR2
EVL	CRABP1
KIAA1609	CRABP1
PKP1	CRABP1
PROM1	CRABP1
HIST1H2AK	CRABP2
IPO9	CRABP2
SLC25A42	CRADD
GALNT10	CRAT
SLC44A4	CRAT
ZNF747	CRB1
PFDN5	CRBN
UBE3A	CRBN
ZNF665	CRBN
CX3CR1	CRCT1
AZIN1	CREB1
GRHPR	CREB3
C11orf75	CREB3L2
ACTG2	CREB5
NFATC4	CREB5
PKN2	CREBBP
RNPS1	CREBBP
C7orf58	CREBL2
HEBP1	CREBL2
ISCU	CREBL2
PHF15	CREBL2
RNF141	CREBL2
SERINC1	CREBL2
EPHA5	CREBZF
GUCA1B	CREBZF
RCAN3	CREG1
BTD	CRELD1
PQLC2	CRH
PSG5	CRH
SEC14L5	CRHBP
SPATA2	CRHBP
CEP170	CRHR1
CLCA2	CRHR1
COL1A2	CRHR1
COL5A2	CRHR1
SPARC	CRHR1
BAI1	CRHR2
RPL39L	CRHR2
ZBTB20	CRIM1
ZWINT	CRIM1
METRN	CRIP1
MLPH	CRIP1
CRIP1	CRIP2
JUND	CRIP2
KRT8	CRIP2
HTT	CRIPAK
FBXO11	CRIPT
AB051446	CRISP1
AL049342	CRISP1
CLCA1	CRISP1
BAAT	CRISP2
CRISP3	CRISP2
DPP6	CRISP2
LZTS1	CRISP2
MAGEA11	CRISP2
NR2F2	CRISP2
CYP2A13	CRISP3
KMO	CRISP3
PAPSS2	CRISP3
SLC3A1	CRISP3
COL6A3	CRISPLD2
MFAP4	CRISPLD2
SERPING1	CRISPLD2
ARF1	CRK
PAFAH1B1	CRK
SMC5	CRK
ERBB2	CRKRS
PERLD1	CRKRS
SNTB2	CRKRS
CRYAB	CRLF1
KRT17	CRLF1
PROS1	CRLF1
COQ7	CRNKL1
SKIV2L2	CRNKL1
STARD10	CRNKL1
PIP	CRNN
A1CF	CROCC
CDKN2A	CROCC
CCNB2	CROT
PIP	CROT
SEC14L2	CROT
SEMA3C	CROT
GORASP2	CRP
NDUFA1	CRP
GZMK	CRTAM
ICOS	CRTAM
PRKCB	CRTAM
MSRB3	CRTAP
C6orf173	CRY2
ECHDC2	CRY2
MMP23B	CRY2
MYBL2	CRY2
FABP4	CRYAB
FOXC1	CRYAB
GPX3	CRYAB
HSPB2	CRYAB
SFRP1	CRYAB
SYNM	CRYAB
AMELY	CRYBA1
PAGE1	CRYBA1
SEC14L5	CRYBA4
GPR177	CRYBB2
RANBP3	CRYBB2
CYBA	CRYBB2P1
MRPL2	CRYBB2P1
CLCNKA	CRYBB3
SLCO5A1	CRYGA
TSFM	CRYGA
EIF3B	CRYGB
GLRB	CRYGB
HEY2	CRYGC
SRPK3	CRYM
LZTFL1	CRYZ
ATP5O	CRYZL1
ISCU	CRYZL1
ATP5B	CS
AI122905	CSAD
ESR1	CSAD
N4BP2L2	CSAD
U79293	CSAD
KIF2C	CSAG2
MAGEA1	CSAG2
MAGEA12	CSAG2
MAGEA6	CSAG2
ICAM4	CSDA
TSPAN13	CSDA
C20orf39	CSDC2
PRG3	CSDE1
AURKA	CSE1L
CENPQ	CSE1L
HSPE1	CSE1L
RACGAP1	CSE1L
RAE1	CSE1L
PECAM1	CSF1
RAB1A	CSF2
RAF1	CSF2
MNDA	CSF2RA
IKZF1	CSF2RB
PRKCB	CSF2RB
ARRB2	CSF3R
GSTM3	CSF3R
PROS1	CSGALNACT1
ACRV1	CSH1
CHRM2	CSH2
PPARA	CSHL1
NR1I3	CSMD1
ATP1A2	CSN1S1
DSG3	CSN1S1
FARSA	CSN1S1
NPR1	CSN1S1
SLC6A6	CSN1S1
TCP10	CSN2
UBXN4	CSN2
CSN2	CSN3
SCD5	CSN3
TWSG1	CSN3
PDC	CSNK1A1
RASEF	CSNK1A1
SKP1	CSNK1A1
SURF1	CSNK1A1
TIGD6	CSNK1A1
TRIAP1	CSNK1A1
HN1	CSNK1D
GSK3B	CSNK1E
PDCD11	CSNK1E
ARL5A	CSNK1G1
DNAL1	CSNK1G1
FERMT1	CSNK1G1
PJA2	CSNK1G3
COL4A1	CSPG4
S100A2	CSPG4
CRK	CSPG5
TOP1	CSPP1
ANXA1	CSRP2
CALD1	CSRP2
GATA3	CSRP2
LDHB	CSRP2
COL10A1	CST1
CST2	CST1
CST4	CST1
CST1	CST2
CST4	CST2
HPCAL1	CST2
IGFBP4	CST3
C20orf103	CST4
CST2	CST4
CYP2B6	CST5
PKD1	CST5
COL10A1	CST6
KRT8	CST6
LOR	CST6
CD3D	CST7
CD48	CST7
CHST11	CST7
GPR171	CST7
SNAP25	CST9L
KLRK1	CSTA
PTGER4	CSTA
SRGN	CSTA
PSMB4	CSTB
SOD2	CSTB
RAB22A	CSTF1
STAU1	CSTF1
TIMM17A	CSTF1
CENPI	CSTF2
HIRA	CSTF2T
SLC6A4	CTA-216E10.6
CTAG2	CTAG1B
MAGEA6	CTAG1B
NACA2	CTAG1B
TTYH1	CTAG1B
VGLL1	CTAG1B
ADCYAP1	CTAG2
AMELY	CTAG2
CTAG1B	CTAG2
MAGEA5	CTAG2
SERPINB7	CTAG2
AKAP11	CTAGE5
NM_207331	CTAGE5
TROVE2	CTBP2
BRWD2	CTBS
LAPTM4A	CTBS
DIMT1L	CTDSPL
LRIG1	CTDSPL
SYPL1	CTDSPL
CYR61	CTGF
FBLN5	CTGF
FERMT2	CTGF
HIF1A	CTGF
VCAN	CTGF
PPAPDC1A	CTHRC1
TNFAIP6	CTHRC1
ITK	CTLA4
TRGV3	CTLA4
COX7C	CTNNA1
LTK	CTNNA2
MXD3	CTNNA2
CAMK2N1	CTNND2
DHRS2	CTNND2
FAM110B	CTNND2
AMD1	CTPS
CCNB2	CTPS
RAD54L	CTPS
MED14	CTPS2
ATP8B1	CTRB1
SLC6A8	CTRB1
TPD52L3	CTRB1
DENND4C	CTRC
LY6E	CTRC
ATP6V1F	CTSA
HMOX1	CTSA
FTL	CTSB
CCL18	CTSC
LAMP3	CTSC
LCP2	CTSC
LYZ	CTSC
MS4A4A	CTSC
SRGN	CTSC
AP2S1	CTSD
GCHFR	CTSD
CST3	CTSF
PALM	CTSF
MS4A2	CTSG
SEC13	CTSH
CTHRC1	CTSK
DCN	CTSK
FAP	CTSK
GLT8D2	CTSK
THBS2	CTSK
CD163	CTSL1
CTSB	CTSL1
GLTSCR2	CTSL1
KLRC2	CTSL1
CCNE1	CTSL2
KIF20A	CTSL2
TPX2	CTSL2
ITM2B	CTSO
C1QA	CTSS
CD53	CTSS
HLA-DRA	CTSS
IL18	CTSS
PDCD1LG2	CTSS
SRGN	CTSS
CD247	CTSW
NKG7	CTSW
ALDH3B1	CTSZ
LRRC19	CTSZ
MPP1	CTSZ
NM_006455	CTTN
PPFIA1	CTTN
ZNF160	CTTN
FOXN2	CTXN1
SBK1	CTXN1
PROX1	CTXN3
CCDC40	CUBN
ERAP1	CUBN
AP3D1	CUEDC1
BCL11A	CUEDC1
GOLGA2	CUEDC1
PGRMC1	CUGBP1
TLE3	CUGBP1
FGL2	CUGBP2
FLRT2	CUGBP2
NDUFB7	CUGBP2
RNF187	CUGBP2
ABCF2	CUL1
L11372	CUL1
RP11-78J21.1	CUL1
AAMP	CUL3
CAMK2N1	CUL3
RABGAP1L	CUL3
RPS15A	CUL3
ACR	CUL4A
PHF3	CUL4B
PRPS1	CUL4B
TMOD3	CUL4B
TRIM23	CUL4B
BCLAF1	CUL5
GTF2H3	CUL5
LCOR	CUL5
SRPR	CUL5
DCTN1	CUL7
PRICKLE4	CUL7
UBE2S	CUX1
ZBTB16	CUX2
TKT	CWF19L1
APBB2	CX3CL1
BBOX1	CX3CL1
CDH3	CX3CL1
KRT17	CX3CL1
FCER1A	CX3CR1
HN1	CX3CR1
BTG3	CXADR
NAV2	CXADR
ZNF532	CXADR
CXCL2	CXCL1
RCAN1	CXCL1
CXCL11	CXCL10
CXCL9	CXCL10
STAT1	CXCL10
CXCL10	CXCL11
CXCL9	CXCL11
DCN	CXCL12
FLRT2	CXCL12
FSTL1	CXCL12
SERPINF1	CXCL12
SRPX	CXCL12
AIM2	CXCL13
CD2	CXCL13
CD3D	CXCL13
TNFSF11	CXCL13
FAM54A	CXCL14
IGF1	CXCL14
ZCCHC24	CXCL14
CLCA2	CXCL17
BBOX1	CXCL2
CXCL1	CXCL2
EGR1	CXCL2
FOSB	CXCL2
IL6	CXCL2
ANGPTL4	CXCL3
MYLK	CXCL3
C20orf26	CXCL5
EXTL1	CXCL5
MUC1	CXCL5
NACA2	CXCL5
SORT1	CXCL5
CD2	CXCL9
CD3D	CXCL9
GBP5	CXCL9
INDO	CXCL9
LTB	CXCL9
CD2	CXCR3
CD247	CXCR3
CD3D	CXCR3
DDN	CXCR3
FYB	CXCR3
IKZF1	CXCR3
SIRPG	CXCR3
CTSS	CXCR4
HIF1A	CXCR4
LCP2	CXCR4
GPR18	CXCR5
PLA2G2D	CXCR5
CCL5	CXCR6
CD2	CXCR6
GIMAP5	CXCR6
RUNX3	CXCR6
DACT1	CXCR7
NID2	CXCR7
KIR2DL2	CXorf1
FAM12A	CXorf15
PIN1L	CXorf21
A1CF	CXorf27
ABR	CXorf27
CD34	CXorf36
AV720803	CXorf48
ELK4	CXorf48
PRM1	CXorf56
CLCA3	CXorf57
B3GNT5	CXorf61
LEMD1	CXorf61
SLK	CXXC1
IFI16	CXXC4
MSN	CXXC4
SPDEF	CXXC4
SCAND1	CYB561
SREBF1	CYB561
PECI	CYB5A
SH3BGRL	CYB5A
SLC39A6	CYB5A
UBXN10	CYB5A
NUDT11	CYB5R1
BTG3	CYB5R2
CDC40	CYB5R4
HLA-G	CYBA
CA5BL	CYBB
CD53	CYBB
CHST11	CYBB
FGL2	CYBB
MTM1	CYBB
PRF1	CYBB
BLM	CYBRD1
C15orf42	CYBRD1
DUSP4	CYBRD1
GLUL	CYBRD1
SGOL1	CYBRD1
UBE2S	CYBRD1
EXOSC4	CYC1
PUF60	CYC1
CBX3	CYCS
NUP210	CYFIP2
HIST1H1B	CYLC1
PRKG1	CYLC1
SH3GL2	CYLC1
ITGB2	CYLD
ARL5A	CYP11B2
GAS2	CYP1A1
UQCRH	CYP1A1
C1S	CYP1B1
PDGFRA	CYP1B1
PTGER4	CYP1B1
CYBRD1	CYP20A1
GLRA2	CYP20A1
STAM2	CYP20A1
C4A	CYP21A2
BOLA2	CYP24A1
C1QTNF3	CYP26A1
GRP	CYP26A1
FHL1	CYP26B1
SRPX	CYP26B1
PRKAR1A	CYP27A1
TTLL4	CYP27A1
WIZ	CYP27A1
C10orf116	CYP27B1
LAMA2	CYP27B1
SLC6A12	CYP27B1
CCL27	CYP2A13
CYP2A7	CYP2A13
ODAM	CYP2A13
SPINK2	CYP2A13
SULT2A1	CYP2A13
CYP2A7	CYP2A6
FYN	CYP2A6
POU2F1	CYP2A6
WFDC2	CYP2A6
CHRNA3	CYP2A7
CYP2B6	CYP2A7
IL32	CYP2A7
TSPAN9	CYP2A7P1
ESR1	CYP2B6
NAT1	CYP2B6
CYP2B6	CYP2B7P1
ESR1	CYP2B7P1
NAT1	CYP2B7P1
MAGEA8	CYP2C18
ZNF518A	CYP2C18
EYA1	CYP2C8
PAK7	CYP2C8
DLAT	CYP2C9
FUT9	CYP2C9
NM_018600	CYP2C9
RASD2	CYP2C9
NDUFA1	CYP2D6
NACA	CYP2E1
NM_207306	CYP2E1
SLC45A2	CYP2F1
ALDH3B2	CYP2J2
MXD3	CYP2J2
NM_014817	CYP2J2
TSPAN8	CYP2J2
BIRC7	CYP2R1
DAPK2	CYP2W1
G6PC	CYP39A1
MIA	CYP39A1
SFRP1	CYP39A1
AFF2	CYP3A4
GSC2	CYP3A4
PRPF18	CYP3A43
USP34	CYP3A43
APEH	CYP3A5
BTN2A3	CYP3A7
CD14	CYP3A7
DIP2A	CYP46A1
AF130093	CYP4A11
SH3GL3	CYP4A11
CROT	CYP4B1
RAI2	CYP4B1
CCL2	CYP4F11
CHN1	CYP4F11
GARS	CYP4F12
ZNF160	CYP4F12
SLC26A3	CYP4F22
HKDC1	CYP4F3
MFAP4	CYP4F3
PRX	CYP4F3
CYP4F12	CYP4F8
NM_024976	CYP4F8
OR10H2	CYP4F8
TFAP2B	CYP4F8
CYB5A	CYP4X1
PIP	CYP4X1
IDI1	CYP51A1
NACA2	CYP7A1
NCOR1	CYP7A1
AMELY	CYR61
CTGF	CYR61
DUSP1	CYR61
EGR1	CYR61
GAS1	CYR61
LAMB1	CYR61
SLC2A3	CYR61
PPAPDC1A	CYS1
SFRP2	CYS1
C6orf103	CYSLTR1
KLRB1	CYSLTR1
MYH2	CYSLTR2
PRG2	CYSLTR2
PGS1	CYTH1
SIRPG	CYTH1
ATP5G2	CYTH2
CD37	CYTH4
CD2	CYTIP
CD3D	CYTIP
IL10RA	CYTIP
PTPRC	CYTIP
ABCA8	CYTL1
PECAM1	CYTL1
ARID1A	D83778
LDB2	DAAM2
TNNC1	DAB1
SRPX	DAB2
AFF3	DACH1
GATA3	DACH1
SF1	DACH1
SLAMF8	DACH1
ADAM12	DACT1
COL5A2	DACT1
DPYSL3	DACT1
THBS2	DACT1
ARF4	DAD1
HIST1H2BB	DAD1
POLR2E	DAD1
TMEM115	DAG1
PAPPA2	DAGLA
ZDHHC14	DAGLA
FBP1	DAK
UBE2M	DAK
AK000185	DALRD3
AHSG	DAO
SDHC	DAP3
UFC1	DAP3
COBRA1	DAPK1
FMNL2	DAPK1
LILRB2	DAPK1
SNX1	DAPK2
TRPC1	DAPK2
PEX5	DAPK3
CTSS	DAPP1
CHRDL1	DARC
COL14A1	DARC
MEOX1	DARC
DTL	DARS2
IL26	DAZ1
ZER1	DAZ2
PUS1	DAZAP1
WHSC1	DAZAP1
CFC1	DBC1
NM_030757	DBC1
CEP55	DBF4
EZH2	DBF4
KIF14	DBF4
MELK	DBF4
TTK	DBF4
CCL21	DBF4B
PMP22	DBF4B
C19orf26	DBI
C3	DBNDD1
CHMP1A	DBNDD1
ORC5L	DBP
NCOA2	DBT
NUCB1	DBT
IGHA1	DCAKD
NARG1L	DCAKD
PPFIBP1	DCAKD
KIF5C	DCDC5
NAT1	DCDC5
MRC2	DCHS1
TGFB1I1	DCHS1
TCEB2	DCI
CEP76	DCK
AGTR1	DCLK1
KIAA0494	DCLRE1B
STIL	DCLRE1B
COL8A1	DCN
FLRT2	DCN
OMD	DCN
KIAA1109	DCT
PPID	DCTD
TXLNA	DCTN1
RPL41	DCTN2
NDUFB6	DCTN3
COMMD10	DCTN4
PCM1	DCTN6
SNX2	DCTN6
TMEM66	DCTN6
NDUFB5	DCUN1D1
KLK5	DCX
SLC13A1	DCX
SLC19A3	DCX
ARF1	DDA1
ATP5C1	DDA1
IL6ST	DDA1
LSM4	DDA1
AEBP1	DDC
CPA1	DDC
KRTDAP	DDC
SULF1	DDC
ASH2L	DDHD2
EPB41L5	DDHD2
LSM1	DDHD2
CRIM1	DDIT4
ENO1	DDIT4
LAGE3	DDIT4
LRIG3	DDIT4L
RNF122	DDN
TTLL3	DDO
UBA7	DDO
CDH6	DDOST
DDOST	DDT
RANBP1	DDT
UFD1L	DDT
AZIN1	DDX1
E2F2	DDX11
HELLS	DDX11
SQRDL	DDX11
STIP1	DDX11
C12orf30	DDX17
ITPR1	DDX17
MEG8	DDX17
PTPRF	DDX17
PNO1	DDX18
COX4NB	DDX19A
WWP2	DDX19A
DDX19A	DDX19B
KARS	DDX19B
SMC5	DDX24
C4orf6	DDX25
RGPD5	DDX25
SCG3	DDX25
UNC13A	DDX25
CCDC106	DDX26B
COQ9	DDX28
DDX19B	DDX28
KARS	DDX28
NUP93	DDX28
ASB6	DDX31
BMS1	DDX31
PPIAL4A	DDX31
AURKA	DDX39
KIF2C	DDX39
SPC25	DDX39
MTMR1	DDX3X
RAB1A	DDX3X
TP63	DDX3X
J00146	DDX3Y
TCEA2	DDX3Y
NDUFA2	DDX41
PRMT1	DDX41
DLG2	DDX43
RAB40A	DDX43
MATR3	DDX46
AL134724	DDX47
DCUN1D1	DDX47
MAP3K7IP2	DDX47
PERLD1	DDX52
TBRG4	DDX56
IFI44L	DDX58
IFIH1	DDX58
IFIT1	DDX58
RSAD2	DDX58
IFIT1	DDX60
OAS3	DDX60
SAMD9	DDX60
TIMM17A	DDX60
HERC6	DDX60L
RAB26	DECR2
ARF1	DEDD
CORO1A	DEF6
HLA-G	DEF6
COX4NB	DEF8
FABP5	DEF8
VIPR2	DEFA4
SEC14L5	DEFA6
GABRP	DEFB1
KLK7	DEFB1
KRT5	DEFB1
PCSK2	DEFB126
A1CF	DEFB4
ACTR3	DEGS1
FBXO28	DEGS1
TIMM17A	DEGS1
CHEK1	DEK
FBXO5	DEK
RB1CC1	DEK
IFI30	DEM1
CD46	DENND1B
ENSA	DENND1B
ZBTB41	DENND1B
CEACAM4	DENND1C
FYB	DENND1C
GPM6B	DENND2A
SLC6A5	DENND2C
DPH5	DENND2D
FHOD3	DENND3
RAB27A	DENND4A
FCHO2	DENND4C
SLMAP	DENND4C
SMARCA2	DENND4C
HTN3	DENND5B
KLC1	DENND5B
TXNIP	DENND5B
METTL2B	DENR
NXT1	DENR
CFH	DEPDC1
KIF2C	DEPDC1
NDC80	DEPDC1
CCNB2	DEPDC1B
CDC2	DEPDC1B
MCM5	DEPDC5
IL1RAP	DERA
ATAD2	DERL1
YWHAZ	DERL1
SPATA2	DES
LAMA4	DFNA5
PRSS8	DFNB31
C8orf55	DGAT1
EXOSC4	DGAT1
PCOLCE2	DGAT2
CCNA2	DGCR11
SRPX2	DGCR11
ANP32A	DGCR14
MACF1	DGCR14
ARHGEF15	DGCR2
COX7A2	DGKA
CAPN10	DGKB
NUP93	DGKB
SLC6A5	DGKB
GIPR	DGKE
IRF4	DGKE
RETN	DGKE
MARCO	DGKG
PDC	DGKG
ZSCAN16	DGKH
ARHGEF15	DGUOK
KCMF1	DGUOK
RFC3	DGUOK
RNF103	DHCR24
C15orf42	DHCR7
TPX2	DHCR7
CDCA8	DHFR
IDH3A	DHFR
LSM3	DHFR
MAGOHB	DHFR
COG8	DHODH
COL5A2	DHODH
FEZF2	DHODH
ATP5G2	DHPS
NDUFA13	DHPS
HNRNPUL1	DHRS12
TBC1D9	DHRS12
TMED2	DHRS12
AP1G1	DHRS2
C10orf116	DHRS2
PDE6D	DHRS7
TSN	DHRS7
CCDC44	DHRSX
EXO1	DHTKD1
UBE2C	DHTKD1
NCOA4	DHX15
RCHY1	DHX15
C12orf43	DHX30
WDR72	DHX33
XAB2	DHX33
CXCL13	DHX34
NM_015908	DHX34
ZNF674	DHX34
C10orf12	DHX35
DDX19A	DHX38
KARS	DHX38
ZFR	DHX40
ARMC1	DHX57
ISG15	DHX58
UBA7	DHX58
NPEPPS	DHX8
RBBP9	DHX9
SFRS10	DHX9
SNX17	DHX9
ITSN2	DIAPH2
BUB1	DIAPH3
EBI3	DICER1
JMJD1C	DICER1
SLC17A2	DICER1
DOHH	DIDO1
YTHDF1	DIDO1
C20orf30	DIMT1L
EXOC5	DIMT1L
HSP90AB1	DIMT1L
RNASE4	DIMT1L
ZNF674	DIMT1L
CYP4X1	DIO1
LASS4	DIO1
PTGER3	DIO1
COL1A1	DIO2
GAS7	DIO2
LAMA1	DIO3
ST8SIA4	DIP2A
ZBTB38	DIP2A
FASN	DIP2C
LRRC17	DIP2C
CES4	DIRAS2
FUT9	DIRAS2
PTPRN2	DIRAS2
CDCA3	DIRAS3
DST	DIRAS3
GPR177	DIRAS3
CPLX2	DISP2
AURKA	DIXDC1
GNG12	DIXDC1
MYBL2	DIXDC1
PROS1	DIXDC1
TROAP	DIXDC1
AMD1	DKC1
BYSL	DKC1
CCT5	DKC1
NUSAP1	DKC1
PAICS	DKC1
PPIH	DKC1
C16orf61	DKK1
CP	DKK1
HIF1A	DKK1
CEP68	DKK2
COL14A1	DKK2
GPR88	DKK2
ITGBL1	DKK2
MEOX2	DKK2
ACTA2	DKK3
COL10A1	DKK3
COL8A2	DKK3
GLT8D2	DKK3
MYLK	DKK3
BMPR2	DKK4
SERPINH1	DKK4
KBTBD4	DKKL1
ENO1	DLAT
MPZL1	DLAT
RAB1A	DLAT
MEOX2	DLC1
SPARCL1	DLC1
KLHL7	DLD
GPR183	DLEC1
HLA-C	DLEC1
ACBD3	DLG1
ATP13A3	DLG1
PRRG4	DLG1
ACTG2	DLG2
CTSS	DLG4
EPM2A	DLG4
GSTT1	DLG4
PRKAG3	DLGAP2
CCNB2	DLGAP5
CDCA3	DLGAP5
CENPA	DLGAP5
MELK	DLGAP5
UBE2C	DLGAP5
ABCA9	DLK1
CAPN6	DLK1
DST	DLK1
ITIH2	DLK1
KRT5	DLK2
CES1	DLL3
DPPA4	DLL3
QDPR	DLX2
SLC25A12	DLX2
SLC26A3	DLX2
SLC35B1	DLX4
SDC2	DLX5
UCHL1	DLX5
C5orf4	DLX6
OLFM4	DMBT1
SUZ12P	DMC1
ART3	DMD
PLA2G4A	DMD
RGMA	DMD
SCD5	DMD
C2orf40	DMKN
AL049342	DMP1
PRELP	DMP1
SNTB2	DMP1
COL6A2	DMPK
NPIP	DMPK
CCL23	DMRT1
FADS3	DMRT1
SLC48A1	DMRT1
BDP1	DMXL1
MELK	DNA2
STIL	DNA2
RBM8A	DNAH3
ZNF652	DNAH3
HISPPD2A	DNAI1
IL15RA	DNAI1
SORT1	DNAI1
COBRA1	DNAI2
OLIG2	DNAI2
IFIH1	DNAJA1
NDUFB6	DNAJA1
C16orf87	DNAJA2
CIAPIN1	DNAJA2
MAP1LC3B	DNAJA2
NUDT21	DNAJA2
VPS35	DNAJA2
ARF1	DNAJB1
C20orf24	DNAJB11
RFC4	DNAJB11
BCLAF1	DNAJB12
MYH6	DNAJB12
MYH6	DNAJB14
AF174394	DNAJB4
PICALM	DNAJB4
VAMP3	DNAJB4
KRIT1	DNAJB6
SLC33A1	DNAJB9
YME1L1	DNAJB9
COMMD3	DNAJC1
TMCC2	DNAJC1
TSPAN1	DNAJC1
ACP1	DNAJC10
CD164	DNAJC10
PIK3C2A	DNAJC10
SUMO1	DNAJC10
CA12	DNAJC12
GATA3	DNAJC12
TBC1D9	DNAJC12
TIMM44	DNAJC15
UBL3	DNAJC15
LBR	DNAJC17
KIF18A	DNAJC2
GALNT10	DNAJC22
SEMA5A	DNAJC27
NUCB1	DNAJC28
RBM26	DNAJC28
AP3D1	DNAJC3
PYY2	DNAJC3
ENO2	DNAJC6
KCNH2	DNAJC6
KPNA5	DNAJC6
MT1E	DNAJC6
AF007136	DNAJC7
XYLB	DNAJC8
AURKA	DNAJC9
SPC25	DNAJC9
LZTFL1	DNAL1
PIGH	DNAL1
FOXA1	DNALI1
GATA3	DNALI1
SPDEF	DNALI1
TBC1D9	DNALI1
LRRC40	DNASE1L2
FAM120A	DNASE2
ANAPC13	DNASE2B
FRMD4B	DNASE2B
LGALS13	DNASE2B
PRKACB	DNASE2B
INTS4	DNER
C4orf31	DNHD1L
SGCD	DNM1
MASTL	DNM1L
PSMD14	DNM1L
SOD2	DNM1L
MCM7	DNMT1
AGFG1	DNMT3A
BAT2D1	DNMT3A
C15orf42	DNMT3A
AURKA	DNMT3B
MELK	DNMT3B
ATP1A3	DNMT3L
PSAP	DNMT3L
CCT7	DNPEP
PMP2	DNTT
UBLCP1	DNTT
AL137475	DNTTIP2
GOLT1B	DOC2A
MT1F	DOC2A
GGH	DOC2B
TPM1	DOC2B
BLM	DOCK1
PTTG1	DOCK1
MNDA	DOCK10
NDUFB5	DOCK10
NM_016646	DOCK10
PTPRC	DOCK10
CORO1A	DOCK2
GMFG	DOCK2
SLAMF8	DOCK2
WIPF1	DOCK2
ABCA8	DOCK3
GAD2	DOCK3
VCAN	DOCK4
MTAP	DOCK5
HSP90AB1	DOCK6
HSPG2	DOCK6
PQLC2	DOHH
SNCB	DOHH
SPTAN1	DOHH
ZMYND10	DOK1
SLAMF8	DOK2
COPZ2	DOK4
PALLD	DOK4
AURKA	DONSON
C7orf20	DONSON
CDC2	DONSON
CDC45L	DONSON
KIF20A	DONSON
EGFL8	DOPEY1
FGA	DOPEY1
hCG_1776259	DOPEY1
ZNF292	DOPEY1
GOT1	DOPEY2
SLC2A11	DOPEY2
RBM8A	DOT1L
CSE1L	DPM1
STAMBPL1	DPM1
PPP1CA	DPP3
YIF1A	DPP3
C1S	DPP4
DCN	DPP4
FER1L5	DPP6
APEH	DPPA4
POLD4	DPPA4
DCN	DPT
FBN1	DPT
FSTL1	DPT
SFRP4	DPT
SVEP1	DPT
AB042555	DPY19L1
CRIP2	DPY19L2P2
FLG	DPY19L2P2
ZNF674	DPY19L2P2
COPS5	DPY19L4
KIAA0196	DPY19L4
CNN3	DPYS
SLC19A2	DPYS
A2M	DPYSL2
COL15A1	DPYSL2
MEOX2	DPYSL2
VIM	DPYSL2
MMP2	DPYSL3
MXRA8	DPYSL3
TGFB1I1	DPYSL3
THBS2	DPYSL3
AF218021	DPYSL4
TBRG4	DPYSL4
UTP14A	DPYSL4
BCAS2	DR1
NM_014134	DR1
OTUB1	DRAP1
FOXD3	DRD1
LRP12	DRD1
MCHR1	DRD2
RAC3	DRD2
HUS1	DRD3
TGFA	DRD3
PROSC	DRD4
P4HB	DRG2
TAAR3	DRP2
KRT14	DSC1
SIGLEC1	DSC1
CA12	DSC2
GABRP	DSC2
PPFIBP1	DSC2
SIDT1	DSC2
TP53BP2	DSC2
FYB	DSC3
KLK7	DSC3
KRT14	DSC3
KRT5	DSC3
AURKA	DSCC1
CDKN3	DSCC1
UBE2C	DSCC1
CAPZA2	DSCR3
UCP3	DSCR4
EGFR	DSCR6
FANCI	DSCR6
AXL	DSE
ARHGAP26	DSG1
BTBD2	DSG1
KLK6	DSG1
KRT1	DSG1
RPL31	DSG2
DSC3	DSG3
FGFBP1	DSG3
KRT5	DSG3
SERPINB5	DSG3
BCAP31	DSN1
C20orf24	DSN1
CPA1	DSN1
H2AFZ	DSN1
MLF1IP	DSN1
RACGAP1	DSN1
ECT2	DSP
TRPS1	DSP
AB051447	DSPP
COL14A1	DST
KRT14	DST
KRT5	DST
RGS5	DST
KIAA1967	DSTN
CDC2	DTL
LMNB1	DTL
NEK2	DTL
UBE2T	DTL
CITED2	DTNA
KIF2C	DTNA
POU2AF1	DTNB
ZNF492	DTNB
RAPGEF6	DTWD2
